"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avenida de Sagunto"	"Avinguda de Sagunt"						"way"	" 246290710"	""	"{'highway': 'residential', 'name': 'Avenida de Sagunto', 'oneway': 'no'}"
"Avenida Palancia"	"Avinguda Palància"						"way"	"  79813560"	""	"{'highway': 'residential', 'name': 'Avenida Palancia'}"
"Avenida Palancia"	"Avinguda Palància"						"way"	"  79813557"	""	"{'highway': 'residential', 'name': 'Avenida Palancia'}"
"Avenida Ramón y Cajal"	"Avinguda Ramón y Cajal"						"way"	"  44032018"	"name:etymology:wikidata=Q150526"	"{'highway': 'residential', 'name': 'Avenida Ramón y Cajal', 'name:etymology:wikidata': 'Q150526', 'oneway': 'yes'}"
"Avenida Ramón y Cajal"	"Avinguda Ramón y Cajal"						"way"	"  78343280"	"name:etymology:wikidata=Q150526"	"{'highway': 'residential', 'maxspeed': '50', 'name': 'Avenida Ramón y Cajal', 'name:etymology:wikidata': 'Q150526', 'oneway': 'no'}"
"Avenida Ramón y Cajal"	"Avinguda Ramón y Cajal"						"way"	"  78343312"	"name:etymology:wikidata=Q150526"	"{'highway': 'residential', 'lanes': '1', 'maxspeed': '50', 'name': 'Avenida Ramón y Cajal', 'name:etymology:wikidata': 'Q150526', 'oneway': 'yes'}"
"Avenida Ramón y Cajal"	"Avinguda Ramón y Cajal"						"way"	" 520371447"	"name:etymology:wikidata=Q150526"	"{'highway': 'residential', 'lanes': '1', 'maxspeed': '50', 'name': 'Avenida Ramón y Cajal', 'name:etymology:wikidata': 'Q150526', 'oneway': 'yes'}"
"Avenida Valencia"	"Avinguda València"						"way"	" 470011153"	""	"{'cycleway:right': 'no', 'highway': 'tertiary', 'lanes': '1', 'name': 'Avenida Valencia', 'oneway': 'yes', 'ref': 'CV-327', 'surface': 'asphalt'}"
"Avenida Valencia"	"Avinguda València"						"way"	"  29431380"	""	"{'cycleway:right': 'no', 'highway': 'tertiary', 'lanes': '1', 'name': 'Avenida Valencia', 'oneway': 'yes', 'ref': 'CV-327', 'surface': 'asphalt'}"
"Avenida Valencia"	"Avinguda València"						"way"	"1009980242"	""	"{'highway': 'trunk', 'lanes': '2', 'maxspeed': '40', 'name': 'Avenida Valencia', 'oneway': 'no', 'ref': 'N-234'}"
"Avenida Valencia"	"Avinguda València"						"way"	" 437419702"	""	"{'cycleway:both': 'no', 'highway': 'tertiary', 'lanes': '2', 'name': 'Avenida Valencia', 'oneway': 'no', 'ref': 'CV-327', 'surface': 'asphalt'}"
"Avenida Valencia"	"Avinguda València"						"way"	"  90776547"	""	"{'highway': 'service', 'name': 'Avenida Valencia'}"
"Avenida Valencia"	"Avinguda València"						"way"	" 261723550"	""	"{'highway': 'trunk', 'lanes': '2', 'maxspeed': '40', 'name': 'Avenida Valencia', 'oneway': 'no', 'ref': 'N-234'}"
"Avenida Valencia"	"Avinguda València"						"way"	"1009980243"	""	"{'highway': 'trunk', 'lanes': '2', 'maxspeed': '40', 'name': 'Avenida Valencia', 'oneway': 'no', 'ref': 'N-234'}"
