"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"wikidata_type"	"multilang_names"	"all_tags"
"Calle de los Almendros"	"Carrer dels Ametlers"						"way"	"219270815"			"{'highway': 'residential', 'name': 'Calle de los Almendros', 'oneway': 'no'}"
"Calle Maestro Chapí"	"Carrer mestre Chapí"						"way"	" 49617134"			"{'highway': 'residential', 'name': 'Calle Maestro Chapí', 'oneway': 'yes'}"
"Calle San Francisco"	"Carrer Sant Francesc"						"way"	" 47700886"			"{'highway': 'service', 'name': 'Calle San Francisco', 'service': 'alley'}"
"Calle San Isidro"	"Carrer Sant Isidre"						"way"	" 47700842"			"{'highway': 'service', 'name': 'Calle San Isidro', 'service': 'alley'}"
"Calle San José"	"Carrer Sant Josep"						"way"	" 49616852"			"{'highway': 'residential', 'name': 'Calle San José', 'oneway': 'yes'}"
"Calle San José"	"Carrer Sant Josep"						"way"	" 49616893"			"{'highway': 'residential', 'name': 'Calle San José', 'oneway': 'no'}"
"Calle San José"	"Carrer Sant Josep"						"way"	" 46039095"			"{'highway': 'living_street', 'name': 'Calle San José'}"
"Calle San Roque"	"Carrer Sant Roc"						"way"	" 49616999"			"{'highway': 'residential', 'name': 'Calle San Roque', 'oneway': 'yes'}"
"Calle San Roque"	"Carrer Sant Roc"						"way"	"782778621"			"{'highway': 'residential', 'name': 'Calle San Roque', 'oneway': 'yes'}"
"Calle San Roque"	"Carrer Sant Roc"						"way"	"512927800"			"{'highway': 'residential', 'name': 'Calle San Roque', 'oneway': 'yes'}"
"Calle San Roque"	"Carrer Sant Roc"						"way"	" 46039162"			"{'highway': 'living_street', 'name': 'Calle San Roque'}"
"Calle San Roque"	"Carrer Sant Roc"						"way"	" 49617025"			"{'highway': 'residential', 'name': 'Calle San Roque', 'oneway': 'yes'}"
"Calle Viriato"	"Carrer Viriat"						"way"	" 49616876"			"{'highway': 'living_street', 'name': 'Calle Viriato'}"
