"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Cuenca, 23"	"Carrer Conca, 23"					
"Calle Cuenca, 7"	"Carrer Conca, 7"					
"Calle Luis Portabella / Estación Renfe"	"Carrer Luis Portabella / Estació Renfe"					
"Calle Hernán Cortés / Estación Renfe"	"Carrer Hernán Cortés / Estació Renfe"					
"Calle Mayor, 87 / Tableros Folgado"	"Carrer Major, 87 / Tableros Folgado"					
"Calle Miguel Hernández, 3 / Cochera"	"Carrer Miguel Hernández, 3 / Cotxera"					
"Calle Miguel Hernández, 44 / Colegio"	"Carrer Miguel Hernández, 44 / Col·legi"					
"Calle Miguel Hernández, 54 / Bar Luján"	"Carrer Miguel Hernández, 54 / Bar Luján"					
"Calle Miguel Hernández, 8"	"Carrer Miguel Hernández, 8"					
"Calle Coladores, 49"	"Carrer Coladors, 49"					
"Calle Solidaridad (Las Greñas)"	"Carrer Solidaritat (Las Greñas)"					
"Calle Solidaridad / La Cautiva"	"Carrer Solidaritat / La Cautiva"					
"Calle La Fuente"	"Carrer la Font"					
"Calle de Fuerteventura"	"Carrer de Fuerteventura"					
"Calle 9 Núcleo 22"	"Carrer 9 Nucli 22"					
"Calle 7 Nucleo 22"	"Carrer 7 Nucli 22"					
"Calle 2 Núcleo 22"	"Carrer 2 Nucli 22"					
"Calle del Mar Jónico"	"Carrer de la Mar Jònica"					
"Calle Escultor José Capuz"	"Carrer Escultor José Capuz"					
"Calle de Pinedo"	"Carrer de Pinedo"					
"Calle Barranco de Chiva"	"Carrer Barranc de Xiva"					
"Calle Barranc del Galileo"	"Carrer Barranc del Galileu"					
"Calle Rosalia de Castro"	"Carrer Rosalia de Castro"					
"Calle del Cronista Vicent Beguer Esteve"	"Carrer del Cronista Vicent Beguer Esteve"					
"Calle Pintor Francisco Domingo"	"Carrer Pintor Francisco Domingo"					
"Calle Teixedors"	"Carrer Teixidors"					
"Calle Fusters"	"Carrer Fusters"					
"Calle Fernando Rodríguez Fornos"	"Carrer Fernando Rodríguez Fornos"					
"Calle del Marino"						
"Calle Londres 48"	"Carrer Londres 48"					
"Calle Ramón Menéndez Pidal"	"Carrer Ramón Menéndez Pidal"					
"Calle Virgen de la Soledad"	"Carrer Mare de Déu de la Soledat"					
"Calle Cronista Silvino Beney"	"Carrer Cronista Silvino Beney"					
"Calle Beniparrell"	"Carrer Beniparrell"					
"Calle Gómez Ferrer"	"Carrer Gómez Ferrer"					
"Calle San Cayetano"	"Carrer Sant Gaietà"					
"Calle de Hernán Cortés"	"Carrer d’Hernán Cortés"					
"Calle de Orihuela"	"Carrer d’Oriola"					
"Calle de José Capuz"	"Carrer de José Capuz"					
"Calle de Clara Campoamor"	"Carrer de Clara Campoamor"					
"Calle de San Juan Bautista"	"Carrer de Sant Joan Baptista"					
"Calle de los Hospitalarios"	"Carrer dels Hospitalaris"					
"Calle de San José"	"Carrer de Sant Josep"					
"Calle de la Preciosísima Sangre"	"Carrer de la Preciosíssima Sang"					
"Calle Virgen del Pilar"	"Carrer Mare de Déu del Pilar"					
"Calle de San Antonio Abad"	"Carrer de Sant Antoni Abad"					
"Calle del Doctor Gómez Ferrer"	"Carrer del Doctor Gómez Ferrer"					
"Calle de Torrente"	"Carrer de Torrent"					
"Calle de San Francisco"	"Carrer de Sant Francesc"					
"Calle de la Senyera"	"Carrer de la Senyera"					
"Calle de Luis Vives"	"Carrer de Lluís Vives"					
"Calle Marqués del Turia"	"Carrer Marqués del Túria"					
"Calle de San Vicente"	"Carrer de Sant Vicent"					
"Calle de Ramón y Cajal"	"Carrer de Ramón y Cajal"					
"Calle del Doctor Herrero"	"Carrer del Doctor Herrero"					
"Calle Sierra de Mariola"	"Carrer Serra de Mariola"					
"Calle de Colón"	"Carrer de Colom"					
"Calle de Buenavista"	"Carrer de Bonavista"					
"Calle Virgen del Carmen"	"Carrer Mare de Déu del Carme"					
"Calle de San Pascual"	"Carrer de Sant Pasqual"					
"Calle de Taronja"	"Carrer de Taronja"					
"Calle Almassereta (s.XVIII-s.XIX)"	"Carrer Almassereta (s.XVIII-s.XIX)"					
"Calle de la Alquería Florentina"	"Carrer de l’Alqueria Florentina"					
"Calle de la Alquería Mangarrota"	"Carrer de l’Alqueria Mangarrota"					
"Calle de la Alquería Rulla"	"Carrer de l’Alqueria Rulla"					
"Calle de la Alquería Serrador"	"Carrer de l’Alqueria Serrador"					
