"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Calle San Lorenzo"	"Carrer San Lorenzo"						
"Calle Trascasa"	"Carrer Trascasa"						
"Callejón Tras Iglesia"	"Callejón Tras Iglesia"						
"Calle Subida Iglesia"	"Carrer Subida Iglesia"						
"Calle Callizo Alta"	"Carrer Callizo Alta"						
"Calle Capellanías"	"Carrer Capellanías"						
"Calle Calixto"	"Carrer Calixto"						
"Calle Puerto"	"Carrer Puerto"						
"Calle Cuatro Esquinas"	"Carrer Cuatro Esquinas"						
"Calle Las Moradas"	"Carrer Las Moradas"						
"Calle Carretera"	"Carrer Carretera"						
"Calle Pabellón"	"Carrer Pabellón"						
"Calle San Marcos"	"Carrer San Marcos"						
"Calle Tejería"	"Carrer Tejería"						
"Calle San Joaquín"	"Carrer San Joaquín"						
"Calle Meson"	"Carrer Meson"						
"Calle Rafec"	"Carrer Rafec"						
"Calle Previsores"	"Carrer Previsores"						
"Calle de Enmedio"	"Carrer de Enmedio"						
"Calle Bajo Muela"	"Carrer Bajo Muela"						
"Calle de la Muela"	"Carrer de la Muela"						
"Calle Portillo"	"Carrer Portillo"						
"Calle Cebollera"	"Carrer Cebollera"						
"Calle Balsot"	"Carrer Balsot"						
"Calle Herrería"	"Carrer Herrería"						
"Calle Albellones"	"Carrer Albellones"						
"Calle Padre Faci"	"Carrer Padre Faci"						
"Calle Callizo"	"Carrer Callizo"						
"Calle Cuesta"	"Carrer Cuesta"						
"Calle Graos"	"Carrer Graos"						
"Calle Eras de Graos"	"Carrer Eras de Graos"						
