"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Calle León"	"Carrer León"	""	""				
"Calle Álamos"	"Carrer Álamos"	""	""				
"Calle Sauces"	"Carrer Sauces"	""	""				
"calle Trasera del Olivar"	"carrer Trasera del Olivar"	""	""				
"calle Diezmo"	"carrer Diezmo"	""	""				
"calle Practicante Miguel Mira"	"carrer Practicante Miguel Mira"	""	""				
"calle de La Era"	"carrer de La Era"	""	""				
"calle de La Peña"	"carrer de La Peña"	""	""				
"Calle de Todos Los Santos"	"Carrer de Todos Los Santos"	""	""				
"Calle Nuestro Señor Robat"	"Carrer Nuestro Señor Robat"	""	""				
"Calle Barberan y Collar"	"Carrer Barberan y Collar"	""	""				
"Calle de los Santos Médicos"	"Carrer de los Santos Médicos"	""	""				
"Calle Barranco de la Virgen"	"Carrer Barranco de la Virgen"	""	""				
"Calle Maestro Joaquín Zapate"	"Carrer Maestro Joaquín Zapate"	""	""				
"Calle Virgen Salud"	"Carrer Virgen Salud"	""	""				
"Calle Maestro Cabanes Ball"	"Carrer Maestro Cabanes Ball"	""	""				
"Calle Padre Pedro Juan Molín"	"Carrer Padre Pedro Juan Molín"	""	""				
"Calle Padre Navarro"	"Carrer Padre Navarro"	""	""				
"Calle Obispo"	"Carrer Obispo"	""	""				
"Calle Huerto de las Monjas"	"Carrer Huerto de las Monjas"	""	""				
"Calle Maestro Tárrega"	"Carrer Maestro Tárrega"	""	""				
"Calle Maestro Giner"	"Carrer Maestro Giner"	""	""				
"Calle de las Higueras"	"Carrer de las Higueras"	""	""				
"Calle Escalera"	"Carrer Escalera"	""	""				
"Calle Vicente Sempere Bern"	"Carrer Vicente Sempere Bern"	""	""				
"Calle Padre Antonio Santonja"	"Carrer Padre Antonio Santonja"	""	""				
"Calle Cura Antonio Genovés"	"Carrer Cura Antonio Genovés"	""	""				
"Calle Mariano Benlliu"	"Carrer Mariano Benlliu"	""	""				
"Calle María Verdú Pico"	"Carrer María Verdú Pico"	""	""				
"calle fábrica Beneyto"	"carrer fábrica Beneyto"	""	""				
"Calle La Huerta"	"Carrer La Huerta"	""	""				
"Calle Balls del Birrey"	"Carrer Balls del Birrey"	"Camí P3"	"Camino P3"				
"Calle virgen de la Esperanza"	"Carrer virgen de la Esperanza"	""	""				
"Calle Virgen de África"	"Carrer Virgen de África"	""	""				
"Calle Virgen de la Paz"	"Carrer Virgen de la Paz"	""	""				
"Calle Virgen de Covadonga"	"Carrer Virgen de Covadonga"	""	""				
"Calle Virgen de Guadalupe"	"Carrer Virgen de Guadalupe"	""	""				
"Calle Don Jesús Novella"	"Carrer Don Jesús Novella"	""	""				
"Calle Médico Antonio Anguiz"	"Carrer Médico Antonio Anguiz"	""	""				
"Calle Virgen del Rocío"	"Carrer Virgen del Rocío"	""	""				
"Calle Fray Gregorio"	"Carrer Fray Gregorio"	""	""				
"Calle Ánimas"	"Carrer Ánimas"	""	""				
"Calle Maestro Guerrero"	"Carrer Maestro Guerrero"	""	""				
"Calle Arcipreste de Hita"	"Carrer Arcipreste de Hita"	""	""				
"Calle Juramento Santa Gadea"	"Carrer Juramento Santa Gadea"	""	""				
"Calle Tratado de Almizira"	"Carrer Tratado de Almizira"	""	""				
"Calle Alfonso el Sabio"	"Carrer Alfonso el Sabio"	""	""				
"Calle del Empecinado"	"Carrer del Empecinado"	""	""				
"Calle Gran Capitán"	"Carrer Gran Capitán"	""	""				
"Calle Subida San Antonio"	"Carrer Subida San Antonio"	""	""				
"Calle Carmen"	"Carrer Carmen"	""	""				
"Calle Pedro Montagur"	"Carrer Pedro Montagur"	""	""				
"Calle Cuatro Esquinas"	"Carrer Cuatro Esquinas"	""	""				
"Calle Concepción"	"Carrer Concepción"	""	""				
"Calle Tomás Moro"	"Carrer Tomás Moro"	""	""				
"Calle Virgen María Auxiliadora"	"Carrer Virgen María Auxiliadora"	""	""				
"Calle San Juan Bosco"	"Carrer San Juan Bosco"	""	""				
"Calle Juan de Juanes"	"Carrer Juan de Juanes"	""	""				
"Calle Padre Victoria"	"Carrer Padre Victoria"	""	""				
"Calle Subida Depósito"	"Carrer Subida Depósito"	""	""				
"calle Alcolecha"	"carrer Alcolecha"	""	""				
