"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camino de los Naranjos"	"Camí dels Tarongers"						"way"	" 44674664"	""	"{'highway': 'residential', 'name': 'Camino de los Naranjos', 'oneway': 'yes'}"
"Camino de los Naranjos"	"Camí dels Tarongers"						"way"	" 44674673"	""	"{'highway': 'residential', 'name': 'Camino de los Naranjos', 'oneway': 'yes'}"
"Camino de los Naranjos"	"Camí dels Tarongers"						"way"	"822911506"	""	"{'highway': 'residential', 'junction': 'roundabout', 'name': 'Camino de los Naranjos'}"
"Camino de los Naranjos"	"Camí dels Tarongers"						"way"	"822911509"	""	"{'highway': 'residential', 'junction': 'roundabout', 'name': 'Camino de los Naranjos'}"
"Camino de los Naranjos"	"Camí dels Tarongers"						"way"	"822911510"	""	"{'highway': 'residential', 'junction': 'roundabout', 'name': 'Camino de los Naranjos'}"
"Camino de los Naranjos"	"Camí dels Tarongers"						"way"	" 15573815"	""	"{'highway': 'residential', 'junction': 'roundabout', 'name': 'Camino de los Naranjos'}"
"Camino de Torrente"	"Camí de Torrent"						"way"	" 44684269"	""	"{'highway': 'residential', 'name': 'Camino de Torrente'}"
"Camino de Torrente"	"Camí de Torrent"						"way"	"683697529"	""	"{'highway': 'residential', 'name': 'Camino de Torrente'}"
"Camino Hondo"	"Camí Fondo"						"way"	"970116973"	""	"{'highway': 'footway', 'name': 'Camino Hondo', 'surface': 'compacted'}"
"Camino Hondo"	"Camí Fondo"						"way"	"110065528"	""	"{'foot': 'yes', 'highway': 'unclassified', 'motorcar': 'yes', 'name': 'Camino Hondo', 'oneway': 'yes'}"
"Camino Hondo"	"Camí Fondo"						"way"	" 39649762"	""	"{'foot': 'yes', 'highway': 'unclassified', 'motorcar': 'yes', 'name': 'Camino Hondo', 'oneway': 'no'}"
