"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), area=['name:ca'='l\'Horta Oest'][admin_level=7], filters=nwr[name~'^[Cc]amino'][!'name:ca']"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	"2535800159"	"Camino viejo Torrente - Piscina"	""	""	""	""	""	""	""	"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Camino viejo Torrente - Piscina', 'operator': 'Fernanbus', 'public_transport': 'platform', 'shelter': 'no', 'source': 'Fernanbus S.A.'}"
"node"	"2535800160"	"Camino viejo Torrente, 22"	""	""	""	""	""	""	""	"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Camino viejo Torrente, 22', 'operator': 'Fernanbus', 'public_transport': 'platform', 'shelter': 'yes', 'source': 'Fernanbus S.A.'}"
"way"	"191040116"	"Camino de los Felipes"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Camino de los Felipes'}"
"way"	"100446262"	"Camino de Alcàsser a Torrente"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Camino de Alcàsser a Torrente'}"
"way"	"49427550"	"Camino de Alcasser a Paiporta"	""	""	""	""	""	""	""	"{'highway': 'service', 'name': 'Camino de Alcasser a Paiporta'}"
"way"	"44499942"	"Camino de Torrente a Benetúser"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Camino de Torrente a Benetúser'}"
"way"	"44499941"	"Camino de Torrente a Benetúser"	""	""	""	""	""	""	""	"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'Camino de Torrente a Benetúser', 'tracktype': 'grade1'}"
"way"	"128112088"	"Camino de Torrente a Benetúser"	""	""	""	""	""	""	""	"{'highway': 'track', 'name': 'Camino de Torrente a Benetúser', 'surface': 'gravel', 'tracktype': 'grade1'}"
"way"	"44499962"	"Camino de Torrente a Benetúser"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Camino de Torrente a Benetúser'}"
"way"	"44499961"	"Camino de Torrente a Benetúser"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino de Torrente a Benetúser'}"
"way"	"44157867"	"Camino Malpas"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino Malpas', 'oneway': 'yes'}"
"way"	"85683070"	"Camino del Bobalar"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Camino del Bobalar'}"
"way"	"474682934"	"Camino de la Mojonera"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino de la Mojonera', 'oneway': 'yes'}"
"way"	"1024526142"	"Camino del Mas de Morell"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino del Mas de Morell'}"
"way"	"23384105"	"Camino del Bobalar"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Camino del Bobalar'}"
"way"	"44685217"	"Camino del Mas de Morell"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino del Mas de Morell'}"
"way"	"1024526143"	"Camino del Mas de Morell"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino del Mas de Morell', 'oneway': 'yes'}"
"way"	"85683033"	"Camino del Bobalar"	""	""	""	""	""	""	""	"{'bridge': 'yes', 'highway': 'tertiary', 'layer': '1', 'name': 'Camino del Bobalar'}"
"way"	"150150287"	"Camino del Azagador"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino del Azagador'}"
"way"	"166181719"	"Camino Viejo de Valencia"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino Viejo de Valencia'}"
"way"	"36968725"	"Camino Viejo de Valencia"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino Viejo de Valencia', 'oneway': 'yes'}"
"way"	"166181723"	"Camino Viejo de Valencia"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino Viejo de Valencia', 'oneway': 'yes'}"
"way"	"150061326"	"Camino Viejo de Cheste"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Camino Viejo de Cheste', 'oneway': 'yes'}"
"way"	"150061331"	"Camino Viejo de Cheste"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Camino Viejo de Cheste', 'oneway': 'yes'}"
"way"	"474221419"	"Camino de las Traveseras"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Camino de las Traveseras', 'oneway': 'yes'}"
"way"	"29262301"	"Camino del Racholar"	""	""	""	""	""	""	""	"{'highway': 'living_street', 'motor_vehicle': 'no', 'name': 'Camino del Racholar'}"
"way"	"29229173"	"Camino Nuevo de Paterna"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Camino Nuevo de Paterna', 'oneway': 'yes', 'ref': 'CV-367'}"
"way"	"29229175"	"Camino Nuevo de Paterna"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Camino Nuevo de Paterna', 'oneway': 'yes', 'ref': 'CV-367'}"
"way"	"43789458"	"Camino de Camarena"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Camino de Camarena', 'oneway': 'yes'}"
"way"	"142608752"	"Camino de Camarena"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Camino de Camarena', 'oneway': 'yes'}"
"way"	"43865398"	"Camino de Camarena"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Camino de Camarena', 'oneway': 'no'}"
"way"	"43789457"	"Camino de Camarena"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'lanes': '2', 'maxspeed': '40', 'name': 'Camino de Camarena', 'oneway': 'no', 'surface': 'asphalt'}"
