"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cami d'en Tartes"	"Camí d'en Tartes"							"way"	"  80300508"	"name:ca=Cami d'en Tartes, name:fr=Cami D'en Tartes"	"{'highway': 'residential', 'name': \"Cami d'en Tartes\", 'name:ca': \"Cami d'en Tartes\", 'name:fr': \"Cami D'en Tartes\", 'sidewalk': 'none', 'surface': 'asphalt'}"
"Cami de la Balma"	"Camí de la Balma"							"way"	" 198276548"	"name:ca=Cami de la Balma"	"{'highway': 'track', 'name': 'Cami de la Balma', 'name:ca': 'Cami de la Balma', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009'}"
"Cami de la Balma"	"Camí de la Balma"							"way"	"  30880245"	"name:ca=Cami de la Balma"	"{'highway': 'unclassified', 'name': 'Cami de la Balma', 'name:ca': 'Cami de la Balma', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009'}"
"Cami de Mosset"	"Camí de Mosset"							"way"	"  31054792"	"name:ca=Cami de Mosset"	"{'highway': 'residential', 'name': 'Cami de Mosset', 'name:ca': 'Cami de Mosset'}"
"Cami de Mosset"	"Camí de Mosset"							"way"	"  31054790"	"name:ca=Cami de Mosset"	"{'highway': 'residential', 'name': 'Cami de Mosset', 'name:ca': 'Cami de Mosset', 'oneway': 'yes'}"
"Carrer del Moli"	"Carrer del Molí"							"way"	"  30759724"	"name:ca=Carrer del Moli"	"{'highway': 'residential', 'name': 'Carrer del Moli', 'name:ca': 'Carrer del Moli'}"
"Carrer del Moli de l'Oli"	"Carrer del Molí de l'Oli"							"way"	"  31277327"	"name:ca=Carrer del Moli de l'Oli"	"{'highway': 'residential', 'name': \"Carrer del Moli de l'Oli\", 'name:ca': \"Carrer del Moli de l'Oli\"}"
"Chemin de Badaloc"	"Camí de Badaloc"							"way"	"  50413241"	"name:ca=Cami de Badaloc"	"{'highway': 'path', 'name': 'Chemin de Badaloc', 'name:ca': 'Cami de Badaloc', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Chemin de Badaloc"	"Camí de Badaloc"							"way"	"  50413244"	"name:ca=Cami de Badaloc"	"{'bridge': 'yes', 'highway': 'path', 'layer': '1', 'name': 'Chemin de Badaloc', 'name:ca': 'Cami de Badaloc', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Chemin de Badaloc"	"Camí de Badaloc"							"way"	"  30473966"	"name:ca=Cami de Badaloc"	"{'highway': 'path', 'name': 'Chemin de Badaloc', 'name:ca': 'Cami de Badaloc'}"
"Chemin de Badeloc"	"Camí de Badaloc"							"way"	"  30473965"	"name:ca=Cami de Badaloc"	"{'highway': 'residential', 'name': 'Chemin de Badeloc', 'name:ca': 'Cami de Badaloc'}"
"Chemin de Baliaury"	"Camí de Vallauria"							"way"	"  31055578"	"name:ca=Cami de Vallauria"	"{'highway': 'residential', 'name': 'Chemin de Baliaury', 'name:ca': 'Cami de Vallauria'}"
"Chemin de Baliaury"	"Camí de Vallauria"							"way"	" 625713905"	"name:ca=Cami de Vallauria"	"{'highway': 'residential', 'name': 'Chemin de Baliaury', 'name:ca': 'Cami de Vallauria', 'oneway': 'yes'}"
"Chemin de Baliaury"	"Camí de Vallauria"							"way"	"  31055581"	"name:ca=Cami de Vallauria"	"{'highway': 'unclassified', 'name': 'Chemin de Baliaury', 'name:ca': 'Cami de Vallauria'}"
"Chemin de Conillac"	"Camí de Conillac"							"way"	"   5131068"	"name:ca=Cami de Conillac"	"{'access': 'destination', 'highway': 'unclassified', 'name': 'Chemin de Conillac', 'name:ca': 'Cami de Conillac'}"
"Chemin de Conillac"	"Camí de Conillac"							"way"	"  30403897"	"name:ca=Cami de Conillac"	"{'access': 'destination', 'created_by': 'Potlatch 0.10f', 'highway': 'residential', 'name': 'Chemin de Conillac', 'name:ca': 'Cami de Conillac'}"
"Chemin de Conillac"	"Camí de Conillac"							"way"	"  30404988"	"name:ca=Cami de Conillac"	"{'highway': 'residential', 'name': 'Chemin de Conillac', 'name:ca': 'Cami de Conillac'}"
"Chemin de Conillac"	"Camí de Conillac"							"way"	" 374167385"	"name:ca=Cami de Conillac"	"{'highway': 'residential', 'name': 'Chemin de Conillac', 'name:ca': 'Cami de Conillac', 'oneway': 'yes'}"
"Chemin de l'Aïgua Clara"	"Camí de l'Aigua Clara"							"way"	"  30186886"	"name:ca=Cami de l'Aïgua Clara"	"{'highway': 'unclassified', 'name': \"Chemin de l'Aïgua Clara\", 'name:ca': \"Cami de l'Aïgua Clara\"}"
"Chemin de la Garrigue"	"Camí de la Garriga"							"way"	" 443841561"	"name:ca=Cami de la Garriga"	"{'highway': 'unclassified', 'name': 'Chemin de la Garrigue', 'name:ca': 'Cami de la Garriga'}"
"Chemin de la Garrigue"	"Camí de la Garriga"							"way"	"  30343331"	"name:ca=Cami de la Garriga"	"{'highway': 'unclassified', 'name': 'Chemin de la Garrigue', 'name:ca': 'Cami de la Garriga'}"
"Chemin de la Garrigue"	"Camí de la Garriga"							"way"	" 443841560"	"name:ca=Cami de la Garriga"	"{'highway': 'unclassified', 'name': 'Chemin de la Garrigue', 'name:ca': 'Cami de la Garriga'}"
"Chemin de la Garrigue"	"Camí de la Garriga"							"way"	"  30343494"	"name:ca=Cami de la Garriga"	"{'highway': 'residential', 'name': 'Chemin de la Garrigue', 'name:ca': 'Cami de la Garriga'}"
"Chemin de la Prunette"	"Camí de la Pruneta"							"way"	"  30343604"	"name:ca=Cami de la Pruneta"	"{'highway': 'track', 'name': 'Chemin de la Prunette', 'name:ca': 'Cami de la Pruneta'}"
"Chemin de la Prunette"	"Camí de la Pruneta"							"way"	"  30343603"	"name:ca=Cami de la Pruneta"	"{'highway': 'residential', 'name': 'Chemin de la Prunette', 'name:ca': 'Cami de la Pruneta'}"
"Chemin de la Prunette"	"Camí de la Pruneta"							"way"	"  30343606"	"name:ca=Cami de la Pruneta"	"{'highway': 'residential', 'name': 'Chemin de la Prunette', 'name:ca': 'Cami de la Pruneta'}"
"Chemin de la Riberette"	"Camí de la Ribereta"							"way"	"  30343391"	"name:ca=Cami de la Ribereta"	"{'highway': 'track', 'name': 'Chemin de la Riberette', 'name:ca': 'Cami de la Ribereta'}"
"Chemin de la Riberette"	"Camí de la Ribereta"							"way"	"  30343390"	"name:ca=Cami de la Ribereta"	"{'highway': 'residential', 'name': 'Chemin de la Riberette', 'name:ca': 'Cami de la Ribereta', 'sidewalk': 'no', 'surface': 'asphalt'}"
"Chemin de la Riberette"	"Camí de la Ribereta"							"way"	"  30343392"	"name:ca=Cami de la Ribereta"	"{'highway': 'unclassified', 'name': 'Chemin de la Riberette', 'name:ca': 'Cami de la Ribereta'}"
"Chemin de la Riberette"	"Camí de la Ribereta"							"way"	"  30343088"	"name:ca=Cami de la Ribereta"	"{'highway': 'unclassified', 'name': 'Chemin de la Riberette', 'name:ca': 'Cami de la Ribereta'}"
"Chemin de las Bouchères"	"Camí de les Boixieres"							"way"	"  88670631"	"name:ca=Cami de les Boixieres"	"{'highway': 'unclassified', 'name': 'Chemin de las Bouchères', 'name:ca': 'Cami de les Boixieres'}"
"Chemin de las Closes"	"Camí de les Closes"							"way"	"  30186167"	"name:ca=Cami de les Closes"	"{'highway': 'residential', 'maxspeed': '30', 'name': 'Chemin de las Closes', 'name:ca': 'Cami de les Closes'}"
"Chemin de las Closes"	"Camí de les Closes"							"way"	" 139585780"	"name:ca=Cami de les Closes"	"{'highway': 'residential', 'maxspeed': '30', 'name': 'Chemin de las Closes', 'name:ca': 'Cami de les Closes', 'oneway': 'yes'}"
"Chemin de las Fourques"	"Camí de las Fourques"							"way"	"  27534909"	"name:ca=Cami de las Fourques"	"{'highway': 'residential', 'maxspeed': '30', 'name': 'Chemin de las Fourques', 'name:ca': 'Cami de las Fourques'}"
"Chemin de las Fourques"	"Camí de las Fourques"							"way"	"  22887284"	"name:ca=Cami de las Fourques"	"{'highway': 'residential', 'maxspeed': '30', 'name': 'Chemin de las Fourques', 'name:ca': 'Cami de las Fourques'}"
"Chemin de Nougarols"	"Camí de Nogarols"							"way"	"  30473969"	"name:ca=Cami de Nogarols"	"{'highway': 'footway', 'name': 'Chemin de Nougarols', 'name:ca': 'Cami de Nogarols'}"
"Chemin de Sahorle"	"Camí de Sahorle"							"way"	"  30343421"	"name:ca=Cami de Sahorle"	"{'highway': 'residential', 'name': 'Chemin de Sahorle', 'name:ca': 'Cami de Sahorle', 'sidewalk': 'no', 'surface': 'asphalt'}"
"Chemin de Saint-Jacques de Calahons"	"Camí de Sant Jaume de Calahons"							"way"	" 152970233"	"name:ca=Cami de San Jaume de Calahons"	"{'highway': 'residential', 'name': 'Chemin de Saint-Jacques de Calahons', 'name:ca': 'Cami de San Jaume de Calahons'}"
