"name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","informe","type","id","name","regio","admin_level","wikidata","nObjectesEditat","nCasosEditat","nObjectesNomWikidataEditat","nCasosNomWikidataEditat"
"Barcelona",23828,18147,258,93,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Barcelona_name-name:ca.tsv","relation",347950,"Barcelona","Principat",8,"Q1492",52839,7476,1908,168
"València",7711,6682,81,61,FALSE,"PPCC/name-name:ca/informes/informe-PV-València_name-name:ca.tsv","relation",344953,"València","PV",8,"Q8818",3121,1592,29,23
"Palma",6237,5343,76,76,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Palma_name-name:ca.tsv","relation",341321,"Palma","Illes",8,"Q8826",6945,4253,69,69
"Alacant",7951,5308,19,19,FALSE,"PPCC/name-name:ca/informes/informe-PV-Alacant_name-name:ca.tsv","relation",342792,"Alacant / Alicante","PV",8,"Q11959",448,245,1,1
"Perpinyà",4923,3867,19,19,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Perpinyà_name-name:ca.tsv","relation",18000,"Perpignan","CatNord",8,"Q6730",144,54,0,0
"Elx",4213,2777,5,5,FALSE,"PPCC/name-name:ca/informes/informe-PV-Elx_name-name:ca.tsv","relation",347684,"Elx / Elche","PV",8,"Q10509",2118,1163,1,1
"Vilanova i la Geltrú",3064,2542,12,11,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Vilanova i la Geltrú_name-name:ca.tsv","relation",344516,"Vilanova i la Geltrú","Principat",8,"Q15553",6587,1337,13,13
"Calvià",2712,2350,11,11,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Calvià_name-name:ca.tsv","relation",342921,"Calvià","Illes",8,"Q491786",2027,1239,6,6
"Benidorm",2678,2319,4,3,FALSE,"PPCC/name-name:ca/informes/informe-PV-Benidorm_name-name:ca.tsv","relation",341148,"Benidorm","PV",8,"Q487981",640,319,1,1
"Badalona",2745,2118,49,48,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Badalona_name-name:ca.tsv","relation",347954,"Badalona","Principat",8,"Q15468",4380,1364,33,29
"Castelló de la Plana",3449,2041,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Castelló de la Plana_name-name:ca.tsv","relation",344858,"Castelló de la Plana","PV",8,"Q15092",639,245,1,1
"Girona",2339,2033,21,21,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Girona_name-name:ca.tsv","relation",343535,"Girona","Principat",8,"Q7038",1202,734,22,22
"Sant Joan de Labritja",1826,1777,2,2,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Sant Joan de Labritja_name-name:ca.tsv","relation",342254,"Sant Joan de Labritja","Illes",8,"Q983628",112,79,1,1
"Lleida",2304,1734,42,32,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Lleida_name-name:ca.tsv","relation",346345,"Lleida","Principat",8,"Q15090",4084,1690,23,22
"Dénia",1762,1489,4,4,FALSE,"PPCC/name-name:ca/informes/informe-PV-Dénia_name-name:ca.tsv","relation",347678,"Dénia","PV",8,"Q646725",1813,853,1,1
"Torrent",1580,1407,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Torrent_name-name:ca.tsv","relation",340538,"Torrent","PV",8,"Q161945",1404,884,0,0
"Reus",1669,1352,20,19,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Reus_name-name:ca.tsv","relation",340853,"Reus","Principat",8,"Q487096",3265,1306,22,22
"Manacor",1461,1279,13,13,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Manacor_name-name:ca.tsv","relation",342599,"Manacor","Illes",8,"Q49567",1570,1135,2,2
"l'Hospitalet de Llobregat",1660,1262,40,40,FALSE,"PPCC/name-name:ca/informes/informe-Principat-l'Hospitalet de Llobregat_name-name:ca.tsv","relation",345401,"l'Hospitalet de Llobregat","Principat",8,"Q15470",4597,1358,60,28
"L'Alguer",1920,1203,21,21,FALSE,"PPCC/name-name:ca/informes/informe-Sardenya-L'Alguer_name-name:ca.tsv","relation",40581,"Alghero - L'Alguer","Sardenya",8,"Q166282",12,12,2,2
"Llucmajor",1338,1198,1,1,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Llucmajor_name-name:ca.tsv","relation",342597,"Llucmajor","Illes",8,"Q927498",1123,859,5,5
"Tarragona",1564,1166,23,23,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Tarragona_name-name:ca.tsv","relation",339887,"Tarragona","Principat",8,"Q15088",2706,1189,20,20
"Sant Vicent del Raspeig",1532,1069,1,1,FALSE,"PPCC/name-name:ca/informes/informe-PV-Sant Vicent del Raspeig_name-name:ca.tsv","relation",345598,"Sant Vicent del Raspeig / San Vicente del Raspeig","PV",8,"Q491667",381,186,0,0
"Santa Coloma de Gramenet",1389,993,22,21,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Santa Coloma de Gramenet_name-name:ca.tsv","relation",347480,"Santa Coloma de Gramenet","Principat",8,"Q15473",1184,458,20,20
"Sabadell",1444,966,24,23,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Sabadell_name-name:ca.tsv","relation",344202,"Sabadell","Principat",8,"Q12258",3351,1576,24,23
"Xàbia",1147,962,4,4,FALSE,"PPCC/name-name:ca/informes/informe-PV-Xàbia_name-name:ca.tsv","relation",346031,"Xàbia / Jávea","PV",8,"Q851020",908,561,2,2
"Canet de Rosselló",1482,960,1,1,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Canet de Rosselló_name-name:ca.tsv","relation",18350,"Canet-en-Roussillon","CatNord",8,"Q380514",30,26,0,0
"Gandia",1162,955,1,1,FALSE,"PPCC/name-name:ca/informes/informe-PV-Gandia_name-name:ca.tsv","relation",339514,"Gandia","PV",8,"Q33532",1394,753,0,0
"el Prat de Llobregat",1334,935,17,16,FALSE,"PPCC/name-name:ca/informes/informe-Principat-el Prat de Llobregat_name-name:ca.tsv","relation",345761,"el Prat de Llobregat","Principat",8,"Q15619",1564,544,15,13
"Argelers",1319,918,13,13,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Argelers_name-name:ca.tsv","relation",18416,"Argelès-sur-Mer","CatNord",8,"Q644728",36,32,0,0
"Santanyí",1011,902,4,4,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Santanyí_name-name:ca.tsv","relation",342255,"Santanyí","Illes",8,"Q983633",927,690,0,0
"Novelda",1116,871,1,1,FALSE,"PPCC/name-name:ca/informes/informe-PV-Novelda_name-name:ca.tsv","relation",341444,"Novelda","PV",8,"Q983473",82,37,0,0
"Alcúdia",1006,863,10,9,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Alcúdia_name-name:ca.tsv","relation",347549,"Alcúdia","Illes",8,"Q385923",993,716,3,3
"Pollença",932,862,6,6,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Pollença_name-name:ca.tsv","relation",347644,"Pollença","Illes",8,"Q601112",964,704,1,1
"Sagunt",1148,848,1,1,FALSE,"PPCC/name-name:ca/informes/informe-PV-Sagunt_name-name:ca.tsv","relation",348833,"Sagunt / Sagunto","PV",8,"Q47483",1227,733,0,0
"Santa Pola",1139,819,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Santa Pola_name-name:ca.tsv","relation",345599,"Santa Pola","PV",8,"Q257707",92,67,0,0
"Sant Cugat del Vallès",1040,796,22,16,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Sant Cugat del Vallès_name-name:ca.tsv","relation",347540,"Sant Cugat del Vallès","Principat",8,"Q13936",3116,1334,20,17
"Vic",951,777,9,9,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Vic_name-name:ca.tsv","relation",341903,"Vic","Principat",8,"Q13855",1645,797,8,8
"Terrassa",1135,756,33,33,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Terrassa_name-name:ca.tsv","relation",342210,"Terrassa","Principat",8,"Q13939",5565,1574,18,18
"Calp",1106,741,4,4,FALSE,"PPCC/name-name:ca/informes/informe-PV-Calp_name-name:ca.tsv","relation",344437,"Calp","PV",8,"Q671272",209,118,1,1
"Manresa",950,719,14,14,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Manresa_name-name:ca.tsv","relation",346721,"Manresa","Principat",8,"Q16697",2248,1031,16,16
"Guardamar del Segura",874,715,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Guardamar del Segura_name-name:ca.tsv","relation",343124,"Guardamar del Segura","PV",8,"Q927965",619,272,0,0
"Paterna",1017,714,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Paterna_name-name:ca.tsv","relation",346847,"Paterna","PV",8,"Q23042",269,117,0,0
"Cerdanyola del Vallès",968,712,16,14,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Cerdanyola del Vallès_name-name:ca.tsv","relation",346442,"Cerdanyola del Vallès","Principat",8,"Q13922",2018,853,9,9
"Sant Boi de Llobregat",1034,702,9,9,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Sant Boi de Llobregat_name-name:ca.tsv","relation",347545,"Sant Boi de Llobregat","Principat",8,"Q15635",1838,653,18,18
"Marratxí",834,697,7,7,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Marratxí_name-name:ca.tsv","relation",342602,"Marratxí","Illes",8,"Q950940",1028,784,3,3
"Sitges",907,690,4,4,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Sitges_name-name:ca.tsv","relation",342217,"Sitges","Principat",8,"Q15551",1388,692,4,4
"Capdepera",835,665,3,3,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Capdepera_name-name:ca.tsv","relation",342918,"Capdepera","Illes",8,"Q920971",664,426,2,2
"Ciutadella",778,655,3,3,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Ciutadella_name-name:ca.tsv","relation",1809104,"Ciutadella","Illes",8,"Q899884",1206,643,1,1
"Cabestany",727,638,0,0,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Cabestany_name-name:ca.tsv","relation",18328,"Cabestany","CatNord",8,"Q8970",25,15,0,0
"Sant Esteve del Monestir",1375,637,10,10,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Sant Esteve del Monestir_name-name:ca.tsv","relation",18477,"Saint-Estève","CatNord",8,"Q778090",16,8,0,0
"Alzira",746,634,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Alzira_name-name:ca.tsv","relation",345244,"Alzira","PV",8,"Q931780",867,497,0,0
"Sant Josep de sa Talaia",742,627,12,11,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Sant Josep de sa Talaia_name-name:ca.tsv","relation",346802,"Sant Josep de sa Talaia","Illes",8,"Q983635",579,390,4,4
"el Barcarès",982,624,0,0,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-el Barcarès_name-name:ca.tsv","relation",18363,"Le Barcarès","CatNord",8,"Q689457",7,6,0,0
"Torroella de Montgrí",713,622,3,3,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Torroella de Montgrí_name-name:ca.tsv","relation",346722,"Torroella de Montgrí","Principat",8,"Q13573",917,588,3,3
"Sant Cebrià de Rosselló",1569,621,0,0,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Sant Cebrià de Rosselló_name-name:ca.tsv","relation",271713,"Saint-Cyprien","CatNord",8,"Q752547",11,3,0,0
"Castellar del Vallès",696,611,6,5,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Castellar del Vallès_name-name:ca.tsv","relation",339616,"Castellar del Vallès","Principat",8,"Q13918",1127,655,16,7
"Sant Vicenç dels Horts",708,602,6,6,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Sant Vicenç dels Horts_name-name:ca.tsv","relation",346445,"Sant Vicenç dels Horts","Principat",8,"Q15649",1412,545,5,5
"Borriana",1159,601,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Borriana_name-name:ca.tsv","relation",339850,"Borriana/Burriana","PV",8,"Q385070",1486,658,0,0
"Andratx",677,598,3,3,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Andratx_name-name:ca.tsv","relation",347551,"Andratx","Illes",8,"Q493017",872,619,2,2
"Sóller",665,597,4,4,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Sóller_name-name:ca.tsv","relation",346488,"Sóller","Illes",8,"Q832991",784,506,3,3
"Ribesaltes",898,594,10,10,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Ribesaltes_name-name:ca.tsv","relation",1664393,"Rivesaltes","CatNord",8,"Q689466",6,6,0,0
"Teulada",752,587,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Teulada_name-name:ca.tsv","relation",345595,"Teulada","PV",8,"Q521633",171,85,0,0
"Granollers",745,584,13,11,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Granollers_name-name:ca.tsv","relation",346608,"Granollers","Principat",8,"Q15420",1302,676,7,7
"Alcoi",793,576,1,1,FALSE,"PPCC/name-name:ca/informes/informe-PV-Alcoi_name-name:ca.tsv","relation",347424,"Alcoi / Alcoy","PV",8,"Q494777",1110,613,2,2
"Sant Joan d'Alacant",707,573,1,1,FALSE,"PPCC/name-name:ca/informes/informe-PV-Sant Joan d'Alacant_name-name:ca.tsv","relation",340928,"Sant Joan d'Alacant","PV",8,"Q740204",110,85,1,1
"Cullera",746,571,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Cullera_name-name:ca.tsv","relation",343971,"Cullera","PV",8,"Q986733",599,404,1,1
"Mont-roig del Camp",688,559,2,2,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Mont-roig del Camp_name-name:ca.tsv","relation",348138,"Mont-roig del Camp","Principat",8,"Q929794",1037,580,2,2
"Mataró",943,554,17,15,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Mataró_name-name:ca.tsv","relation",345587,"Mataró","Principat",8,"Q11492",2009,1088,23,20
"Artà",609,549,4,4,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Artà_name-name:ca.tsv","relation",347552,"Artà","Illes",8,"Q715970",632,499,1,1
"Escorca",657,546,1,1,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Escorca_name-name:ca.tsv","relation",342914,"Escorca","Illes",8,"Q950951",295,251,5,5
"Figueres",742,546,10,9,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Figueres_name-name:ca.tsv","relation",347769,"Figueres","Principat",8,"Q6839",1898,661,10,10
"Inca",618,544,11,11,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Inca_name-name:ca.tsv","relation",347250,"Inca","Illes",8,"Q988688",772,546,0,0
"Santa Eulària des Riu",627,539,13,13,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Santa Eulària des Riu_name-name:ca.tsv","relation",342258,"Santa Eulària des Riu","Illes",8,"Q983465",974,611,5,5
"Mollet del Vallès",704,535,13,11,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Mollet del Vallès_name-name:ca.tsv","relation",345553,"Mollet del Vallès","Principat",8,"Q15430",822,415,11,10
"Sant Llorenç des Cardassar",600,535,1,1,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Sant Llorenç des Cardassar_name-name:ca.tsv","relation",342253,"Sant Llorenç des Cardassar","Illes",8,"Q983463",621,398,1,1
"el Pont de Suert",587,534,5,5,FALSE,"PPCC/name-name:ca/informes/informe-Principat-el Pont de Suert_name-name:ca.tsv","relation",342835,"el Pont de Suert","Principat",8,"Q12708",373,250,6,6
"Cornellà de Llobregat",842,532,8,8,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Cornellà de Llobregat_name-name:ca.tsv","relation",339968,"Cornellà de Llobregat","Principat",8,"Q15602",886,425,43,16
"Felanitx",591,531,2,2,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Felanitx_name-name:ca.tsv","relation",347246,"Felanich","Illes",8,"Q743741",831,643,3,3
"Maó",708,529,2,2,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Maó_name-name:ca.tsv","relation",1809102,"Maó","Illes",8,"Q49550",1025,470,2,2
"Tremp",571,529,8,8,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Tremp_name-name:ca.tsv","relation",343014,"Tremp","Principat",8,"Q18272",679,480,40,33
"Castelldefels",739,522,4,4,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Castelldefels_name-name:ca.tsv","relation",339617,"Castelldefels","Principat",8,"Q15597",1167,475,3,3
"Salou",682,519,14,8,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Salou_name-name:ca.tsv","relation",343188,"Salou","Principat",8,"Q662789",779,367,4,4
"Sant Llorenç de la Salanca",735,517,0,0,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Sant Llorenç de la Salanca_name-name:ca.tsv","relation",270405,"Saint-Laurent-de-la-Salanque","CatNord",8,"Q199847",21,15,0,0
"el Campello",676,505,1,1,FALSE,"PPCC/name-name:ca/informes/informe-PV-el Campello_name-name:ca.tsv","relation",340030,"el Campello","PV",8,"Q842224",321,181,1,1
"Petrer",643,504,1,1,FALSE,"PPCC/name-name:ca/informes/informe-PV-Petrer_name-name:ca.tsv","relation",345286,"Petrer","PV",8,"Q1751353",64,45,0,0
"Onda",847,502,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Onda_name-name:ca.tsv","relation",343021,"Onda","PV",8,"Q984821",116,80,0,0
"la Vall de Boí",584,502,10,10,FALSE,"PPCC/name-name:ca/informes/informe-Principat-la Vall de Boí_name-name:ca.tsv","relation",339820,"la Vall de Boí","Principat",8,"Q12711",511,272,8,6
"Campos",544,501,3,3,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Campos_name-name:ca.tsv","relation",342919,"Campos","Illes",8,"Q743716",692,565,2,2
"Benissa",637,495,4,4,FALSE,"PPCC/name-name:ca/informes/informe-PV-Benissa_name-name:ca.tsv","relation",345268,"Benissa","PV",8,"Q1649406",678,459,0,0
"Ceret",786,492,5,5,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Ceret_name-name:ca.tsv","relation",23266,"Céret","CatNord",8,"Q6643",105,46,0,0
"Sant Antoni de Portmany",585,492,0,0,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Sant Antoni de Portmany_name-name:ca.tsv","relation",346793,"Sant Antoni de Portmany","Illes",8,"Q734805",494,307,1,1
"Altea",579,487,5,5,FALSE,"PPCC/name-name:ca/informes/informe-PV-Altea_name-name:ca.tsv","relation",340528,"Altea","PV",8,"Q436491",391,229,1,1
"Eivissa",540,478,3,3,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Eivissa_name-name:ca.tsv","relation",347249,"Eivissa","Illes",8,"Q473914",680,405,3,3
"Prada",706,477,1,1,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Prada_name-name:ca.tsv","relation",20224,"Prades","CatNord",8,"Q212450",19,17,0,0
"la Vall d'Uixó",878,477,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-la Vall d'Uixó_name-name:ca.tsv","relation",341852,"la Vall d'Uixó","PV",8,"Q1637512",238,136,0,0
"Montcada i Reixac",796,473,12,11,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Montcada i Reixac_name-name:ca.tsv","relation",346037,"Montcada i Reixac","Principat",8,"Q13927",1426,559,4,4
"Tuïr",693,471,0,0,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Tuïr_name-name:ca.tsv","relation",18482,"Thuir","CatNord",8,"Q199697",15,12,0,0
"Peníscola",541,470,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Peníscola_name-name:ca.tsv","relation",343063,"Peníscola / Peñíscola","PV",8,"Q845424",365,255,0,0
"Santa Margalida",555,464,1,1,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Santa Margalida_name-name:ca.tsv","relation",342257,"Santa Margalida","Illes",8,"Q984491",592,441,1,1
"Esplugues de Llobregat",650,451,8,8,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Esplugues de Llobregat_name-name:ca.tsv","relation",339972,"Esplugues de Llobregat","Principat",8,"Q15621",772,338,35,12
"Elna",1088,446,18,17,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Elna_name-name:ca.tsv","relation",18417,"Elne","CatNord",8,"Q23073",27,7,0,0
"Alcalà de Xivert",546,445,0,0,FALSE,"PPCC/name-name:ca/informes/informe-PV-Alcalà de Xivert_name-name:ca.tsv","relation",344297,"Alcalà de Xivert","PV",8,"Q1635204",352,247,0,0
"Ulldecona",561,442,3,3,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Ulldecona_name-name:ca.tsv","relation",344610,"Ulldecona","Principat",8,"Q995682",480,361,0,0
"Begues",588,438,7,7,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Begues_name-name:ca.tsv","relation",343715,"Begues","Principat",8,"Q15596",863,507,11,11
"Cotlliure",591,438,13,13,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Cotlliure_name-name:ca.tsv","relation",18409,"Collioure","CatNord",8,"Q254829",37,26,0,0
"Fraga",603,438,1,1,FALSE,"PPCC/name-name:ca/informes/informe-Franja-Fraga_name-name:ca.tsv","relation",341530,"Fraga","Franja",8,"Q904212",67,46,1,1
"Ripollet",507,437,11,11,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Ripollet_name-name:ca.tsv","relation",344203,"Ripollet","Principat",8,"Q13933",648,317,3,3
"Palafrugell",498,429,17,17,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Palafrugell_name-name:ca.tsv","relation",345513,"Palafrugell","Principat",8,"Q13490",1504,784,26,26
"Montanui",477,428,1,1,FALSE,"PPCC/name-name:ca/informes/informe-Franja-Montanui_name-name:ca.tsv","relation",340826,"Montanuy","Franja",8,"Q768770",78,67,0,0
"Sant Pere de Ribes",518,428,5,5,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Sant Pere de Ribes_name-name:ca.tsv","relation",341476,"Sant Pere de Ribes","Principat",8,"Q15555",1179,653,3,3
"Muro",488,426,2,2,FALSE,"PPCC/name-name:ca/informes/informe-Illes-Muro_name-name:ca.tsv","relation",342603,"Muro","Illes",8,"Q595424",542,389,1,1
"Canillo",564,418,15,14,FALSE,"PPCC/name-name:ca/informes/informe-Andorra-Canillo_name-name:ca.tsv","relation",2804754,"Canillo","Andorra",7,"Q24260",192,121,17,15
"Rubí",546,418,9,9,FALSE,"PPCC/name-name:ca/informes/informe-Principat-Rubí_name-name:ca.tsv","relation",344200,"Rubí","Principat",8,"Q13934",2064,922,9,8
"Banyuls de la Marenda",631,411,17,17,FALSE,"PPCC/name-name:ca/informes/informe-CatNord-Banyuls de la Marenda_name-name:ca.tsv","relation",18391,"Banyuls-sur-Mer","CatNord",8,"Q6753",56,47,0,0
