"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"camí de Calderitx"	"camí de Calderitx"							"way"	" 32145863"		"{'highway': 'unclassified', 'name': 'camí de Calderitx'}"
"camí de Maria"	"camí de Maria"							"way"	"162011735"		"{'highway': 'unclassified', 'name': 'camí de Maria', 'surface': 'asphalt'}"
"camí de Petra"	"camí de Petra"							"way"	" 47302784"		"{'cycleway:both': 'no', 'highway': 'unclassified', 'lane_markings': 'no', 'name': 'camí de Petra', 'surface': 'asphalt'}"
"camí de Sa Canova"	"camí de Sa Canova"							"way"	" 60811070"		"{'highway': 'unclassified', 'name': 'camí de Sa Canova', 'source': 'ideib WMS (see OSM wiki)'}"
"camí de sa Garriga"	"camí de sa Garriga"							"way"	" 61599105"		"{'highway': 'unclassified', 'name': 'camí de sa Garriga', 'source': 'ideib WMS (see OSM wiki)'}"
"Camí de sa Garriga"	"Camí de sa Garriga"							"way"	" 60811081"		"{'highway': 'track', 'name': 'Camí de sa Garriga', 'source': 'ideib WMS (see OSM wiki)', 'surface': 'gravel', 'tracktype': 'grade2'}"
"camí de sa Garriga d'en Grau"	"camí de sa Garriga d'en Grau"							"way"	"276413681"		"{'highway': 'track', 'name': \"camí de sa Garriga d'en Grau\", 'surface': 'asphalt', 'tracktype': 'grade1'}"
"camí de Ses Tapereres"	"camí de Ses Tapereres"							"way"	"517936007"		"{'highway': 'unclassified', 'name': 'camí de Ses Tapereres', 'oneway': 'no', 'surface': 'asphalt'}"
"camí de Son Bonany"	"camí de Son Bonany"							"way"	" 60811102"		"{'highway': 'unclassified', 'name': 'camí de Son Bonany', 'source': 'ideib WMS (see OSM wiki)'}"
"camí de Son Gener"	"camí de Son Gener"							"way"	"484343569"		"{'highway': 'track', 'name': 'camí de Son Gener'}"
"camí de Son Guillot"	"camí de Son Guillot"							"way"	"280040402"		"{'highway': 'unclassified', 'name': 'camí de Son Guillot'}"
"camí de Son Huguet"	"camí de Son Huguet"							"way"	"612080321"		"{'highway': 'unclassified', 'name': 'camí de Son Huguet'}"
"camí de Son Reixac"	"camí de Son Reixac"							"way"	"276413682"		"{'highway': 'unclassified', 'name': 'camí de Son Reixac'}"
"camí de Son Ribot"	"camí de Son Ribot"							"way"	"656001198"		"{'highway': 'service', 'name': 'camí de Son Ribot', 'service': 'driveway'}"
"camí de Son Ribotet"	"camí de Son Ribotet"							"way"	"151111485"		"{'highway': 'unclassified', 'maxspeed': '50', 'name': 'camí de Son Ribotet', 'surface': 'asphalt'}"
"camí de Son Rullan"	"camí de Son Rullan"							"way"	"827839587"		"{'highway': 'track', 'name': 'camí de Son Rullan'}"
"camí des Camp"	"camí des Camp"							"way"	" 61650720"		"{'foot': 'yes', 'highway': 'unclassified', 'name': 'camí des Camp', 'source': 'ideib WMS (see OSM wiki)', 'surface': 'asphalt'}"
"camí des Campet"	"camí des Campet"							"way"	" 60811106"		"{'highway': 'unclassified', 'name': 'camí des Campet', 'source': 'ideib WMS (see OSM wiki)'}"
"camí des Puig"	"camí des Puig"							"way"	"531427136"		"{'highway': 'track', 'name': 'camí des Puig'}"
"carrer Atoxta"	"carrer Atoxta"	"carrer Atocha"	"carrer Atocha"					"way"	" 61478525"		"{'alt_name': 'carrer Atocha', 'highway': 'residential', 'name': 'carrer Atoxta', 'surface': 'asphalt'}"
"carrer Bernat Pont"	"carrer Bernat Pont"							"way"	" 60811066"		"{'highway': 'residential', 'name': 'carrer Bernat Pont', 'source': 'ideib WMS (see OSM wiki)'}"
"carrer Betlem"	"carrer Betlem"							"way"	" 60811064"		"{'highway': 'residential', 'name': 'carrer Betlem', 'source': 'ideib WMS (see OSM wiki)', 'surface': 'asphalt'}"
"Carrer Billoch"	"Carrer Billoch"							"way"	" 60812587"		"{'highway': 'residential', 'name': 'Carrer Billoch', 'oneway': 'yes', 'source': 'ideib WMS (see OSM wiki)'}"
"carrer Cotoner"	"carrer Cotoner"							"way"	" 60812585"		"{'highway': 'residential', 'name': 'carrer Cotoner', 'source': 'ideib WMS (see OSM wiki)'}"
"carrer Dameto"	"carrer Dameto"							"way"	" 60812600"		"{'highway': 'residential', 'name': 'carrer Dameto', 'source': 'ideib WMS (see OSM wiki)', 'surface': 'asphalt'}"
"Carrer de l'Alberg"	"Carrer de l'Alberg"	"Carrer Auberg"	"Carrer Auberg"					"way"	" 60812593"		"{'alt_name': 'Carrer Auberg', 'highway': 'residential', 'name': \"Carrer de l'Alberg\", 'source': 'ideib WMS (see OSM wiki)'}"
"carrer de l'Església"	"carrer de l'Església"							"way"	" 60812597"		"{'highway': 'residential', 'name': \"carrer de l'Església\"}"
"carrer de l'Església"	"carrer de l'Església"							"way"	" 61478528"		"{'foot': 'yes', 'highway': 'pedestrian', 'name': \"carrer de l'Església\"}"
"carrer de l'Esperança"	"carrer de l'Esperança"							"way"	" 60812602"		"{'highway': 'residential', 'name': \"carrer de l'Esperança\", 'source': 'ideib WMS (see OSM wiki)'}"
"carrer de la Lluna"	"carrer de la Lluna"							"way"	" 60812584"		"{'highway': 'residential', 'name': 'carrer de la Lluna', 'source': 'ideib WMS (see OSM wiki)'}"
"carrer de Maria"	"carrer de Maria"							"way"	"279877405"		"{'highway': 'residential', 'name': 'carrer de Maria'}"
"carrer de Maria"	"carrer de Maria"							"way"	" 32145854"		"{'highway': 'residential', 'name': 'carrer de Maria', 'surface': 'asphalt'}"
"carrer del Nord"	"carrer del Nord"							"way"	" 60812604"		"{'highway': 'residential', 'name': 'carrer del Nord', 'source': 'ideib WMS (see OSM wiki)'}"
"carrer del Pare Bruno"	"carrer del Pare Bruno"							"way"	" 60812589"		"{'highway': 'residential', 'name': 'carrer del Pare Bruno', 'source': 'ideib WMS (see OSM wiki)'}"
"carrer del Pare Miquel Gual"	"carrer del Pare Miquel Gual"							"way"	" 60812596"		"{'highway': 'residential', 'name': 'carrer del Pare Miquel Gual', 'source': 'ideib WMS (see OSM wiki)'}"
"carrer del Pare Miquel Gual"	"carrer del Pare Miquel Gual"							"way"	"528546688"		"{'highway': 'residential', 'motor_vehicle': 'private', 'name': 'carrer del Pare Miquel Gual', 'source': 'ideib WMS (see OSM wiki)'}"
"Carrer del Pare Miquel Gual"	"Carrer del Pare Miquel Gual"							"way"	" 60812586"		"{'highway': 'residential', 'name': 'Carrer del Pare Miquel Gual', 'source': 'ideib WMS (see OSM wiki)'}"
"carrer del Sol"	"carrer del Sol"							"way"	"528546687"		"{'highway': 'residential', 'name': 'carrer del Sol', 'source': 'ideib WMS (see OSM wiki)', 'surface': 'asphalt'}"
