"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí Fanegas"	"Camí Fanegas"							"way"	"264116222"		"{'highway': 'residential', 'name': 'Camí Fanegas'}"
"Camí l'Olleria"	"Camí l'Olleria"							"way"	"225204400"		"{'highway': 'residential', 'name': \"Camí l'Olleria\"}"
"Carrer Camí Real"	"Carrer Camí Real"							"way"	"225204408"		"{'highway': 'residential', 'name': 'Carrer Camí Real'}"
"Carrer Camí Real"	"Carrer Camí Real"							"way"	"703432980"		"{'highway': 'secondary_link', 'name': 'Carrer Camí Real'}"
"Carrer Camí Real"	"Carrer Camí Real"							"way"	"315990916"		"{'highway': 'secondary_link', 'name': 'Carrer Camí Real'}"
"Carrer Cooperativa"	"Carrer Cooperativa"							"way"	"703432982"		"{'highway': 'residential', 'name': 'Carrer Cooperativa'}"
"Carrer de la Emita"	"Carrer de la Emita"							"way"	"225206315"		"{'highway': 'residential', 'name': 'Carrer de la Emita'}"
"Carrer Diputació"	"Carrer Diputació"							"way"	"225204404"		"{'highway': 'residential', 'name': 'Carrer Diputació'}"
"Carrer Don Enrique Mahiques"	"Carrer Don Enrique Mahiques"							"way"	"702259854"		"{'highway': 'residential', 'name': 'Carrer Don Enrique Mahiques'}"
"Carrer Don Luis Alfaro"	"Carrer Don Luis Alfaro"							"way"	"328620437"		"{'highway': 'residential', 'name': 'Carrer Don Luis Alfaro'}"
"Carrer Germanies"	"Carrer Germanies"							"way"	"703432984"		"{'highway': 'residential', 'name': 'Carrer Germanies'}"
"Carrer heliodoro Madrona"	"Carrer heliodoro Madrona"							"way"	"328620436"		"{'highway': 'residential', 'name': 'Carrer heliodoro Madrona'}"
"Carrer Llibertat"	"Carrer Llibertat"							"way"	"225206312"		"{'highway': 'residential', 'name': 'Carrer Llibertat'}"
"Carrer Petra Julme"	"Carrer Petra Julme"							"way"	"225206313"		"{'highway': 'residential', 'name': 'Carrer Petra Julme', 'tracktype': 'grade1'}"
"Carrer San Gregorio"	"Carrer San Gregorio"							"way"	"264115531"		"{'highway': 'residential', 'name': 'Carrer San Gregorio'}"
"Carrer San Gregorio"	"Carrer San Gregorio"							"way"	"225204406"		"{'highway': 'residential', 'name': 'Carrer San Gregorio'}"
"Carrer San Gregorio"	"Carrer San Gregorio"							"way"	"225204405"		"{'highway': 'residential', 'name': 'Carrer San Gregorio'}"
"Carrer San Gregorio"	"Carrer San Gregorio"							"way"	"315990915"		"{'highway': 'residential', 'name': 'Carrer San Gregorio'}"
"Carrer Sant Antoni"	"Carrer Sant Antoni"							"way"	"703432983"		"{'highway': 'residential', 'name': 'Carrer Sant Antoni'}"
"Carrer Santa Anna"	"Carrer Santa Anna"							"way"	"264115533"		"{'highway': 'residential', 'name': 'Carrer Santa Anna'}"
"Carrer Santa Anna"	"Carrer Santa Anna"							"way"	"225204402"		"{'highway': 'residential', 'name': 'Carrer Santa Anna'}"
"Carrer València"	"Carrer València"							"way"	"315990918"		"{'highway': 'residential', 'name': 'Carrer València'}"
