"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí Coll de la Mola"	"Camí Coll de la Mola"							"way"	"  25426331"		"{'highway': 'track', 'name': 'Camí Coll de la Mola', 'surface': 'ground', 'tracktype': 'grade3'}"
"Camí de Juvellús"	"Camí de Juvellús"							"way"	"  24033376"		"{'highway': 'unclassified', 'name': 'Camí de Juvellús', 'oneway': 'no'}"
"Camí de Juvellús"	"Camí de Juvellús"							"way"	"  27621150"		"{'highway': 'track', 'incline': 'up', 'name': 'Camí de Juvellús', 'smoothness': 'bad', 'surface': 'unpaved', 'tracktype': 'grade2', 'width': '3'}"
"Camí de Juvellús"	"Camí de Juvellús"							"way"	"  97410872"		"{'highway': 'unclassified', 'name': 'Camí de Juvellús', 'oneway': 'no'}"
"Camí de la Font Tallada"	"Camí de la Font Tallada"							"way"	" 822687931"		"{'highway': 'unclassified', 'name': 'Camí de la Font Tallada', 'oneway': 'no'}"
"Camí de la Font Tallada"	"Camí de la Font Tallada"							"way"	"  97410877"		"{'highway': 'unclassified', 'name': 'Camí de la Font Tallada', 'oneway': 'no'}"
"Camí de la Font Tallada"	"Camí de la Font Tallada"							"way"	"  97410878"		"{'highway': 'unclassified', 'name': 'Camí de la Font Tallada', 'oneway': 'no'}"
"Camí de la Senda del Retor"	"Camí de la Senda del Retor"							"way"	"  97410873"		"{'highway': 'unclassified', 'name': 'Camí de la Senda del Retor', 'oneway': 'no'}"
"Camí de Vila-roig"	"Camí de Vila-roig"							"way"	" 443035435"		"{'highway': 'unclassified', 'name': 'Camí de Vila-roig', 'oneway': 'no'}"
"Camí del Mas d'Huguet"	"Camí del Mas d'Huguet"							"way"	"  25425026"		"{'highway': 'track', 'mtb:name': 'Pista Roja', 'name': \"Camí del Mas d'Huguet\", 'surface': 'ground', 'tracktype': 'grade2'}"
"Camí del Palmeral"	"Camí del Palmeral"							"way"	" 223151947"		"{'bridge': 'yes', 'highway': 'unclassified', 'lanes': '2', 'layer': '1', 'maxspeed': '40', 'name': 'Camí del Palmeral', 'old_name': 'Camí de les Vil·les', 'oneway': 'no', 'sidewalk': 'no'}"
"Camí del Palmeral"	"Camí del Palmeral"							"way"	" 223151948"		"{'highway': 'unclassified', 'lanes': '2', 'maxspeed': '40', 'name': 'Camí del Palmeral', 'old_name': 'Camí de les Vil·les', 'oneway': 'no', 'sidewalk': 'no'}"
"Camí del Palmeral"	"Camí del Palmeral"							"way"	" 586081125"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí del Palmeral', 'old_name': 'Camí de les Vil·les', 'oneway': 'yes', 'sidewalk': 'no'}"
"Camí del Palmeral"	"Camí del Palmeral"							"way"	" 511552278"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí del Palmeral', 'old_name': 'Camí de les Vil·les', 'oneway': 'yes', 'sidewalk': 'right'}"
"Camí del Palmeral"	"Camí del Palmeral"							"way"	" 586081115"		"{'highway': 'unclassified', 'lanes': '2', 'maxspeed': '40', 'name': 'Camí del Palmeral', 'old_name': 'Camí de les Vil·les', 'oneway': 'no', 'sidewalk': 'left'}"
"Camí del Palmeral"	"Camí del Palmeral"							"way"	"  24746931"		"{'highway': 'unclassified', 'lanes': '2', 'maxspeed': '40', 'name': 'Camí del Palmeral', 'old_name': 'Camí de les Vil·les', 'oneway': 'no', 'sidewalk': 'no'}"
"Camí del Palmeral"	"Camí del Palmeral"							"way"	"  24746932"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí del Palmeral', 'old_name': 'Camí de les Vil·les', 'oneway': 'yes', 'sidewalk': 'no'}"
"Camí del Palmeral"	"Camí del Palmeral"							"way"	"  24746933"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí del Palmeral', 'old_name': 'Camí de les Vil·les', 'oneway': 'yes', 'sidewalk': 'right'}"
"Camí del Pla del Salandó"	"Camí del Pla del Salandó"							"way"	"  25571477"		"{'highway': 'track', 'name': 'Camí del Pla del Salandó', 'tracktype': 'grade3'}"
"Camí del Portell"	"Camí del Portell"							"way"	"  28268740"		"{'highway': 'path', 'name': 'Camí del Portell', 'sac_scale': 'mountain_hiking'}"
"Camí del Portell"	"Camí del Portell"							"way"	" 454455935"		"{'highway': 'path', 'name': 'Camí del Portell', 'sac_scale': 'mountain_hiking'}"
"Camí del Portell"	"Camí del Portell"							"way"	"  28268682"		"{'access': 'yes', 'bicycle': 'no', 'foot': 'yes', 'highway': 'path', 'horse': 'yes', 'mtb:name': 'Las Contiendas', 'name': 'Camí del Portell', 'sac_scale': 'mountain_hiking', 'surface': 'ground'}"
"Camí del Portell"	"Camí del Portell"							"way"	"  28268533"	"loc_name=Pista del Mas de Xiva"	"{'bicycle': 'yes', 'foot': 'yes', 'highway': 'track', 'horse': 'yes', 'incline': '0%', 'loc_name': 'Pista del Mas de Xiva', 'motor_vehicle': 'no', 'mtb:scale': '0', 'mtb:scale:uphill': '0', 'name': 'Camí del Portell', 'surface': 'ground', 'tracktype': 'grade3'}"
"Camí dels Covarxos"	"Camí dels Covarxos"							"way"	"  33305667"		"{'highway': 'path', 'name': 'Camí dels Covarxos', 'sac_scale': 'mountain_hiking'}"
"Camí dels Covarxos"	"Camí dels Covarxos"							"way"	"  97410880"		"{'highway': 'track', 'name': 'Camí dels Covarxos', 'tracktype': 'grade1'}"
"Camí dels Covarxos"	"Camí dels Covarxos"							"way"	"  33309475"		"{'highway': 'track', 'name': 'Camí dels Covarxos', 'tracktype': 'grade1'}"
"Camí dels Covarxos"	"Camí dels Covarxos"							"way"	" 451752570"		"{'highway': 'track', 'name': 'Camí dels Covarxos', 'sac_scale': 'mountain_hiking', 'tracktype': 'grade3'}"
"Camí dels Lladres"	"Camí dels Lladres"							"way"	" 861049169"		"{'highway': 'track', 'name': 'Camí dels Lladres', 'tracktype': 'grade3'}"
"Camí dels Lladres"	"Camí dels Lladres"							"way"	" 394916802"		"{'highway': 'track', 'name': 'Camí dels Lladres', 'tracktype': 'grade4'}"
"Camí Vell del Desert"	"Camí Vell del Desert"							"way"	" 860802000"		"{'highway': 'path', 'name': 'Camí Vell del Desert'}"
"Camí Vell del Desert"	"Camí Vell del Desert"							"way"	" 289069267"		"{'highway': 'track', 'name': 'Camí Vell del Desert', 'tracktype': 'grade4'}"
"Camí Vell del Desert"	"Camí Vell del Desert"							"way"	" 230728710"		"{'highway': 'track', 'name': 'Camí Vell del Desert', 'tracktype': 'grade3'}"
"Carrer Astoria"	"Carrer Astoria"							"way"	"  24018935"	"name:es=Calle de Astoria"	"{'highway': 'residential', 'lanes': '1', 'name': 'Carrer Astoria', 'name:es': 'Calle de Astoria', 'oneway': 'yes', 'sidewalk': 'no', 'vehicle': 'destination'}"
