"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Beneixama"	"Avinguda Beneixama"							"way"	"215636159"		"{'highway': 'residential', 'name': 'Avinguda Beneixama'}"
"Avinguda Campo de Mirra"	"Avinguda Campo de Mirra"							"way"	"207631206"		"{'highway': 'residential', 'name': 'Avinguda Campo de Mirra'}"
"Avinguda Canyada"	"Avinguda Canyada"							"way"	"215636161"		"{'highway': 'residential', 'name': 'Avinguda Canyada'}"
"Avinguda de Castalla"	"Avinguda de Castalla"							"way"	"192671020"		"{'highway': 'residential', 'name': 'Avinguda de Castalla', 'oneway': 'no'}"
"Avinguda del Pais Valenciá"	"Avinguda del Pais Valenciá"							"way"	"213521315"		"{'highway': 'residential', 'name': 'Avinguda del Pais Valenciá'}"
"Avinguda del Pais Valenciá"	"Avinguda del Pais Valenciá"							"way"	"192671022"		"{'highway': 'residential', 'name': 'Avinguda del Pais Valenciá', 'oneway': 'no'}"
"Camí Canyada"	"Camí Canyada"							"way"	"688756721"		"{'bicycle': 'yes', 'cycleway': 'no', 'highway': 'unclassified', 'name': 'Camí Canyada', 'source': 'GPS', 'surface': 'asphalt'}"
"Camí Canyada"	"Camí Canyada"							"way"	"746705751"		"{'bicycle': 'yes', 'cycleway': 'no', 'highway': 'unclassified', 'name': 'Camí Canyada', 'source': 'GPS', 'surface': 'asphalt'}"
"Camí de Biar a Alcoi"	"Camí de Biar a Alcoi"							"way"	"169503601"		"{'highway': 'unclassified', 'name': 'Camí de Biar a Alcoi', 'oneway': 'yes'}"
"Camí de Biar a Alcoi"	"Camí de Biar a Alcoi"							"way"	"746707625"		"{'highway': 'unclassified', 'name': 'Camí de Biar a Alcoi', 'oneway': 'no'}"
"Camí de Biar a Alcoi"	"Camí de Biar a Alcoi"							"way"	"169503600"		"{'highway': 'unclassified', 'name': 'Camí de Biar a Alcoi', 'oneway': 'yes'}"
"Camí de la LLoma"	"Camí de la LLoma"							"way"	"207631213"		"{'highway': 'track', 'name': 'Camí de la LLoma', 'tracktype': 'grade2'}"
"Camí de la LLoma"	"Camí de la LLoma"							"way"	"207631208"		"{'bridge': 'yes', 'highway': 'service', 'layer': '2', 'name': 'Camí de la LLoma'}"
"Camí de la LLoma"	"Camí de la LLoma"							"way"	"207631205"		"{'highway': 'residential', 'name': 'Camí de la LLoma'}"
"Camí Mare de Déu"	"Camí Mare de Déu"							"way"	"746692151"		"{'highway': 'unclassified', 'name': 'Camí Mare de Déu'}"
"Carrer A"	"Carrer A"							"way"	"207631204"		"{'highway': 'residential', 'name': 'Carrer A', 'oneway': 'yes'}"
"Carrer A"	"Carrer A"							"way"	"207631201"		"{'highway': 'residential', 'name': 'Carrer A'}"
"Carrer A"	"Carrer A"							"way"	"746920467"		"{'highway': 'residential', 'name': 'Carrer A', 'oneway': 'yes'}"
"Carrer A"	"Carrer A"							"way"	"746920441"		"{'highway': 'residential', 'name': 'Carrer A'}"
"Carrer Antonio Hernández"	"Carrer Antonio Hernández"							"way"	"196026731"		"{'highway': 'residential', 'name': 'Carrer Antonio Hernández', 'oneway': 'yes'}"
"Carrer B"	"Carrer B"							"way"	"746920438"		"{'highway': 'residential', 'name': 'Carrer B'}"
"Carrer Balcón de Biar"	"Carrer Balcón de Biar"							"way"	"253290938"		"{'highway': 'residential', 'name': 'Carrer Balcón de Biar'}"
