"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Sant Pere Abanto"	"Avinguda de Sant Pere Abanto"							"way"	" 792226215"		"{'highway': 'residential', 'name': 'Avinguda de Sant Pere Abanto'}"
"Camí de la Torre"	"Camí de la Torre"							"way"	" 424726553"		"{'highway': 'residential', 'name': 'Camí de la Torre'}"
"Camí del Mig"	"Camí del Mig"							"way"	" 194291133"		"{'highway': 'residential', 'name': 'Camí del Mig', 'noexit': 'yes'}"
"Camí Nou"	"Camí Nou"							"way"	" 193467976"		"{'highway': 'residential', 'name': 'Camí Nou'}"
"Camí Ral"	"Camí Ral"							"way"	" 172316989"		"{'highway': 'residential', 'name': 'Camí Ral', 'oneway': 'no'}"
"Camí Ral"	"Camí Ral"							"way"	" 509182825"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '50', 'name': 'Camí Ral', 'oneway': 'yes'}"
"Camí Ral"	"Camí Ral"							"way"	" 424733610"		"{'highway': 'residential', 'name': 'Camí Ral', 'oneway': 'yes'}"
"Camí Vell"	"Camí Vell"							"way"	" 406235209"		"{'highway': 'residential', 'name': 'Camí Vell'}"
"carrer camí Ral"	"carrer camí Ral"							"way"	" 193576115"		"{'bridge': 'yes', 'highway': 'residential', 'name': 'carrer camí Ral', 'oneway': 'yes'}"
"Carrer Carreró"	"Carrer Carreró"							"way"	" 193576113"		"{'highway': 'pedestrian', 'motor_vehicle': 'no', 'name': 'Carrer Carreró'}"
"carrer Ciutat de La Paz"	"carrer Ciutat de La Paz"							"way"	" 193576112"		"{'highway': 'residential', 'lanes': '1', 'name': 'carrer Ciutat de La Paz', 'oneway': 'yes'}"
"carrer Ciutat de La Paz"	"carrer Ciutat de La Paz"							"way"	" 193576111"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '20', 'name': 'carrer Ciutat de La Paz', 'oneway': 'yes'}"
"Carrer de Casals"	"Carrer de Casals"							"way"	" 468367101"		"{'highway': 'footway', 'lit': 'yes', 'name': 'Carrer de Casals', 'surface': 'concrete'}"
"Carrer de Casals"	"Carrer de Casals"							"way"	" 468367648"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Carrer de Casals', 'sidewalk': 'both', 'surface': 'paving_stones'}"
"Carrer de Fra Pere d'Arenys"	"Carrer de Fra Pere d'Arenys"							"way"	" 792228021"		"{'highway': 'residential', 'name': \"Carrer de Fra Pere d'Arenys\", 'oneway': 'no'}"
"Carrer de Jacint Verdaguer"	"Carrer de Jacint Verdaguer"							"way"	"1070403767"	"name:etymology:wikidata=Q379290"	"{'highway': 'residential', 'name': 'Carrer de Jacint Verdaguer', 'name:etymology:wikidata': 'Q379290'}"
"Carrer de l'Escola"	"Carrer de l'Escola"							"way"	" 194291130"		"{'highway': 'residential', 'name': \"Carrer de l'Escola\"}"
"Carrer de l'Església"	"Carrer de l'Església"							"way"	"1086296286"		"{'highway': 'residential', 'name': \"Carrer de l'Església\"}"
"Carrer de l'Església"	"Carrer de l'Església"							"way"	" 467583277"		"{'highway': 'residential', 'name': \"Carrer de l'Església\"}"
"Carrer de l'Església"	"Carrer de l'Església"							"way"	" 467133159"		"{'highway': 'pedestrian', 'name': \"Carrer de l'Església\"}"
"Carrer de l'Església"	"Carrer de l'Església"							"way"	" 467133466"		"{'highway': 'pedestrian', 'name': \"Carrer de l'Església\"}"
"carrer de l'Estació"	"carrer de l'Estació"							"way"	" 193576117"		"{'highway': 'residential', 'name': \"carrer de l'Estació\"}"
"Carrer de la Fornaca"	"Carrer de la Fornaca"							"way"	" 218976188"		"{'highway': 'residential', 'name': 'Carrer de la Fornaca'}"
"Carrer de la Fornaca"	"Carrer de la Fornaca"							"way"	" 218976135"		"{'highway': 'residential', 'name': 'Carrer de la Fornaca'}"
"Carrer de la Fornaca"	"Carrer de la Fornaca"							"way"	" 218976190"		"{'highway': 'residential', 'name': 'Carrer de la Fornaca', 'oneway': 'yes'}"
"Carrer de la Fornaca"	"Carrer de la Fornaca"							"way"	" 218976196"		"{'highway': 'residential', 'name': 'Carrer de la Fornaca'}"
"Carrer de la Fornaca"	"Carrer de la Fornaca"							"way"	" 218976198"		"{'highway': 'residential', 'name': 'Carrer de la Fornaca'}"
"Carrer de la Ginesta"	"Carrer de la Ginesta"							"way"	" 194291131"		"{'highway': 'living_street', 'name': 'Carrer de la Ginesta'}"
"Carrer de la Mercè"	"Carrer de la Mercè"							"way"	" 193467868"		"{'highway': 'residential', 'name': 'Carrer de la Mercè'}"
"Carrer de la Mercè"	"Carrer de la Mercè"							"way"	" 193467867"		"{'highway': 'residential', 'maxspeed': '50', 'name': 'Carrer de la Mercè'}"
"Carrer de la Mercè"	"Carrer de la Mercè"							"way"	" 467128664"		"{'highway': 'residential', 'name': 'Carrer de la Mercè'}"
"Carrer de la Ratlla"	"Carrer de la Ratlla"							"way"	" 218976173"		"{'highway': 'residential', 'name': 'Carrer de la Ratlla', 'oneway': 'yes'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	" 172443724"		"{'highway': 'residential', 'name': 'Carrer de la Riera', 'oneway': 'yes'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	"1086291182"		"{'footway': 'sidewalk', 'highway': 'footway', 'name': 'Carrer de la Riera'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	"1086293765"		"{'highway': 'residential', 'name': 'Carrer de la Riera', 'oneway': 'no'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	" 172443725"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer de la Riera', 'oneway': 'no'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	" 172666730"		"{'highway': 'residential', 'layer': '-1', 'name': 'Carrer de la Riera', 'oneway': 'yes'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	"1086291183"		"{'footway': 'sidewalk', 'highway': 'footway', 'name': 'Carrer de la Riera'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	"1086293764"		"{'highway': 'residential', 'maxheight': '3.3', 'name': 'Carrer de la Riera', 'oneway': 'no'}"
"Carrer de Lluís Companys"	"Carrer de Lluís Companys"							"way"	" 194291128"		"{'highway': 'residential', 'name': 'Carrer de Lluís Companys'}"
"Carrer de Pau Casals"	"Carrer de Pau Casals"							"way"	" 218976179"		"{'bridge': 'yes', 'highway': 'residential', 'name': 'Carrer de Pau Casals'}"
"Carrer de Pau Casals"	"Carrer de Pau Casals"							"way"	" 218976191"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Carrer de Pau Casals', 'sidewalk': 'both', 'surface': 'paving_stones'}"
"Carrer de Pau Casals"	"Carrer de Pau Casals"							"way"	" 218976178"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Carrer de Pau Casals', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Carrer de Pau Casals"	"Carrer de Pau Casals"							"way"	" 468367611"		"{'highway': 'residential', 'name': 'Carrer de Pau Casals'}"
"Carrer de Sant Josep"	"Carrer de Sant Josep"							"way"	" 193576107"		"{'highway': 'living_street', 'name': 'Carrer de Sant Josep', 'oneway': 'yes'}"
"Carrer de Sant Josep"	"Carrer de Sant Josep"							"way"	" 172441469"		"{'highway': 'pedestrian', 'name': 'Carrer de Sant Josep'}"
"Carrer de Sant Pere"	"Carrer de Sant Pere"							"way"	" 193576108"		"{'highway': 'residential', 'name': 'Carrer de Sant Pere', 'oneway': 'yes'}"
"Carrer de Santa Teresa"	"Carrer de Santa Teresa"							"way"	" 193576120"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer de Santa Teresa', 'oneway': 'yes'}"
"Carrer de Santa Teresa"	"Carrer de Santa Teresa"							"way"	"1086289303"		"{'footway': 'sidewalk', 'highway': 'footway', 'name': 'Carrer de Santa Teresa'}"
"Carrer de Santema"	"Carrer de Santema"							"way"	"1086293763"		"{'highway': 'living_street', 'name': 'Carrer de Santema'}"
"Carrer de Torrevella"	"Carrer de Torrevella"							"way"	" 218976134"		"{'highway': 'residential', 'name': 'Carrer de Torrevella'}"
"Carrer de Torrevella"	"Carrer de Torrevella"							"way"	" 218976183"		"{'highway': 'residential', 'name': 'Carrer de Torrevella'}"
"Carrer del Callao"	"Carrer del Callao"							"way"	" 193576118"		"{'highway': 'residential', 'name': 'Carrer del Callao', 'oneway': 'yes'}"
"Carrer del Camí Ral"	"Carrer del Camí Ral"							"way"	" 193576114"		"{'highway': 'residential', 'name': 'Carrer del Camí Ral', 'oneway': 'yes'}"
"Carrer del Molí"	"Carrer del Molí"							"way"	" 193467869"		"{'highway': 'residential', 'name': 'Carrer del Molí', 'oneway': 'yes'}"
"Carrer del Pont del Sergent"	"Carrer del Pont del Sergent"							"way"	" 468367853"		"{'highway': 'track', 'name': 'Carrer del Pont del Sergent'}"
"Carrer del Pont del Sergent"	"Carrer del Pont del Sergent"							"way"	" 218976174"		"{'highway': 'residential', 'lanes': '1', 'name': 'Carrer del Pont del Sergent', 'oneway': 'yes'}"
"Carrer del Remei"	"Carrer del Remei"							"way"	" 194291132"		"{'highway': 'living_street', 'name': 'Carrer del Remei'}"
"Carrer Major"	"Carrer Major"							"way"	" 194291127"		"{'highway': 'residential', 'name': 'Carrer Major', 'oneway': 'yes'}"
"Carrer Pins d'en Salvà"	"Carrer Pins d'en Salvà"							"way"	" 193467866"		"{'highway': 'residential', 'name': \"Carrer Pins d'en Salvà\"}"
"Carrer Riera de Caldes"	"Carrer Riera de Caldes"							"way"	" 172294127"		"{'highway': 'residential', 'name': 'Carrer Riera de Caldes', 'oneway': 'no'}"
"Carrer Torrenova"	"Carrer Torrenova"							"way"	" 218976195"		"{'highway': 'residential', 'name': 'Carrer Torrenova'}"
"Carrer Torrenova"	"Carrer Torrenova"							"way"	" 194291129"		"{'highway': 'residential', 'name': 'Carrer Torrenova'}"
"parc de Can Muntanyà"	"parc de Can Muntanyà"							"way"	" 570614427"		"{'leisure': 'park', 'name': 'parc de Can Muntanyà'}"
"Parc de les Ginestes"	"Parc de les Ginestes"							"way"	" 194291139"		"{'leisure': 'park', 'name': 'Parc de les Ginestes'}"
"Parc Joan Maragall"	"Parc Joan Maragall"							"way"	" 799220725"	"name:etymology:wikidata=Q562402"	"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Parc Joan Maragall', 'name:etymology:wikidata': 'Q562402'}"
"Plaça de les Barques"	"Plaça de les Barques"							"way"	" 799220723"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça de les Barques'}"
