"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Planoles"	"Camí de Planoles"							"way"	"581561368"		"{'highway': 'track', 'name': 'Camí de Planoles'}"
"Camí de Planoles"	"Camí de Planoles"							"way"	"581561372"		"{'highway': 'track', 'name': 'Camí de Planoles'}"
"Camí de Planoles"	"Camí de Planoles"							"way"	"581561373"		"{'highway': 'path', 'name': 'Camí de Planoles', 'surface': 'paved'}"
"Camí de Sant Antoni"	"Camí de Sant Antoni"							"way"	"172413414"		"{'highway': 'track', 'name': 'Camí de Sant Antoni', 'source:date': '2019', 'tracktype': 'grade2'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	"570787324"		"{'highway': 'residential', 'name': 'Carrer de Dalt'}"
"Carrer de Fontibernes"	"Carrer de Fontibernes"							"way"	"227017565"		"{'highway': 'residential', 'name': 'Carrer de Fontibernes'}"
"Carrer de l'Esglèsia"	"Carrer de l'Esglèsia"							"way"	"227017584"		"{'highway': 'residential', 'name': \"Carrer de l'Esglèsia\"}"
"Carrer de la Banera"	"Carrer de la Banera"							"way"	"227017586"		"{'highway': 'residential', 'name': 'Carrer de la Banera'}"
"Carrer de la Devesa"	"Carrer de la Devesa"							"way"	"577931442"		"{'highway': 'residential', 'name': 'Carrer de la Devesa'}"
"Carrer de la Rovira"	"Carrer de la Rovira"							"way"	"227017567"		"{'highway': 'residential', 'name': 'Carrer de la Rovira'}"
"Carrer de les Basses"	"Carrer de les Basses"							"way"	"570788559"		"{'highway': 'unclassified', 'name': 'Carrer de les Basses', 'source:date': '2019'}"
"Carrer de les Feixetes"	"Carrer de les Feixetes"							"way"	"227017576"		"{'highway': 'residential', 'name': 'Carrer de les Feixetes'}"
"Carrer de Planoles"	"Carrer de Planoles"							"way"	"172413408"		"{'highway': 'unclassified', 'name': 'Carrer de Planoles'}"
"Carrer de Ripoll"	"Carrer de Ripoll"							"way"	"227017579"		"{'highway': 'residential', 'name': 'Carrer de Ripoll'}"
"Carrer del Mig"	"Carrer del Mig"							"way"	"227017583"		"{'highway': 'residential', 'name': 'Carrer del Mig'}"
"Carrer del Prat de la Vila"	"Carrer del Prat de la Vila"							"way"	"764663433"		"{'highway': 'track', 'name': 'Carrer del Prat de la Vila', 'tracktype': 'grade1'}"
"Carrer del Prat de la Vila"	"Carrer del Prat de la Vila"							"way"	"172413423"		"{'highway': 'track', 'name': 'Carrer del Prat de la Vila', 'source:date': '2019', 'tracktype': 'grade2'}"
"Carrer del Prat de la Vila"	"Carrer del Prat de la Vila"							"way"	"570788558"		"{'highway': 'unclassified', 'name': 'Carrer del Prat de la Vila'}"
"Carrer del Puigmal"	"Carrer del Puigmal"							"way"	"227017563"		"{'highway': 'tertiary', 'name': 'Carrer del Puigmal', 'ref': 'GIV-4011R'}"
"Carrer Major"	"Carrer Major"							"way"	"570788254"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"570788318"		"{'highway': 'tertiary', 'name': 'Carrer Major', 'oneway': 'no', 'ref': 'GIV-4011R'}"
"Carrer Major"	"Carrer Major"							"way"	"570787498"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"570788293"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Plaça de Can Fuster"	"Plaça de Can Fuster"							"way"	"227017574"		"{'highway': 'residential', 'name': 'Plaça de Can Fuster'}"
"Plaça de l'Ajuntament"	"Plaça de l'Ajuntament"							"way"	"770682180"		"{'area': 'yes', 'highway': 'pedestrian', 'name': \"Plaça de l'Ajuntament\"}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"227017570"		"{'highway': 'residential', 'name': \"Plaça de l'Església\"}"
"Plaça Nova"	"Plaça Nova"							"way"	"227017578"		"{'highway': 'residential', 'name': 'Plaça Nova'}"
