"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda d'Adolf Agustí"	"Avinguda d'Adolf Agustí"							"way"	"  24846506"		"{'highway': 'residential', 'name': \"Avinguda d'Adolf Agustí\", 'oneway': 'no'}"
"Avinguda d'Àngel Guimerà"	"Avinguda d'Àngel Guimerà"							"way"	" 844024507"	"name:etymology:wikidata=Q175485"	"{'cycleway:right': 'no', 'highway': 'tertiary', 'lanes': '1', 'name': \"Avinguda d'Àngel Guimerà\", 'name:etymology:wikidata': 'Q175485', 'oneway': 'yes', 'ref': 'BV-5103', 'surface': 'asphalt'}"
"Avinguda d'Àngel Guimerà"	"Avinguda d'Àngel Guimerà"							"way"	"  28319493"	"name:etymology:wikidata=Q175485"	"{'cycleway:both': 'no', 'highway': 'tertiary', 'lanes': '2', 'name': \"Avinguda d'Àngel Guimerà\", 'name:etymology:wikidata': 'Q175485', 'ref': 'BV-5103', 'surface': 'asphalt'}"
"Avinguda d'Àngel Guimerà"	"Avinguda d'Àngel Guimerà"							"way"	" 844024506"	"name:etymology:wikidata=Q175485"	"{'cycleway:right': 'no', 'highway': 'tertiary', 'lanes': '1', 'name': \"Avinguda d'Àngel Guimerà\", 'name:etymology:wikidata': 'Q175485', 'oneway': 'yes', 'ref': 'BV-5103', 'surface': 'asphalt'}"
"Avinguda d'Eduard Corbella"	"Avinguda d'Eduard Corbella"							"way"	" 230296462"		"{'highway': 'residential', 'name': \"Avinguda d'Eduard Corbella\", 'oneway': 'no'}"
"Avinguda d'Eduard Corbella"	"Avinguda d'Eduard Corbella"							"way"	" 234408946"		"{'highway': 'residential', 'lit': 'yes', 'name': \"Avinguda d'Eduard Corbella\", 'oneway': 'no', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda d'Eduard Corbella"	"Avinguda d'Eduard Corbella"							"way"	" 230296463"		"{'highway': 'residential', 'lit': 'yes', 'name': \"Avinguda d'Eduard Corbella\", 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda d'Eduard Corbella"	"Avinguda d'Eduard Corbella"							"way"	"  24846427"		"{'check_date:sidewalk': '2022-07-15', 'highway': 'residential', 'lit': 'yes', 'name': \"Avinguda d'Eduard Corbella\", 'oneway': 'no', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 222757931"		"{'highway': 'residential', 'name': \"Avinguda d'Europa\", 'sidewalk': 'no'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 991691842"		"{'highway': 'residential', 'name': \"Avinguda d'Europa\"}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 223402998"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '50', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'source': 'PNOA', 'surface': 'asphalt'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 225529904"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '50', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'source': 'PNOA', 'surface': 'asphalt'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 225529901"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '50', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'source': 'PNOA', 'surface': 'asphalt'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 120953273"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '50', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'source': 'PNOA', 'surface': 'asphalt'}"
"Avinguda de Jaume Campmajor"	"Avinguda de Jaume Campmajor"							"way"	" 706071657"		"{'highway': 'residential', 'name': 'Avinguda de Jaume Campmajor', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de Jaume Campmajor"	"Avinguda de Jaume Campmajor"							"way"	" 129712131"		"{'highway': 'residential', 'name': 'Avinguda de Jaume Campmajor', 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda de Jaume Morató"	"Avinguda de Jaume Morató"							"way"	" 310361806"		"{'highway': 'residential', 'name': 'Avinguda de Jaume Morató', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de l'Onze de Setembre"	"Avinguda de l'Onze de Setembre"							"way"	"  28319490"		"{'highway': 'residential', 'maxspeed': '30', 'name': \"Avinguda de l'Onze de Setembre\", 'oneway': 'no', 'surface': 'paved'}"
"Avinguda de l'Onze de Setembre"	"Avinguda de l'Onze de Setembre"							"way"	" 226346815"		"{'highway': 'residential', 'maxspeed': '30', 'name': \"Avinguda de l'Onze de Setembre\", 'oneway': 'no', 'surface': 'paved'}"
"Avinguda de la Coma"	"Avinguda de la Coma"							"way"	" 158851050"		"{'highway': 'residential', 'name': 'Avinguda de la Coma', 'oneway': 'yes'}"
"Avinguda de la Coma"	"Avinguda de la Coma"							"way"	" 158850707"		"{'highway': 'residential', 'name': 'Avinguda de la Coma'}"
"Avinguda de la Coma"	"Avinguda de la Coma"							"way"	" 158850708"		"{'highway': 'residential', 'name': 'Avinguda de la Coma'}"
"Avinguda de la Germandat"	"Avinguda de la Germandat"							"way"	" 180106859"		"{'highway': 'track', 'name': 'Avinguda de la Germandat'}"
"Avinguda de la Mare de Déu de Montserrat"	"Avinguda de la Mare de Déu de Montserrat"							"way"	" 121017796"		"{'highway': 'residential', 'lanes': '1', 'name': 'Avinguda de la Mare de Déu de Montserrat', 'oneway': 'no', 'surface': 'asphalt'}"
