"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Callús"	"Camí de Callús"							"way"	"183972959"		"{'highway': 'track', 'name': 'Camí de Callús', 'smoothness': 'bad', 'surface': 'compacted', 'tracktype': 'grade1', 'width': '3'}"
"Camí de Viladelleva"	"Camí de Viladelleva"							"way"	"157845988"		"{'highway': 'track', 'name': 'Camí de Viladelleva', 'tracktype': 'grade1'}"
"Camí del Putxot"	"Camí del Putxot"							"way"	"184268714"		"{'highway': 'track', 'name': 'Camí del Putxot', 'tracktype': 'grade2'}"
"Camí del Putxot"	"Camí del Putxot"							"way"	"153466483"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Camí del Putxot', 'surface': 'asphalt'}"
"Camí del Turó dels Cellers"	"Camí del Turó dels Cellers"							"way"	"134816056"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Camí del Turó dels Cellers', 'surface': 'asphalt'}"
"Carrer Avets"	"Carrer Avets"							"way"	"153807689"		"{'highway': 'residential', 'name': 'Carrer Avets'}"
"Carrer Bellaterra"	"Carrer Bellaterra"							"way"	"153807643"		"{'highway': 'residential', 'name': 'Carrer Bellaterra'}"
"Carrer Bruc"	"Carrer Bruc"							"way"	"153807677"		"{'highway': 'residential', 'name': 'Carrer Bruc'}"
"Carrer Cadí"	"Carrer Cadí"							"way"	"185197206"		"{'highway': 'residential', 'name': 'Carrer Cadí'}"
"Carrer Canonigo"	"Carrer Canonigo"							"way"	"185197811"		"{'highway': 'residential', 'name': 'Carrer Canonigo'}"
"Carrer Carena"	"Carrer Carena"							"way"	"185197207"		"{'highway': 'residential', 'name': 'Carrer Carena'}"
"Carrer de Castelltallat"	"Carrer de Castelltallat"							"way"	"153807621"		"{'highway': 'residential', 'name': 'Carrer de Castelltallat'}"
"Carrer de Francesca Sallés"	"Carrer de Francesca Sallés"							"way"	"153466471"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer de Francesca Sallés', 'surface': 'asphalt'}"
"Carrer de l'Ermita"	"Carrer de l'Ermita"							"way"	"185197212"		"{'highway': 'residential', 'name': \"Carrer de l'Ermita\"}"
"Carrer de l'Ermita de Lorda"	"Carrer de l'Ermita de Lorda"							"way"	"153807597"		"{'highway': 'residential', 'name': \"Carrer de l'Ermita de Lorda\"}"
"Carrer de l'Obaga"	"Carrer de l'Obaga"							"way"	"153807605"		"{'highway': 'residential', 'name': \"Carrer de l'Obaga\"}"
"Carrer de la Creu"	"Carrer de la Creu"							"way"	"153466481"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer de la Creu', 'surface': 'asphalt'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	"185197213"		"{'highway': 'residential', 'name': 'Carrer de la Riera'}"
"Carrer de la Torre"	"Carrer de la Torre"							"way"	"153466476"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer de la Torre', 'oneway': 'no', 'surface': 'asphalt'}"
"Carrer de la Vall"	"Carrer de la Vall"							"way"	"153807636"		"{'highway': 'residential', 'name': 'Carrer de la Vall'}"
"Carrer de les Flors"	"Carrer de les Flors"							"way"	"153807698"		"{'highway': 'residential', 'name': 'Carrer de les Flors'}"
"Carrer del Cardener"	"Carrer del Cardener"							"way"	"153807634"		"{'highway': 'residential', 'name': 'Carrer del Cardener'}"
"Carrer del Mig"	"Carrer del Mig"							"way"	"153807687"		"{'highway': 'residential', 'name': 'Carrer del Mig'}"
"Carrer del Migdia"	"Carrer del Migdia"							"way"	"153466459"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer del Migdia', 'surface': 'asphalt'}"
"Carrer del Romaní"	"Carrer del Romaní"							"way"	"185197814"		"{'highway': 'residential', 'name': 'Carrer del Romaní'}"
"Carrer del Turó"	"Carrer del Turó"							"way"	"153807633"		"{'highway': 'residential', 'name': 'Carrer del Turó'}"
"Carrer Diputació"	"Carrer Diputació"							"way"	"185201368"		"{'highway': 'track', 'name': 'Carrer Diputació', 'tracktype': 'grade1'}"
"Carrer Esports"	"Carrer Esports"							"way"	"153807622"		"{'highway': 'residential', 'name': 'Carrer Esports'}"
"Carrer Llobregat"	"Carrer Llobregat"							"way"	"185197812"		"{'highway': 'residential', 'name': 'Carrer Llobregat'}"
"Carrer Major"	"Carrer Major"							"way"	"185197816"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Montcau"	"Carrer Montcau"							"way"	"153807688"		"{'highway': 'residential', 'name': 'Carrer Montcau'}"
