"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Carrer d'Avall"	"Carrer d'Avall"							"way"	"  26048899"		"{'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': \"Carrer d'Avall\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'unhewn_cobblestone'}"
"Carrer d'en Godall"	"Carrer d'en Godall"							"way"	"  26048896"		"{'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': \"Carrer d'en Godall\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'unhewn_cobblestone'}"
"Carrer d'en Guillamatú"	"Carrer d'en Guillamatú"							"way"	"  26048909"		"{'bicycle': 'no', 'dog': 'leashed', 'foot': 'designated', 'highway': 'residential', 'motorcar': 'destination', 'motorcycle': 'no', 'name': \"Carrer d'en Guillamatú\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'asphalt'}"
"Carrer d'en Tisca"	"Carrer d'en Tisca"							"way"	"1094726824"		"{'access': 'destination', 'handrail': 'no', 'highway': 'steps', 'incline': 'down', 'name': \"Carrer d'en Tisca\", 'ramp': 'no', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'step_count': '10', 'surface': 'unhewn_cobblestone'}"
"Carrer d'en Tisca"	"Carrer d'en Tisca"							"way"	"  35988024"		"{'dog': 'leashed', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': \"Carrer d'en Tisca\", 'ramp': 'no', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'unhewn_cobblestone'}"
"Carrer de la Font d'Amunt"	"Carrer de la Font d'Amunt"							"way"	"  26048906"		"{'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': \"Carrer de la Font d'Amunt\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008'}"
"Carrer de la Font d'Amunt"	"Carrer de la Font d'Amunt"							"way"	" 435756094"		"{'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': \"Carrer de la Font d'Amunt\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008'}"
"Carrer de la Font d'Avall"	"Carrer de la Font d'Avall"							"way"	"1095252082"		"{'highway': 'path', 'name': \"Carrer de la Font d'Avall\"}"
"Carrer de la Font d'Avall"	"Carrer de la Font d'Avall"							"way"	"  35988035"		"{'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': \"Carrer de la Font d'Avall\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'unhewn_cobblestone'}"
"Carrer de la Morera"	"Carrer de la Morera"							"way"	" 435593712"		"{'dog': 'leashed', 'handrail': 'yes', 'highway': 'steps', 'incline': 'up', 'name': 'Carrer de la Morera', 'ramp': 'no', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'step_count': '5', 'surface': 'unhewn_cobblestone'}"
"Carrer de la Muralla"	"Carrer de la Muralla"							"way"	" 137201221"		"{'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': 'Carrer de la Muralla', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'unhewn_cobblestone'}"
"Carrer de Na Nougarola"	"Carrer de Na Nougarola"							"way"	"  26048914"		"{'bicycle': 'no', 'dog': 'leashed', 'foot': 'designated', 'highway': 'residential', 'motorcar': 'destination', 'motorcycle': 'no', 'name': 'Carrer de Na Nougarola', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'asphalt'}"
"Carrer de Na Nougarola"	"Carrer de Na Nougarola"							"way"	"1096740854"		"{'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': 'Carrer de Na Nougarola', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'asphalt'}"
"Carrer de Na Patòra"	"Carrer de Na Patòra"	"Carrer de la Patora"	"Carrer de la Patòra"					"way"	" 435755909"		"{'alt_name': 'Carrer de la Patora', 'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': 'Carrer de Na Patòra', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008', 'surface': 'unhewn_cobblestone'}"
"Carrer del Mig"	"Carrer del Mig"	"Carrer del Mitg"						"way"	"  26048895"		"{'alt_name': 'Carrer del Mitg', 'bicycle': 'no', 'dog': 'leashed', 'highway': 'pedestrian', 'name': 'Carrer del Mig', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2008'}"
