"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Alcora - c Useres"	"Avinguda Alcora - c Useres"							"node"	"9414977931"		"{'bus': 'yes', 'name': 'Avinguda Alcora - c Useres', 'public_transport': 'stop_position'}"
"Avinguda Alcora - c Useres"	"Avinguda Alcora - c Useres"							"node"	"9414977932"		"{'name': 'Avinguda Alcora - c Useres', 'public_transport': 'platform'}"
"Avinguda Alcora - c Useres"	"Avinguda Alcora - c Useres"							"node"	"9427527406"		"{'name': 'Avinguda Alcora - c Useres', 'public_transport': 'platform'}"
"Avinguda Alcora - c Useres"	"Avinguda Alcora - c Useres"							"node"	"9427527407"		"{'bus': 'yes', 'name': 'Avinguda Alcora - c Useres', 'public_transport': 'stop_position'}"
"Avinguda Barcelona - Centre Comercial"	"Avinguda Barcelona - Centre Comercial"							"node"	"9422115443"		"{'bus': 'yes', 'name': 'Avinguda Barcelona - Centre Comercial', 'public_transport': 'stop_position'}"
"Avinguda Barcelona - Centre Comercial"	"Avinguda Barcelona - Centre Comercial"							"node"	"9422115444"		"{'bench': 'yes', 'name': 'Avinguda Barcelona - Centre Comercial', 'public_transport': 'platform', 'shelter': 'yes'}"
"Avinguda Barcelona,24"	"Avinguda Barcelona,24"							"node"	"9417596403"		"{'bus': 'yes', 'name': 'Avinguda Barcelona,24', 'public_transport': 'stop_position'}"
"Avinguda Barcelona,24"	"Avinguda Barcelona,24"							"node"	"9417596404"		"{'name': 'Avinguda Barcelona,24', 'public_transport': 'platform'}"
"Avinguda Benicasim, 4A"	"Avinguda Benicasim, 4A"							"node"	"9389138994"		"{'bench': 'yes', 'name': 'Avinguda Benicasim, 4A', 'public_transport': 'platform', 'shelter': 'yes'}"
"Avinguda Benicasim, 4A"	"Avinguda Benicasim, 4A"							"node"	"9389138995"		"{'bus': 'yes', 'name': 'Avinguda Benicasim, 4A', 'public_transport': 'stop_position'}"
"Avinguda Benicasim, Poligon Estadi"	"Avinguda Benicasim, Poligon Estadi"							"node"	"2280123415"		"{'bench': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avinguda Benicasim, Poligon Estadi', 'operator': 'ACCSA', 'public_transport': 'platform', 'shelter': 'no'}"
"Avinguda Benicasim, Poligon Estadi"	"Avinguda Benicasim, Poligon Estadi"							"node"	"9389138993"		"{'bus': 'yes', 'name': 'Avinguda Benicasim, Poligon Estadi', 'public_transport': 'stop_position'}"
"Avinguda Benicasim, Poligon Estadi"	"Avinguda Benicasim, Poligon Estadi"							"node"	"2280123414"		"{'bench': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avinguda Benicasim, Poligon Estadi', 'operator': 'ACCSA', 'public_transport': 'platform', 'shelter': 'no'}"
