"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Còrrec de Carlemany"	"Còrrec de Carlemany"	"Ruisseau de Carlus Magnus"						"way"	"72251834"		"{'alt_name': 'Ruisseau de Carlus Magnus', 'name': 'Còrrec de Carlemany', 'natural': 'water', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'water': 'river'}"
"Còrrec de Carlemany"	"Còrrec de Carlemany"	"Ruisseau de Carlus Magnus"						"way"	"72250617"		"{'alt_name': 'Ruisseau de Carlus Magnus', 'name': 'Còrrec de Carlemany', 'natural': 'water', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'water': 'river'}"
"Còrrec de Carlemany"	"Còrrec de Carlemany"	"Ruisseau de Carlus Magnus"						"way"	"72250826"		"{'alt_name': 'Ruisseau de Carlus Magnus', 'name': 'Còrrec de Carlemany', 'natural': 'water', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'water': 'river'}"
"Còrrec de Carlemany"	"Còrrec de Carlemany"	"Ruisseau de Carlus Magnus"						"way"	"72252094"		"{'alt_name': 'Ruisseau de Carlus Magnus', 'name': 'Còrrec de Carlemany', 'natural': 'water', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'water': 'river'}"
"Còrrec dels Planassos"	"Còrrec dels Planassos"							"way"	"72250764"		"{'name': 'Còrrec dels Planassos', 'natural': 'water', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'water': 'river'}"
"Còrrec dels Planassos"	"Còrrec dels Planassos"							"way"	"72251063"		"{'name': 'Còrrec dels Planassos', 'natural': 'water', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'water': 'river'}"
"Còrrec dels Planassos"	"Còrrec dels Planassos"							"way"	"72251340"		"{'name': 'Còrrec dels Planassos', 'natural': 'water', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'water': 'river'}"
"Mas de la Madeleine"	"Mas de la Madeleine"							"node"	"8123871083"		"{'board_type': 'welcome_sign', 'information': 'board', 'name': 'Mas de la Madeleine', 'tourism': 'information'}"
"Mas Orfila"	"Mas Orfila"							"node"	"8568839265"		"{'contact:phone': '+33 6 82 36 65 32', 'name': 'Mas Orfila', 'rooms': '5', 'tourism': 'guest_house', 'website': 'http://www.masorfila.fr/'}"
