"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Mas de la Boneta"	"Mas de la Boneta"							"node"	"9714619105"		"{'name': 'Mas de la Boneta', 'place': 'isolated_dwelling'}"
"Mas de la misericòrdia"	"Mas de la misericòrdia"							"node"	"9714619111"		"{'name': 'Mas de la misericòrdia', 'place': 'isolated_dwelling'}"
"Mas Delfau"	"Mas Delfau"							"way"	"81704062"		"{'building': 'yes', 'disused': 'yes', 'name': 'Mas Delfau', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010'}"
"Mas des Arcedes"	"Mas des Arcedes"							"node"	"6463188017"		"{'name': 'Mas des Arcedes', 'stars': '3', 'tourism': 'hotel'}"
"Mas Esteva"	"Mas Esteva"							"node"	"8452222677"		"{'name': 'Mas Esteva', 'place': 'isolated_dwelling'}"
"Mas Guiter"	"Mas Guiter"							"node"	"291644211"		"{'name': 'Mas Guiter', 'place': 'isolated_dwelling', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009'}"
"Mas Miraflor"	"Mas Miraflor"							"node"	"5929135582"		"{'bench': 'no', 'bin': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Mas Miraflor', 'network': 'Sankéo', 'owner': 'Perpignan Méditerranée Métropole', 'public_transport': 'platform', 'route_ref': '3', 'shelter': 'no', 'source': 'BDOrtho IGN 2018'}"
"Mas Miraflor"	"Mas Miraflor"							"node"	"5929135583"		"{'bench': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Mas Miraflor', 'network': 'Sankéo', 'owner': 'Perpignan Méditerranée Métropole', 'public_transport': 'platform', 'route_ref': '3', 'shelter': 'no', 'source': 'BDOrtho IGN 2018'}"
"Mas Miraflor"	"Mas Miraflor"							"node"	"8452222678"		"{'name': 'Mas Miraflor', 'place': 'isolated_dwelling'}"
"Mas Quilles"	"Mas Quilles"							"relation"	"10749456"		"{'name': 'Mas Quilles', 'plant:method': 'photovoltaic', 'plant:output:electricity': '0.087 MW', 'plant:source': 'solar', 'power': 'plant', 'ref:EU:ENTSOE_EIC': '17W000000106047Y', 'source': \"Registre national des installations de production d'électricité et de stockage 2019\", 'start_date': '2012-05-07', 'type': 'multipolygon'}"
"Mas Roca"	"Mas Roca"							"node"	"6967241123"		"{'name': 'Mas Roca', 'place': 'neighbourhood', 'source': 'survey'}"
"Mas Santa Bàrbara"	"Mas Santa Bàrbara"							"node"	"9714643317"		"{'name': 'Mas Santa Bàrbara', 'place': 'isolated_dwelling'}"
"Mas Santa Tecla"	"Mas Santa Tecla"							"way"	"81557393"		"{'building': 'yes', 'name': 'Mas Santa Tecla', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010'}"
