"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Còrrec de la Verna"	"Còrrec de la Verna"							"way"	"660891561"		"{'intermittent': 'yes', 'name': 'Còrrec de la Verna', 'source': 'BD Topo Hydrographie 2017', 'waterway': 'stream'}"
"Còrrec de la Verna"	"Còrrec de la Verna"							"way"	"761286171"		"{'intermittent': 'yes', 'name': 'Còrrec de la Verna', 'waterway': 'stream'}"
"Còrrec de la Verna"	"Còrrec de la Verna"							"way"	"660891554"		"{'intermittent': 'yes', 'name': 'Còrrec de la Verna', 'source': 'BD Topo Hydrographie 2017', 'waterway': 'stream'}"
"Còrrec de la Verna"	"Còrrec de la Verna"							"way"	"660891555"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Còrrec de la Verna', 'source': 'BD Topo Hydrographie 2017', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Còrrec de les Gorgues"	"Còrrec de les Gorgues"							"way"	"663567451"		"{'intermittent': 'yes', 'name': 'Còrrec de les Gorgues', 'source': 'BD Topo Hydrographie 2017', 'waterway': 'stream'}"
"Còrrec de les Gorgues"	"Còrrec de les Gorgues"							"way"	"149395512"		"{'intermittent': 'yes', 'name': 'Còrrec de les Gorgues', 'source': 'BD Topo Hydrographie 2017', 'waterway': 'stream'}"
"Còrrec de les Gorgues"	"Còrrec de les Gorgues"							"way"	"663567722"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Còrrec de les Gorgues', 'source': 'BD Topo Hydrographie 2017', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Còrrec de les Gorgues"	"Còrrec de les Gorgues"							"way"	"663567447"		"{'intermittent': 'yes', 'name': 'Còrrec de les Gorgues', 'source': 'BD Topo Hydrographie 2017', 'waterway': 'stream'}"
"Còrrec de les Gorguetes"	"Còrrec de les Gorguetes"							"way"	"663567677"		"{'intermittent': 'yes', 'name': 'Còrrec de les Gorguetes', 'source': 'BD Topo Hydrographie 2017', 'waterway': 'stream'}"
"Còrrec del Clot de Godall"	"Còrrec del Clot de Godall"							"way"	"443021259"		"{'intermittent': 'yes', 'name': 'Còrrec del Clot de Godall', 'source': 'BD Topo Hydrographie 2017', 'waterway': 'stream'}"
"Còrrec del Llosar"	"Còrrec del Llosar"							"way"	"663567535"		"{'intermittent': 'yes', 'name': 'Còrrec del Llosar', 'source': 'BD Topo Hydrographie 2017', 'waterway': 'stream'}"
"Còrrec del Manadell"	"Còrrec del Manadell"							"way"	"149395527"		"{'intermittent': 'yes', 'name': 'Còrrec del Manadell', 'waterway': 'stream'}"
