"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de la Tova"	"Camí de la Tova"							"way"	" 112707638"		"{'highway': 'track', 'name': 'Camí de la Tova', 'surface': 'unpaved'}"
"Camí de Les Coves"	"Camí de Les Coves"							"way"	" 122805552"		"{'denomination': 'Camí Les Coves', 'highway': 'track', 'name': 'Camí de Les Coves', 'tracktype': 'grade1'}"
"Camí de Les Coves"	"Camí de Les Coves"							"way"	" 152494405"		"{'highway': 'track', 'name': 'Camí de Les Coves', 'tracktype': 'grade1'}"
"Camí de Sant Vicent"	"Camí de Sant Vicent"							"way"	" 114298808"		"{'highway': 'unclassified', 'name': 'Camí de Sant Vicent', 'tracktype': 'grade1'}"
"Camí de Sant Vicent"	"Camí de Sant Vicent"							"way"	" 374060443"		"{'highway': 'track', 'name': 'Camí de Sant Vicent', 'tracktype': 'grade1'}"
"Camí de Sant Vicent"	"Camí de Sant Vicent"							"way"	" 152240177"		"{'highway': 'track', 'name': 'Camí de Sant Vicent', 'tracktype': 'grade1'}"
"Camí de Sant Vicent"	"Camí de Sant Vicent"							"way"	" 152240178"		"{'highway': 'track', 'layer': '0', 'name': 'Camí de Sant Vicent', 'tracktype': 'grade1', 'tunnel': 'yes'}"
"Camí de Tírig"	"Camí de Tírig"							"way"	" 122959304"		"{'denomination': 'Camí Les Coves', 'highway': 'path', 'name': 'Camí de Tírig'}"
"Camí del Cap del Terme"	"Camí del Cap del Terme"							"way"	"1074348164"		"{'highway': 'track', 'name': 'Camí del Cap del Terme', 'tracktype': 'grade3'}"
"Camí del Cap del Terme"	"Camí del Cap del Terme"							"way"	"1074348165"		"{'highway': 'track', 'name': 'Camí del Cap del Terme', 'tracktype': 'grade2'}"
"Camí del repetidor"	"Camí del repetidor"							"way"	" 199701758"		"{'highway': 'track', 'name': 'Camí del repetidor', 'surface': 'gravel', 'tracktype': 'grade3'}"
"Camí del repetidor"	"Camí del repetidor"							"way"	"1069056643"		"{'highway': 'track', 'name': 'Camí del repetidor', 'surface': 'gravel', 'tracktype': 'grade3'}"
"Camí del repetidor"	"Camí del repetidor"							"way"	"1069056647"		"{'highway': 'track', 'name': 'Camí del repetidor', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí les Eres"	"Camí les Eres"							"way"	"  22950476"		"{'highway': 'track', 'name': 'Camí les Eres'}"
"Camí les Eres"	"Camí les Eres"							"way"	" 152240179"		"{'highway': 'track', 'name': 'Camí les Eres'}"
