"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"191564218"		"{'foot': 'yes', 'highway': 'track', 'name': 'Camí de Casanova de les Garrigues', 'sac_scale': 'mountain_hiking', 'tracktype': 'grade2'}"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"193203346"		"{'foot': 'yes', 'highway': 'unclassified', 'name': 'Camí de Casanova de les Garrigues', 'sac_scale': 'mountain_hiking', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3'}"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"193197904"		"{'highway': 'track', 'name': 'Camí de Casanova de les Garrigues', 'smoothness': 'good', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '3'}"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"497704652"		"{'highway': 'track', 'name': 'Camí de Casanova de les Garrigues', 'smoothness': 'bad', 'surface': 'gravel', 'tracktype': 'grade1', 'width': '3'}"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"442884411"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí de Casanova de les Garrigues', 'smoothness': 'good', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '2.7'}"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"442884413"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí de Casanova de les Garrigues', 'smoothness': 'good', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '2.7'}"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"721660906"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí de Casanova de les Garrigues', 'smoothness': 'good', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '2.7'}"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"442884412"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí de Casanova de les Garrigues', 'smoothness': 'good', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '2.7'}"
"Camí de Casanova de les Garrigues"	"Camí de Casanova de les Garrigues"							"way"	"721660905"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí de Casanova de les Garrigues', 'smoothness': 'good', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '2.7'}"
"Camí de la Casa de la Mina"	"Camí de la Casa de la Mina"							"way"	" 47711376"		"{'highway': 'unclassified', 'name': 'Camí de la Casa de la Mina', 'surface': 'asphalt', 'width': '4'}"
"Camí de la Casa de la Mina"	"Camí de la Casa de la Mina"							"way"	"721660903"		"{'highway': 'unclassified', 'name': 'Camí de la Casa de la Mina', 'surface': 'asphalt', 'width': '4'}"
"Camí de Sant Jordi"	"Camí de Sant Jordi"							"way"	"193197829"		"{'highway': 'residential', 'name': 'Camí de Sant Jordi'}"
"Camí de Sant Jordi"	"Camí de Sant Jordi"							"way"	"721660902"		"{'highway': 'residential', 'name': 'Camí de Sant Jordi'}"
"Camí de Sant Jordi"	"Camí de Sant Jordi"							"way"	" 47710350"		"{'highway': 'residential', 'name': 'Camí de Sant Jordi'}"
"Camí del Club Nàutic"	"Camí del Club Nàutic"							"way"	" 47711382"		"{'highway': 'unclassified', 'name': 'Camí del Club Nàutic'}"
"Camí dels Planos"	"Camí dels Planos"							"way"	"500379061"		"{'highway': 'path', 'mtb:scale': '1', 'name': 'Camí dels Planos', 'sac_scale': 'hiking', 'smoothness': 'bad', 'surface': 'ground', 'trail_visibility': 'good', 'width': '1.5'}"
"Camí mirador Figuerassa"	"Camí mirador Figuerassa"							"way"	"525873279"		"{'highway': 'path', 'mtb:scale': '3', 'name': 'Camí mirador Figuerassa', 'sac_scale': 'mountain_hiking', 'smoothness': 'very_horrible', 'surface': 'ground', 'trail_visibility': 'good', 'width': '0.5'}"
"Camí mirador Figuerassa"	"Camí mirador Figuerassa"							"way"	"528193510"		"{'highway': 'path', 'mtb:scale': '4', 'name': 'Camí mirador Figuerassa', 'sac_scale': 'mountain_hiking', 'smoothness': 'very_horrible', 'surface': 'ground', 'trail_visibility': 'good', 'width': '0.5'}"
"Camí Romà"	"Camí Romà"							"way"	" 47710360"		"{'highway': 'residential', 'name': 'Camí Romà'}"
"Carrer Coll de Sant Ramon"	"Carrer Coll de Sant Ramon"							"way"	"130578321"		"{'highway': 'residential', 'name': 'Carrer Coll de Sant Ramon'}"
"Carrer d'Emprius"	"Carrer d'Emprius"							"way"	" 47710358"		"{'highway': 'residential', 'name': \"Carrer d'Emprius\"}"
"Carrer de Blancafort"	"Carrer de Blancafort"							"way"	" 47713147"		"{'highway': 'residential', 'name': 'Carrer de Blancafort'}"
"Carrer de Carbonis"	"Carrer de Carbonis"							"way"	"193197832"		"{'highway': 'residential', 'name': 'Carrer de Carbonis'}"
"Carrer de Carbonis"	"Carrer de Carbonis"							"way"	"721946759"		"{'highway': 'residential', 'name': 'Carrer de Carbonis'}"
"Carrer de l'Avenir"	"Carrer de l'Avenir"							"way"	"866109537"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'no', 'highway': 'tertiary_link', 'horse': 'permissive', 'maxspeed': '60', 'name': \"Carrer de l'Avenir\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Carrer de l'Avenir"	"Carrer de l'Avenir"							"way"	"866109538"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'no', 'highway': 'tertiary_link', 'horse': 'permissive', 'maxspeed': '60', 'name': \"Carrer de l'Avenir\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Carrer de l'Avenir"	"Carrer de l'Avenir"							"way"	" 47488737"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'no', 'highway': 'residential', 'horse': 'permissive', 'maxspeed': '60', 'name': \"Carrer de l'Avenir\", 'oneway': 'no', 'surface': 'asphalt'}"
"Carrer de l'Economat"	"Carrer de l'Economat"							"way"	"193223769"		"{'highway': 'residential', 'name': \"Carrer de l'Economat\"}"
"Carrer de l'Economat"	"Carrer de l'Economat"							"way"	"640521861"		"{'highway': 'residential', 'name': \"Carrer de l'Economat\", 'oneway': 'no'}"
"Carrer de la Baells"	"Carrer de la Baells"							"way"	"523812879"		"{'highway': 'unclassified', 'name': 'Carrer de la Baells'}"
"Carrer de la Baells"	"Carrer de la Baells"							"way"	" 47711379"		"{'highway': 'residential', 'name': 'Carrer de la Baells'}"
"Carrer de la Baells"	"Carrer de la Baells"							"way"	" 47711383"		"{'highway': 'residential', 'name': 'Carrer de la Baells'}"
"Carrer de la Caixa d'Estalvis de Manresa"	"Carrer de la Caixa d'Estalvis de Manresa"							"way"	" 47710348"		"{'highway': 'residential', 'name': \"Carrer de la Caixa d'Estalvis de Manresa\"}"
"Carrer de la Carretera de Ribes"	"Carrer de la Carretera de Ribes"							"way"	" 47710126"		"{'highway': 'tertiary', 'name': 'Carrer de la Carretera de Ribes'}"
"Carrer de la Confederació Hidrogràfica del Pirineu Oriental"	"Carrer de la Confederació Hidrogràfica del Pirineu Oriental"							"way"	"193197834"		"{'highway': 'residential', 'name': 'Carrer de la Confederació Hidrogràfica del Pirineu Oriental'}"
"Carrer de la Diputació"	"Carrer de la Diputació"							"way"	" 47710351"		"{'highway': 'residential', 'name': 'Carrer de la Diputació'}"
"Carrer de la Gran Via"	"Carrer de la Gran Via"							"way"	"866109534"		"{'highway': 'tertiary_link', 'name': 'Carrer de la Gran Via', 'oneway': 'yes'}"
"Carrer de la Gran Via"	"Carrer de la Gran Via"							"way"	"866109535"		"{'highway': 'tertiary_link', 'name': 'Carrer de la Gran Via', 'oneway': 'yes'}"
"Carrer de la Gran Via"	"Carrer de la Gran Via"							"way"	"866109532"		"{'highway': 'tertiary_link', 'name': 'Carrer de la Gran Via', 'oneway': 'yes'}"
"Carrer de la Gran Via"	"Carrer de la Gran Via"							"way"	"193223764"		"{'highway': 'residential', 'name': 'Carrer de la Gran Via', 'oneway': 'no'}"
"Carrer de les Escoles"	"Carrer de les Escoles"							"way"	" 47711380"		"{'highway': 'residential', 'name': 'Carrer de les Escoles'}"
"Carrer de les Flors"	"Carrer de les Flors"							"way"	"193197835"		"{'highway': 'residential', 'name': 'Carrer de les Flors'}"
"Carrer de Montserrat"	"Carrer de Montserrat"							"way"	" 47710359"		"{'highway': 'residential', 'name': 'Carrer de Montserrat'}"
"Carrer de Sant Salvador"	"Carrer de Sant Salvador"							"way"	"193197833"		"{'highway': 'tertiary', 'name': 'Carrer de Sant Salvador'}"
"Carrer de Sant Salvador"	"Carrer de Sant Salvador"							"way"	" 47710352"		"{'highway': 'residential', 'name': 'Carrer de Sant Salvador'}"
"Carrer de Santa Bàrbara"	"Carrer de Santa Bàrbara"							"way"	"193223766"		"{'highway': 'residential', 'name': 'Carrer de Santa Bàrbara', 'oneway': 'no'}"
"Carrer de Santa Bàrbara"	"Carrer de Santa Bàrbara"							"way"	"193223768"		"{'highway': 'residential', 'name': 'Carrer de Santa Bàrbara', 'oneway': 'no'}"
"Carrer de Santa Cecília"	"Carrer de Santa Cecília"							"way"	"193223763"		"{'highway': 'residential', 'name': 'Carrer de Santa Cecília', 'oneway': 'no'}"
"Carrer del Bosc"	"Carrer del Bosc"							"way"	"193197889"		"{'highway': 'residential', 'name': 'Carrer del Bosc'}"
"Carrer del Camí de Sant Jordi"	"Carrer del Camí de Sant Jordi"							"way"	"193197886"		"{'highway': 'residential', 'name': 'Carrer del Camí de Sant Jordi'}"
"Carrer del Campot"	"Carrer del Campot"							"way"	"193197837"		"{'highway': 'residential', 'name': 'Carrer del Campot'}"
"Carrer del Canal"	"Carrer del Canal"							"way"	"193197838"		"{'highway': 'residential', 'name': 'Carrer del Canal'}"
"Carrer del Cap de la Costa"	"Carrer del Cap de la Costa"							"way"	" 47711388"		"{'highway': 'residential', 'name': 'Carrer del Cap de la Costa'}"
"Carrer del Pedraforca"	"Carrer del Pedraforca"							"way"	"193197894"		"{'highway': 'residential', 'name': 'Carrer del Pedraforca'}"
"Carrer del Pedraforca"	"Carrer del Pedraforca"							"way"	" 47713150"		"{'highway': 'residential', 'name': 'Carrer del Pedraforca'}"
"Carrer del Pedraforca"	"Carrer del Pedraforca"							"way"	"721946761"		"{'highway': 'residential', 'name': 'Carrer del Pedraforca'}"
