"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Carmen Moya"	"Avinguda de Carmen Moya"							"way"	"480270603"		"{'highway': 'residential', 'name': 'Avinguda de Carmen Moya'}"
"Camí de les Portelles"	"Camí de les Portelles"							"way"	"195680834"		"{'highway': 'residential', 'name': 'Camí de les Portelles'}"
"Camí de Torrella"	"Camí de Torrella"							"way"	"480270621"		"{'highway': 'residential', 'name': 'Camí de Torrella'}"
"Camí de Torrella"	"Camí de Torrella"							"way"	"480270614"		"{'highway': 'residential', 'name': 'Camí de Torrella'}"
"Camí de Xàtiva"	"Camí de Xàtiva"							"way"	"170641179"		"{'highway': 'tertiary', 'name': 'Camí de Xàtiva', 'oneway': 'yes', 'ref': 'CV-567'}"
"Camí de Xàtiva"	"Camí de Xàtiva"							"way"	"416507355"		"{'highway': 'tertiary', 'name': 'Camí de Xàtiva', 'oneway': 'yes', 'ref': 'CV-567'}"
"Camí de Xàtiva"	"Camí de Xàtiva"							"way"	"416507356"		"{'highway': 'tertiary', 'name': 'Camí de Xàtiva', 'oneway': 'yes', 'ref': 'CV-567'}"
"Camí de Xàtiva"	"Camí de Xàtiva"							"way"	"383628908"		"{'highway': 'tertiary', 'name': 'Camí de Xàtiva', 'ref': 'CV-567'}"
"Camí Reial de Madrid"	"Camí Reial de Madrid"							"way"	"480270609"		"{'highway': 'residential', 'name': 'Camí Reial de Madrid', 'source': 'PNOA;datos oficiales'}"
"Carrer 9 d'Octubre"	"Carrer 9 d'Octubre"							"way"	"284310615"		"{'highway': 'residential', 'name': \"Carrer 9 d'Octubre\"}"
"Carrer Aldolfo Suárez González"	"Carrer Aldolfo Suárez González"							"way"	"179861371"		"{'highway': 'residential', 'name': 'Carrer Aldolfo Suárez González'}"
"Carrer d'Alfonso Rus Terol"	"Carrer d'Alfonso Rus Terol"							"way"	"284310598"		"{'highway': 'residential', 'name': \"Carrer d'Alfonso Rus Terol\", 'oneway': 'no'}"
"Carrer de José Antonio Perelló Morales"	"Carrer de José Antonio Perelló Morales"							"way"	"284310597"		"{'highway': 'residential', 'name': 'Carrer de José Antonio Perelló Morales', 'oneway': 'yes'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"179860730"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"179860640"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer Diputació"	"Carrer Diputació"							"way"	"480270616"		"{'highway': 'residential', 'name': 'Carrer Diputació'}"
"Carrer Ferran"	"Carrer Ferran"							"way"	"179860872"		"{'highway': 'residential', 'name': 'Carrer Ferran'}"
"Carrer Ferran"	"Carrer Ferran"							"way"	"480270642"		"{'highway': 'residential', 'name': 'Carrer Ferran'}"
"Carrer Josep Segrelles"	"Carrer Josep Segrelles"							"way"	"284310606"		"{'highway': 'residential', 'name': 'Carrer Josep Segrelles'}"
"Carrer Josep Segrelles"	"Carrer Josep Segrelles"							"way"	"480270607"		"{'highway': 'residential', 'name': 'Carrer Josep Segrelles'}"
"Carrer Josep Segrelles"	"Carrer Josep Segrelles"							"way"	"284310608"		"{'highway': 'residential', 'name': 'Carrer Josep Segrelles'}"
"Carrer Sant Antoni"	"Carrer Sant Antoni"							"way"	"480270630"		"{'highway': 'residential', 'name': 'Carrer Sant Antoni'}"
"Carrer Sant Roc"	"Carrer Sant Roc"							"way"	"480270625"		"{'highway': 'residential', 'name': 'Carrer Sant Roc', 'oneway': 'yes'}"
"Carrer Sant Roc"	"Carrer Sant Roc"							"way"	"480270628"		"{'highway': 'pedestrian', 'name': 'Carrer Sant Roc'}"
"Carrer Sant Roc"	"Carrer Sant Roc"							"way"	"480270612"		"{'highway': 'residential', 'name': 'Carrer Sant Roc'}"
"Carrer Sant Roc"	"Carrer Sant Roc"							"way"	"480270622"		"{'highway': 'residential', 'name': 'Carrer Sant Roc', 'oneway': 'yes'}"
"Carrer Santa Teresa"	"Carrer Santa Teresa"							"way"	"480270635"		"{'highway': 'residential', 'name': 'Carrer Santa Teresa'}"
"Plaça Bandera d'Espanya"	"Plaça Bandera d'Espanya"							"way"	"480270637"		"{'area': 'yes', 'highway': 'residential', 'name': \"Plaça Bandera d'Espanya\", 'place': 'square'}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"179860549"		"{'highway': 'residential', 'name': \"Plaça de l'Església\"}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"480270633"		"{'area': 'yes', 'highway': 'residential', 'name': \"Plaça de l'Església\", 'place': 'square'}"
"Plaça del Llaurador"	"Plaça del Llaurador"							"way"	"480270640"		"{'highway': 'residential', 'name': 'Plaça del Llaurador'}"
"Plaça del Llaurador"	"Plaça del Llaurador"							"way"	"480270644"		"{'highway': 'residential', 'name': 'Plaça del Llaurador'}"
"Plaça del Llaurador"	"Plaça del Llaurador"							"way"	"480270646"		"{'highway': 'residential', 'name': 'Plaça del Llaurador'}"
