"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 67514529"		"{'highway': 'living_street', 'name': 'Avinguda de Catalunya'}"
"Camí de Can Boscà"	"Camí de Can Boscà"							"way"	"357911156"		"{'highway': 'track', 'name': 'Camí de Can Boscà', 'tracktype': 'grade1'}"
"Camí de Can Castelló de Dalt"	"Camí de Can Castelló de Dalt"							"way"	"181252255"		"{'highway': 'track', 'name': 'Camí de Can Castelló de Dalt'}"
"Camí de Can Dalmau"	"Camí de Can Dalmau"							"way"	"148877233"		"{'highway': 'path', 'name': 'Camí de Can Dalmau', 'tracktype': 'grade5'}"
"Camí de Can Merla"	"Camí de Can Merla"							"way"	"875074048"		"{'highway': 'track', 'name': 'Camí de Can Merla'}"
"Camí de Can Merla"	"Camí de Can Merla"							"way"	"185546090"		"{'highway': 'track', 'name': 'Camí de Can Merla'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"699577696"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved', 'tracktype': 'grade1'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"838964579"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"699577695"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"521102465"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"147164444"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"838964582"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"838964585"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"838964580"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Can Sitges"	"Camí de Can Sitges"							"way"	"521102464"		"{'access': 'yes', 'bicycle': 'yes', 'highway': 'track', 'motor_vehicle': 'yes', 'name': 'Camí de Can Sitges', 'surface': 'unpaved'}"
"Camí de Cassà"	"Camí de Cassà"							"way"	"154931285"		"{'highway': 'track', 'name': 'Camí de Cassà'}"
"Camí de Cassà als Metges"	"Camí de Cassà als Metges"							"way"	"380293609"		"{'highway': 'track', 'name': 'Camí de Cassà als Metges', 'surface': 'unpaved'}"
"Camí de Cassà als Metges"	"Camí de Cassà als Metges"							"way"	"273429473"		"{'highway': 'track', 'name': 'Camí de Cassà als Metges', 'surface': 'unpaved'}"
