"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"avinguda d’Alcoi"	"avinguda d’Alcoi"							"way"	" 42569363"		"{'highway': 'secondary', 'name': 'avinguda d’Alcoi', 'ref': 'CV-754'}"
"Avinguda del Comtat"	"Avinguda del Comtat"							"way"	"888716390"		"{'highway': 'secondary', 'name': 'Avinguda del Comtat', 'oneway': 'no', 'ref': 'CV-720'}"
"Avinguda del Comtat"	"Avinguda del Comtat"							"way"	"204552094"		"{'highway': 'secondary', 'name': 'Avinguda del Comtat', 'oneway': 'no', 'ref': 'CV-720'}"
"Camí de l’Olivar Mallà dels Matxos"	"Camí de l’Olivar Mallà dels Matxos"							"way"	"108670192"		"{'highway': 'service', 'name': 'Camí de l’Olivar Mallà dels Matxos', 'surface': 'asphalt'}"
"Camí de l’Olivar Mallà dels Matxos"	"Camí de l’Olivar Mallà dels Matxos"							"way"	"256603885"		"{'highway': 'service', 'name': 'Camí de l’Olivar Mallà dels Matxos', 'surface': 'asphalt'}"
"Camí del Bosc"	"Camí del Bosc"							"way"	"204553827"		"{'highway': 'track', 'name': 'Camí del Bosc'}"
"Camí del Bosc"	"Camí del Bosc"							"way"	"888716387"		"{'highway': 'track', 'name': 'Camí del Bosc'}"
"camí del Cementeri"	"camí del Cementeri"							"way"	" 23286475"		"{'highway': 'residential', 'name': 'camí del Cementeri'}"
"camí del Cementeri"	"camí del Cementeri"							"way"	"108671595"		"{'highway': 'service', 'name': 'camí del Cementeri', 'service': 'driveway'}"
"Camí del Comte Meieral"	"Camí del Comte Meieral"	"Camí dels Comtes"	"Camí dels Comtes"					"way"	"108662972"		"{'alt_name': 'Camí dels Comtes', 'highway': 'unclassified', 'name': 'Camí del Comte Meieral', 'oneway': 'no'}"
"camí l'Era"	"camí l'Era"							"way"	" 23286450"		"{'highway': 'living_street', 'name': \"camí l'Era\", 'oneway': 'no'}"
"Camí Reial"	"Camí Reial"							"way"	"689070233"		"{'highway': 'track', 'name': 'Camí Reial'}"
"carrer Romer"	"carrer Romer"							"way"	"245756694"		"{'highway': 'living_street', 'name': 'carrer Romer', 'oneway': 'no'}"
"carrer Salamanca"	"carrer Salamanca"							"way"	"258882921"		"{'highway': 'residential', 'name': 'carrer Salamanca'}"
"carrer Sant Antoni"	"carrer Sant Antoni"							"way"	" 23286469"		"{'highway': 'residential', 'name': 'carrer Sant Antoni'}"
"carrer Sant Josep"	"carrer Sant Josep"							"way"	"245756695"		"{'highway': 'residential', 'name': 'carrer Sant Josep'}"
"Plaça de L'Arbre"	"Plaça de L'Arbre"							"way"	"849115228"		"{'name': \"Plaça de L'Arbre\", 'place': 'square'}"
"plaça de l'Esglesia"	"plaça de l'Esglesia"							"way"	" 23286446"		"{'highway': 'residential', 'name': \"plaça de l'Esglesia\"}"
"plaça de l'Esglesia"	"plaça de l'Esglesia"							"way"	"888716389"		"{'highway': 'residential', 'name': \"plaça de l'Esglesia\"}"
