"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 913838034"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'N-420a'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 913110653"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'N-420a'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 914096446"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'N-420a'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 913910003"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'N-420a'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 199155141"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'N-420a'}"
"Avinguda de l'Infant Pere"	"Avinguda de l'Infant Pere"							"way"	" 152745480"		"{'highway': 'residential', 'name': \"Avinguda de l'Infant Pere\"}"
"Avinguda de l'Infant Pere"	"Avinguda de l'Infant Pere"							"way"	" 214467260"		"{'highway': 'residential', 'name': \"Avinguda de l'Infant Pere\"}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	" 198738443"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	" 913910004"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	"  48089817"		"{'highway': 'tertiary', 'name': 'Avinguda de la Generalitat'}"
"Avinguda de Reus"	"Avinguda de Reus"							"way"	" 214467213"		"{'highway': 'tertiary', 'name': 'Avinguda de Reus', 'ref': 'N-420a'}"
"Avinguda del Priorat"	"Avinguda del Priorat"							"way"	" 762534023"		"{'highway': 'unclassified', 'name': 'Avinguda del Priorat'}"
"Avinguda del Priorat"	"Avinguda del Priorat"							"way"	" 528518694"		"{'highway': 'tertiary', 'name': 'Avinguda del Priorat', 'ref': 'T-710'}"
"Avinguda del Priorat"	"Avinguda del Priorat"							"way"	" 152745478"		"{'highway': 'tertiary', 'name': 'Avinguda del Priorat', 'ref': 'T-710'}"
