"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Cabra del Camp a Figuerola del Camp"	"Camí de Cabra del Camp a Figuerola del Camp"							"way"	"198329015"		"{'highway': 'unclassified', 'name': 'Camí de Cabra del Camp a Figuerola del Camp'}"
"Camí de Figuerola del Camp a Fontscaldes"	"Camí de Figuerola del Camp a Fontscaldes"							"way"	"375498601"		"{'highway': 'unclassified', 'name': 'Camí de Figuerola del Camp a Fontscaldes'}"
"Camí de Figuerola del Camp a Fontscaldes"	"Camí de Figuerola del Camp a Fontscaldes"							"way"	"375498615"		"{'highway': 'unclassified', 'name': 'Camí de Figuerola del Camp a Fontscaldes'}"
"Camí de Figuerola del Camp a Fontscaldes"	"Camí de Figuerola del Camp a Fontscaldes"							"way"	"375500544"		"{'highway': 'unclassified', 'name': 'Camí de Figuerola del Camp a Fontscaldes', 'surface': 'asphalt'}"
"Camí de Figuerola del Camp a Fontscaldes"	"Camí de Figuerola del Camp a Fontscaldes"							"way"	"198329041"		"{'highway': 'unclassified', 'name': 'Camí de Figuerola del Camp a Fontscaldes'}"
"Camí de Figuerola del Camp a Fontscaldes"	"Camí de Figuerola del Camp a Fontscaldes"							"way"	"198329012"		"{'highway': 'unclassified', 'name': 'Camí de Figuerola del Camp a Fontscaldes'}"
"Camí de Font del Teix"	"Camí de Font del Teix"							"way"	"462536541"		"{'highway': 'track', 'name': 'Camí de Font del Teix'}"
"Camí de la Font"	"Camí de la Font"							"way"	"386456698"		"{'highway': 'track', 'name': 'Camí de la Font'}"
"Camí de la Font"	"Camí de la Font"							"way"	"760603611"		"{'highway': 'unclassified', 'name': 'Camí de la Font'}"
"Camí de Miramar"	"Camí de Miramar"							"way"	"296779487"		"{'highway': 'unclassified', 'maxspeed': '40', 'name': 'Camí de Miramar'}"
"Camí de Miramar"	"Camí de Miramar"							"way"	"134558386"		"{'highway': 'unclassified', 'name': 'Camí de Miramar'}"
"Camí de Miramar"	"Camí de Miramar"							"way"	"528668969"		"{'highway': 'track', 'name': 'Camí de Miramar'}"
"Camí de Miramar"	"Camí de Miramar"							"way"	"296779464"		"{'highway': 'unclassified', 'name': 'Camí de Miramar'}"
"camí de Prenafeta"	"camí de Prenafeta"							"way"	"375498594"		"{'highway': 'track', 'name': 'camí de Prenafeta'}"
"Camí dels Boscos"	"Camí dels Boscos"							"way"	"524968486"		"{'bridge': 'yes', 'highway': 'unclassified', 'name': 'Camí dels Boscos'}"
"Camí dels Boscos"	"Camí dels Boscos"							"way"	"524968487"		"{'highway': 'unclassified', 'name': 'Camí dels Boscos'}"
"Camí dels Boscos"	"Camí dels Boscos"							"way"	"198329976"		"{'highway': 'unclassified', 'name': 'Camí dels Boscos'}"
"Camí dels Boscos"	"Camí dels Boscos"							"way"	"511094345"		"{'highway': 'track', 'name': 'Camí dels Boscos'}"
"Camí dels Horts"	"Camí dels Horts"							"way"	"198329034"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Camí dels Horts', 'oneway': 'yes', 'surface': 'asphalt'}"
"Camí Ral de Montblanc"	"Camí Ral de Montblanc"							"way"	"390864493"		"{'highway': 'track', 'name': 'Camí Ral de Montblanc'}"
"carrer de Dalt"	"carrer de Dalt"							"way"	"640116852"		"{'highway': 'residential', 'name': 'carrer de Dalt'}"
"carrer de Dalt"	"carrer de Dalt"							"way"	"198329020"		"{'highway': 'residential', 'name': 'carrer de Dalt'}"
"carrer de Dalt"	"carrer de Dalt"							"way"	"198329037"		"{'highway': 'residential', 'name': 'carrer de Dalt'}"
"carrer de l'Era"	"carrer de l'Era"							"way"	"198329023"		"{'highway': 'residential', 'name': \"carrer de l'Era\"}"
"carrer de l'Era"	"carrer de l'Era"							"way"	"198329040"		"{'highway': 'residential', 'name': \"carrer de l'Era\"}"
"carrer de l'Església"	"carrer de l'Església"							"way"	"272178820"		"{'highway': 'residential', 'name': \"carrer de l'Església\"}"
"carrer de la Cinta"	"carrer de la Cinta"							"way"	"198329028"		"{'highway': 'residential', 'name': 'carrer de la Cinta'}"
"carrer de la Costa del Forn"	"carrer de la Costa del Forn"							"way"	" 77862877"		"{'highway': 'tertiary', 'name': 'carrer de la Costa del Forn', 'ref': 'TV-2001', 'surface': 'asphalt'}"
"carrer de la Costa del Forn"	"carrer de la Costa del Forn"							"way"	"198329019"		"{'highway': 'residential', 'name': 'carrer de la Costa del Forn'}"
"carrer de la Costa del Forn"	"carrer de la Costa del Forn"							"way"	"640116856"		"{'highway': 'residential', 'name': 'carrer de la Costa del Forn'}"
"carrer de la Verge de l'Esperança"	"carrer de la Verge de l'Esperança"							"way"	"199094654"		"{'highway': 'residential', 'name': \"carrer de la Verge de l'Esperança\"}"
"carrer de la Verge de l'Esperança"	"carrer de la Verge de l'Esperança"							"way"	"198329038"		"{'highway': 'residential', 'name': \"carrer de la Verge de l'Esperança\"}"
"carrer de la Verge de l'Esperança"	"carrer de la Verge de l'Esperança"							"way"	"198329039"		"{'highway': 'residential', 'name': \"carrer de la Verge de l'Esperança\"}"
"carrer de la Verge de l'Esperança"	"carrer de la Verge de l'Esperança"							"way"	"198329018"		"{'highway': 'residential', 'name': \"carrer de la Verge de l'Esperança\"}"
"carrer de les Escoles"	"carrer de les Escoles"							"way"	"198329017"		"{'highway': 'unclassified', 'name': 'carrer de les Escoles'}"
"carrer de les Escoles"	"carrer de les Escoles"							"way"	"844730286"		"{'highway': 'unclassified', 'name': 'carrer de les Escoles'}"
"carrer de les Portelles"	"carrer de les Portelles"							"way"	"272178802"		"{'highway': 'residential', 'name': 'carrer de les Portelles'}"
"Carrer de Miramar"	"Carrer de Miramar"							"way"	"198329021"		"{'highway': 'residential', 'name': 'Carrer de Miramar'}"
"carrer de Sant Antoni"	"carrer de Sant Antoni"							"way"	"198329014"		"{'highway': 'residential', 'name': 'carrer de Sant Antoni'}"
"carrer de Sant Jordi"	"carrer de Sant Jordi"							"way"	"198329022"		"{'highway': 'residential', 'name': 'carrer de Sant Jordi'}"
"carrer del Solar"	"carrer del Solar"							"way"	"198329033"		"{'highway': 'residential', 'name': 'carrer del Solar'}"
"carrer Major"	"carrer Major"							"way"	"198329036"		"{'highway': 'residential', 'name': 'carrer Major'}"
"Carrer Onze de Setembre"	"Carrer Onze de Setembre"							"way"	"606056432"		"{'highway': 'living_street', 'maxspeed': '30', 'name': 'Carrer Onze de Setembre', 'surface': 'asphalt'}"
"plaça de Sant Jaume"	"plaça de Sant Jaume"							"way"	"640116854"		"{'highway': 'residential', 'name': 'plaça de Sant Jaume'}"
"plaça de Sant Jaume"	"plaça de Sant Jaume"							"way"	"640116855"		"{'highway': 'residential', 'name': 'plaça de Sant Jaume'}"
"plaça Major"	"plaça Major"							"way"	"640116851"		"{'highway': 'residential', 'name': 'plaça Major'}"
"Plaça Major"	"Plaça Major"							"way"	"760603610"		"{'highway': 'unclassified', 'name': 'Plaça Major'}"
