"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Carrer d'Amont"	"Carrer d'Amont"							"way"	" 85068561"		"{'highway': 'residential', 'name': \"Carrer d'Amont\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Carrer d'Amont"	"Carrer d'Amont"							"way"	" 48274386"		"{'highway': 'residential', 'name': \"Carrer d'Amont\", 'sidewalk': 'no', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010', 'surface': 'asphalt'}"
"Carrer d'Amont"	"Carrer d'Amont"							"way"	" 48274402"		"{'highway': 'service', 'name': \"Carrer d'Amont\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Carrer d'Amont"	"Carrer d'Amont"							"way"	" 48274403"		"{'highway': 'service', 'name': \"Carrer d'Amont\", 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Carrer de Dabant"	"Carrer de Dabant"							"way"	" 48274384"		"{'highway': 'residential', 'name': 'Carrer de Dabant', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Carrer de la Ribera"	"Carrer de la Ribera"							"way"	"115402286"		"{'highway': 'residential', 'name': 'Carrer de la Ribera'}"
"Carrer de la Ribera"	"Carrer de la Ribera"							"way"	" 32601405"		"{'highway': 'residential', 'name': 'Carrer de la Ribera'}"
"Carrer de las Escolas"	"Carrer de las Escolas"							"way"	" 48274392"		"{'highway': 'residential', 'name': 'Carrer de las Escolas', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Carrer de les Esplanellas"	"Carrer de les Esplanellas"							"way"	"115402245"		"{'highway': 'residential', 'name': 'Carrer de les Esplanellas'}"
"Carrer de les Esplanellas"	"Carrer de les Esplanellas"							"way"	" 85068563"		"{'highway': 'residential', 'name': 'Carrer de les Esplanellas', 'sidewalk': 'no', 'surface': 'asphalt'}"
"Carrer de les Esplanellas"	"Carrer de les Esplanellas"							"way"	" 87936291"		"{'highway': 'residential', 'name': 'Carrer de les Esplanellas', 'source': 'Cnes/Spot Image'}"
"Carrer de les Esplanellas"	"Carrer de les Esplanellas"							"way"	" 87936298"		"{'bridge': 'yes', 'highway': 'residential', 'layer': '1', 'name': 'Carrer de les Esplanellas', 'source': 'Cnes/Spot Image'}"
"Carrer del Castell"	"Carrer del Castell"							"way"	" 48274400"		"{'highway': 'pedestrian', 'name': 'Carrer del Castell', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010', 'surface': 'asphalt'}"
"Carrer Del Crespi"	"Carrer Del Crespi"							"way"	" 48274401"		"{'highway': 'residential', 'name': 'Carrer Del Crespi'}"
"Carrer del Derrera"	"Carrer del Derrera"							"way"	" 48274372"		"{'highway': 'residential', 'name': 'Carrer del Derrera', 'sidewalk': 'no', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010', 'surface': 'asphalt'}"
"Carrer del Mig"	"Carrer del Mig"							"way"	" 48274395"		"{'highway': 'service', 'name': 'Carrer del Mig', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Carrer del Munget"	"Carrer del Munget"							"way"	" 48274394"		"{'highway': 'service', 'name': 'Carrer del Munget', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010'}"
"Plaça de la Iglesia"	"Plaça de la Iglesia"							"way"	"864920312"		"{'cycleway:right': 'no', 'highway': 'primary', 'lane_markings': 'no', 'maxspeed': '30', 'name': 'Plaça de la Iglesia', 'oneway': 'yes', 'ref': 'D 118', 'surface': 'asphalt', 'zone:maxspeed': 'FR:30'}"
"Plaça de la Iglesia"	"Plaça de la Iglesia"							"way"	"308985542"		"{'cycleway:both': 'no', 'highway': 'primary', 'lane_markings': 'no', 'maxspeed': '30', 'name': 'Plaça de la Iglesia', 'ref': 'D 118', 'surface': 'asphalt', 'zone:maxspeed': 'FR:30'}"
"Plaça de la Iglesia"	"Plaça de la Iglesia"							"way"	"548394822"		"{'cycleway:right': 'no', 'highway': 'primary', 'lane_markings': 'no', 'maxspeed': '30', 'name': 'Plaça de la Iglesia', 'oneway': 'yes', 'ref': 'D 118', 'surface': 'asphalt', 'zone:maxspeed': 'FR:30'}"
"Plaça de la Iglesia"	"Plaça de la Iglesia"							"way"	"548394827"		"{'highway': 'primary', 'maxspeed': '30', 'name': 'Plaça de la Iglesia', 'ref': 'D 118', 'zone:maxspeed': 'FR:30'}"
"Plaça de la Iglesia"	"Plaça de la Iglesia"							"way"	"936519875"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça de la Iglesia', 'surface': 'paving_stones'}"
