"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 451279668"		"{'highway': 'tertiary', 'lanes': '2', 'lit': 'no', 'maxspeed:backward': '90', 'maxspeed:forward': '70', 'name': 'Avinguda de la Constitució', 'ref': 'Ma-2022', 'surface': 'asphalt'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 488886764"		"{'highway': 'tertiary', 'lit': 'yes', 'maxspeed': '30', 'name': 'Avinguda de la Constitució', 'ref': 'Ma-2022', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 488866181"		"{'highway': 'tertiary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '40', 'name': 'Avinguda de la Constitució', 'ref': 'Ma-2022', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 451279669"		"{'highway': 'tertiary', 'lanes': '2', 'lit': 'no', 'maxspeed': '90', 'name': 'Avinguda de la Constitució', 'ref': 'Ma-2022', 'surface': 'asphalt'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	"  80900801"		"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'maxweight': '10', 'name': 'Avinguda de la Constitució', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 451279670"		"{'highway': 'tertiary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '50', 'name': 'Avinguda de la Constitució', 'ref': 'Ma-2022', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 264838392"		"{'highway': 'tertiary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '40', 'name': 'Avinguda de la Constitució', 'ref': 'Ma-2022', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	"  80900797"		"{'highway': 'tertiary', 'lit': 'yes', 'maxspeed': '30', 'name': 'Avinguda de la Constitució', 'ref': 'Ma-2022', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Camí a Ses Costes de Son Palou"	"Camí a Ses Costes de Son Palou"							"way"	" 266695226"		"{'highway': 'unclassified', 'name': 'Camí a Ses Costes de Son Palou', 'source': 'Bing'}"
"Camí al Puig de Son Palou"	"Camí al Puig de Son Palou"							"way"	" 266695230"		"{'highway': 'unclassified', 'name': 'Camí al Puig de Son Palou', 'source': 'Bing'}"
"camí d'Es Castellet"	"camí d'Es Castellet"							"way"	"  51190412"		"{'highway': 'service', 'name': \"camí d'Es Castellet\"}"
"Camí d'Es Puig"	"Camí d'Es Puig"							"way"	" 306512745"		"{'highway': 'unclassified', 'name': \"Camí d'Es Puig\", 'source': 'Bing', 'surface': 'asphalt'}"
"camí d'Es Rafal"	"camí d'Es Rafal"							"way"	" 148323076"		"{'bicycle': 'yes', 'foot': 'yes', 'highway': 'track', 'horse': 'yes', 'incline': 'up', 'motor_vehicle': 'no', 'mtb:scale': '1', 'name': \"camí d'Es Rafal\", 'surface': 'gravel', 'tracktype': 'grade3', 'width': '2'}"
"camí d'Orient al Castell d'Alaró"	"camí d'Orient al Castell d'Alaró"							"way"	"  53584161"		"{'highway': 'path', 'mtb:scale': '3', 'name': \"camí d'Orient al Castell d'Alaró\", 'sac_scale': 'mountain_hiking', 'surface': 'dirt'}"
