"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passeig d'Artà"	"Passeig d'Artà"							"way"	" 56081907"		"{'highway': 'residential', 'name': \"Passeig d'Artà\"}"
"Passeig de Betlem"	"Passeig de Betlem"							"way"	" 27555267"		"{'highway': 'residential', 'name': 'Passeig de Betlem'}"
"Passeig de Betlem"	"Passeig de Betlem"							"way"	"100773065"		"{'highway': 'residential', 'name': 'Passeig de Betlem'}"
"Passeig de Colom"	"Passeig de Colom"							"way"	"100773063"		"{'highway': 'residential', 'name': 'Passeig de Colom'}"
"Passeig de Ferrutx"	"Passeig de Ferrutx"							"way"	"100287676"		"{'highway': 'residential', 'name': 'Passeig de Ferrutx'}"
"Passeig de l'Ermita"	"Passeig de l'Ermita"							"way"	"100773061"		"{'highway': 'residential', 'name': \"Passeig de l'Ermita\"}"
"Passeig de la Mar"	"Passeig de la Mar"							"way"	" 25441592"		"{'highway': 'pedestrian', 'name': 'Passeig de la Mar'}"
"Passeig de la Mar"	"Passeig de la Mar"							"way"	"144785055"		"{'highway': 'residential', 'name': 'Passeig de la Mar'}"
"Passeig de Sa Dragonera"	"Passeig de Sa Dragonera"							"way"	"289361001"		"{'highway': 'residential', 'name': 'Passeig de Sa Dragonera'}"
