"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Metge vell"	"Cal Metge vell"							"way"	"844346058"		"{'building': 'house', 'name': 'Cal Metge vell'}"
"Camp de futbol de Son Ferrer"	"Camp de futbol de Son Ferrer"							"way"	"151261130"		"{'leisure': 'pitch', 'name': 'Camp de futbol de Son Ferrer', 'sport': 'soccer'}"
"Col·legi Cas Saboners"	"Col·legi Cas Saboners"							"way"	"146904077"		"{'amenity': 'school', 'name': 'Col·legi Cas Saboners'}"
"Col·legi de Son Ferrer"	"Col·legi de Son Ferrer"							"way"	"355038185"		"{'amenity': 'school', 'name': 'Col·legi de Son Ferrer'}"
"Col·legi Jaume I"	"Col·legi Jaume I"							"way"	"145311243"		"{'amenity': 'school', 'name': 'Col·legi Jaume I'}"
"Col·legi Públic ses Quarterades"	"Col·legi Públic ses Quarterades"							"way"	"101806362"		"{'amenity': 'school', 'area': 'yes', 'name': 'Col·legi Públic ses Quarterades', 'source': 'ideib WMS'}"
"Col·legi Públic Xaloc"	"Col·legi Públic Xaloc"							"way"	"285604448"		"{'addr:city': 'Peguera', 'addr:country': 'ES', 'addr:housenumber': '4', 'addr:postcode': '07160', 'addr:street': 'Carrer Col·legi Públic Xaloc', 'amenity': 'school', 'fee': 'no', 'isced:level': '0-1', 'name': 'Col·legi Públic Xaloc', 'operator': 'Conselleria educació, Govern de les Illes Balears', 'operator:type': 'government', 'phone': '+34 971 68 78 64', 'ref': '07000546', 'website': 'http://www.ceipxaloc.com/'}"
"coma d'en Pere Andreu"	"coma d'en Pere Andreu"							"way"	"447503367"		"{'intermittent': 'yes', 'name': \"coma d'en Pere Andreu\", 'waterway': 'stream'}"
"Coma d'en Pere Andreu"	"Coma d'en Pere Andreu"							"node"	"1242636845"		"{'name': \"Coma d'en Pere Andreu\", 'place': 'locality'}"
"coma d'en Vidal"	"coma d'en Vidal"							"way"	"242739320"		"{'highway': 'track', 'name': \"coma d'en Vidal\", 'sac_scale': 'mountain_hiking'}"
"Coma de sa Boal"	"Coma de sa Boal"							"node"	"1242612521"		"{'name': 'Coma de sa Boal', 'place': 'locality'}"
"Coma de sa Cova"	"Coma de sa Cova"							"node"	"1242637186"		"{'name': 'Coma de sa Cova', 'place': 'locality'}"
"Coma de sa Fonteta"	"Coma de sa Fonteta"							"node"	"1242617591"		"{'name': 'Coma de sa Fonteta', 'place': 'locality'}"
"Coma de sa Teia"	"Coma de sa Teia"							"node"	"1242615064"		"{'name': 'Coma de sa Teia', 'place': 'locality'}"
"Coma de ses Corbateres"	"Coma de ses Corbateres"							"node"	"1242623892"		"{'name': 'Coma de ses Corbateres', 'place': 'locality'}"
"Coma de Son Morei"	"Coma de Son Morei"							"node"	"1242622227"		"{'name': 'Coma de Son Morei', 'place': 'locality'}"
"Coma del Sec"	"Coma del Sec"							"node"	"1242610642"		"{'name': 'Coma del Sec', 'place': 'locality'}"
"Coma Gran"	"Coma Gran"							"node"	"1242614336"		"{'name': 'Coma Gran', 'place': 'locality'}"
"Escola d'adults"	"Escola d'adults"							"way"	"451685980"		"{'amenity': 'school', 'name': \"Escola d'adults\"}"
"Escola de Son Caliu"	"Escola de Son Caliu"							"way"	"722453462"		"{'amenity': 'school', 'name': 'Escola de Son Caliu'}"
"Escola de Vela"	"Escola de Vela"							"way"	"316718402"		"{'building': 'yes', 'leisure': 'sports_centre', 'name': 'Escola de Vela', 'sport': 'sailing'}"
"Escola Galatzó"	"Escola Galatzó"							"way"	"368346430"		"{'amenity': 'school', 'name': 'Escola Galatzó'}"
"Escola Migjorn"	"Escola Migjorn"							"way"	"302963733"		"{'amenity': 'school', 'name': 'Escola Migjorn'}"
