"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Carreró de Son Porro"	"Carreró de Son Porro"							"way"	" 25278447"		"{'highway': 'residential', 'name': 'Carreró de Son Porro'}"
"Passatge de na Llarga"	"Passatge de na Llarga"							"way"	" 27055162"		"{'highway': 'residential', 'name': 'Passatge de na Llarga', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Passeig Colom"	"Passeig Colom"							"way"	" 27055064"		"{'highway': 'pedestrian', 'lit': 'yes', 'name': 'Passeig Colom', 'smoothness': 'good', 'surface': 'paving_stones'}"
"passeig de ses Àmfores"	"passeig de ses Àmfores"							"way"	" 31291689"		"{'highway': 'pedestrian', 'name': 'passeig de ses Àmfores', 'surface': 'sett'}"
"rotonda dels Quatre Cantons"	"rotonda dels Quatre Cantons"							"way"	"  5130640"		"{'cycleway:right': 'no', 'highway': 'primary', 'junction': 'roundabout', 'lane_markings': 'no', 'name': 'rotonda dels Quatre Cantons', 'ref': 'Ma-15', 'surface': 'asphalt'}"
"rotonda dels Quatre Cantons"	"rotonda dels Quatre Cantons"							"way"	"498287956"		"{'cycleway:right': 'no', 'highway': 'primary', 'junction': 'roundabout', 'lane_markings': 'no', 'name': 'rotonda dels Quatre Cantons', 'ref': 'Ma-15', 'surface': 'asphalt'}"
"rotonda dels Quatre Cantons"	"rotonda dels Quatre Cantons"							"way"	"537431706"		"{'cycleway:right': 'no', 'highway': 'primary', 'junction': 'roundabout', 'lane_markings': 'no', 'name': 'rotonda dels Quatre Cantons', 'ref': 'Ma-15', 'surface': 'asphalt'}"
"rotonda dels Quatre Cantons"	"rotonda dels Quatre Cantons"							"way"	"537431707"		"{'cycleway:right': 'no', 'highway': 'primary', 'junction': 'roundabout', 'lane_markings': 'no', 'name': 'rotonda dels Quatre Cantons', 'ref': 'Ma-15', 'surface': 'asphalt'}"
"urbanització de Cala Gat"	"urbanització de Cala Gat"							"way"	"704457723"		"{'landuse': 'residential', 'name': 'urbanització de Cala Gat', 'place': 'hamlet'}"
