"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"coll de sa Teulera"	"coll de sa Teulera"							"node"	"306618681"		"{'name': 'coll de sa Teulera', 'natural': 'saddle'}"
"torrent d'en Cuc"	"torrent d'en Cuc"							"way"	"993034988"		"{'intermittent': 'yes', 'name': \"torrent d'en Cuc\", 'waterway': 'stream'}"
"torrent d'en Cuc"	"torrent d'en Cuc"							"way"	"993034989"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"torrent d'en Cuc\", 'tunnel': 'culvert', 'waterway': 'stream'}"
"torrent d'en Cuc"	"torrent d'en Cuc"							"way"	"1033335661"		"{'intermittent': 'yes', 'name': \"torrent d'en Cuc\", 'waterway': 'stream'}"
"torrent d'en Cuc"	"torrent d'en Cuc"							"way"	"1033335662"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"torrent d'en Cuc\", 'tunnel': 'culvert', 'waterway': 'stream'}"
"torrent d'en Cuc"	"torrent d'en Cuc"							"way"	"428887049"		"{'intermittent': 'yes', 'name': \"torrent d'en Cuc\", 'waterway': 'stream'}"
"torrent d'en Miquelet"	"torrent d'en Miquelet"							"way"	"428887052"		"{'intermittent': 'yes', 'name': \"torrent d'en Miquelet\", 'waterway': 'stream'}"
"torrent d'en Miquelet"	"torrent d'en Miquelet"							"way"	"723098895"		"{'intermittent': 'yes', 'name': \"torrent d'en Miquelet\", 'waterway': 'stream'}"
"torrent d'en Miquelet"	"torrent d'en Miquelet"							"way"	"723098894"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"torrent d'en Miquelet\", 'tunnel': 'culvert', 'waterway': 'stream'}"
"torrent d'en Miquelet"	"torrent d'en Miquelet"							"way"	"1033343558"		"{'intermittent': 'yes', 'name': \"torrent d'en Miquelet\", 'waterway': 'stream'}"
"torrent d'en Miquelet"	"torrent d'en Miquelet"							"way"	"1033343559"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"torrent d'en Miquelet\", 'tunnel': 'culvert', 'waterway': 'stream'}"
"torrent d'en Miquelet"	"torrent d'en Miquelet"							"way"	"984222463"		"{'intermittent': 'yes', 'name': \"torrent d'en Miquelet\", 'waterway': 'stream'}"
"torrent d'en Miquelet"	"torrent d'en Miquelet"							"way"	"984222464"		"{'fixme': 'posición?', 'intermittent': 'yes', 'name': \"torrent d'en Miquelet\", 'waterway': 'stream'}"
"torrent de sa Clota"	"torrent de sa Clota"							"way"	"562479256"		"{'intermittent': 'yes', 'name': 'torrent de sa Clota', 'waterway': 'stream'}"
"torrent de sa Tanca"	"torrent de sa Tanca"							"way"	"851502561"		"{'intermittent': 'yes', 'name': 'torrent de sa Tanca', 'waterway': 'stream'}"
