"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Blai"	"Can Blai"							"way"	"355687775"		"{'building': 'detached', 'name': 'Can Blai'}"
"Can Castelló"	"Can Castelló"							"node"	"1242639723"		"{'name': 'Can Castelló', 'place': 'locality'}"
"Can Forn"	"Can Forn"							"node"	"279399037"		"{'amenity': 'restaurant', 'name': 'Can Forn', 'wheelchair': 'no', 'wheelchair:description': 'Die Fussgängerzone wird als Restauranterweiterung genutzt. Man kann mit einem Rollstuhl an einen Tisch fahren. Behinderten-WC nicht vorhanden.'}"
"Can Francina"	"Can Francina"							"node"	"1242610570"		"{'name': 'Can Francina', 'place': 'locality'}"
"Can Jeroni"	"Can Jeroni"							"way"	"299677116"		"{'building': 'house', 'name': 'Can Jeroni'}"
"Can Jordi"	"Can Jordi"							"node"	"1242635145"		"{'name': 'Can Jordi', 'place': 'locality'}"
"Can Josep"	"Can Josep"							"way"	"1092637787"		"{'building': 'house', 'building:levels': '1', 'name': 'Can Josep'}"
"Can Marí"	"Can Marí"							"node"	"1242611137"		"{'name': 'Can Marí', 'place': 'locality'}"
"Can Mateu"	"Can Mateu"							"way"	"902249204"		"{'building': 'house', 'building:levels': '1', 'name': 'Can Mateu'}"
"Can Pep Bosch"	"Can Pep Bosch"							"way"	"370677453"		"{'building': 'yes', 'name': 'Can Pep Bosch'}"
"Can Pep Costa"	"Can Pep Costa"							"node"	"1242611266"		"{'name': 'Can Pep Costa', 'place': 'locality'}"
"Can Pep Moliner"	"Can Pep Moliner"							"node"	"3215553932"		"{'name': 'Can Pep Moliner', 'place': 'yes'}"
"Can Pep Palaies"	"Can Pep Palaies"							"way"	"276140476"		"{'building': 'house', 'name': 'Can Pep Palaies'}"
"Can Rafalet"	"Can Rafalet"							"node"	"5158733821"		"{'amenity': 'restaurant', 'name': 'Can Rafalet', 'phone': '+34 971 32 70 77'}"
"Can Rafalet"	"Can Rafalet"							"node"	"3743734656"		"{'amenity': 'bar', 'name': 'Can Rafalet'}"
"Can Rima"	"Can Rima"							"node"	"1461714995"		"{'name': 'Can Rima', 'tourism': 'chalet'}"
"Can Rita"	"Can Rita"							"node"	"1242636833"		"{'name': 'Can Rita', 'place': 'locality'}"
"Can Toni"	"Can Toni"							"node"	"1461714996"		"{'amenity': 'bar', 'name': 'Can Toni', 'opening_hours': 'Tu-Su 08:00-2:00', 'phone': '+34 971 32 73 77'}"
"Can Toni 1"	"Can Toni 1"							"node"	"890807944"		"{'name': 'Can Toni 1', 'tourism': 'chalet'}"
"Can Toni 2"	"Can Toni 2"							"node"	"890807928"		"{'name': 'Can Toni 2', 'tourism': 'chalet'}"
"Can Vidal"	"Can Vidal"							"way"	"74760885"		"{'building': 'yes', 'name': 'Can Vidal'}"
"Serrat de sa Torre"	"Serrat de sa Torre"							"node"	"1242637041"		"{'name': 'Serrat de sa Torre', 'place': 'locality'}"
"Torrent d'en Jai"	"Torrent d'en Jai"							"way"	"307104343"		"{'name': \"Torrent d'en Jai\", 'waterway': 'stream'}"
"Torrent de Sa Fusta"	"Torrent de Sa Fusta"							"way"	"334641313"		"{'name': 'Torrent de Sa Fusta', 'waterway': 'stream'}"
"Torrent de San Fontanella"	"Torrent de San Fontanella"							"way"	"276149946"		"{'name': 'Torrent de San Fontanella', 'waterway': 'stream'}"
"Torrent desa Falzia"	"Torrent desa Falzia"							"way"	"305265664"		"{'name': 'Torrent desa Falzia', 'waterway': 'stream'}"
"Torrent Fondo"	"Torrent Fondo"							"node"	"1242629380"		"{'name': 'Torrent Fondo', 'place': 'locality'}"
