"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda del Cocó"	"Avinguda del Cocó"							"way"	" 452025461"		"{'highway': 'tertiary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '50', 'name': 'Avinguda del Cocó', 'ref': 'Ma-2111', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda del Cocó"	"Avinguda del Cocó"							"way"	" 372077050"		"{'bridge': 'yes', 'highway': 'tertiary', 'lanes': '2', 'layer': '1', 'lit': 'yes', 'maxspeed': '50', 'name': 'Avinguda del Cocó', 'ref': 'Ma-2111', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda del Cocó"	"Avinguda del Cocó"							"way"	"  25010682"		"{'highway': 'tertiary', 'lanes': '2', 'lit': 'yes', 'maxspeed': '50', 'name': 'Avinguda del Cocó', 'parking:lane:left': 'parallel', 'ref': 'Ma-2111', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Avinguda del Cocó"	"Avinguda del Cocó"							"way"	" 372077049"		"{'highway': 'tertiary', 'lanes': '2', 'lit': 'yes', 'maxspeed:backward': '50', 'maxspeed:forward': '40', 'name': 'Avinguda del Cocó', 'ref': 'Ma-2111', 'sidewalk': 'both', 'surface': 'asphalt'}"
"camí d'Aiamans"	"camí d'Aiamans"							"way"	" 636158116"		"{'highway': 'service', 'name': \"camí d'Aiamans\", 'service': 'driveway'}"
"camí d'Aiamans"	"camí d'Aiamans"							"way"	"  88281013"		"{'highway': 'unclassified', 'name': \"camí d'Aiamans\", 'source': 'survey'}"
"camí de Ca n'Alcover"	"camí de Ca n'Alcover"							"way"	"  86664994"		"{'highway': 'unclassified', 'name': \"camí de Ca n'Alcover\"}"
"camí de Ca n'Antic"	"camí de Ca n'Antic"							"way"	" 164809521"		"{'highway': 'track', 'name': \"camí de Ca n'Antic\"}"
"camí de Can Groc"	"camí de Can Groc"							"way"	"  86665008"		"{'highway': 'unclassified', 'name': 'camí de Can Groc'}"
"camí de Can Pau"	"camí de Can Pau"							"way"	" 435140492"		"{'highway': 'service', 'name': 'camí de Can Pau'}"
"camí de Mandrava"	"camí de Mandrava"							"way"	"  31904444"		"{'highway': 'unclassified', 'name': 'camí de Mandrava'}"
"camí de s'Estorell"	"camí de s'Estorell"							"way"	" 361673468"		"{'highway': 'track', 'name': \"camí de s'Estorell\"}"
"camí de s'Estorell"	"camí de s'Estorell"							"way"	" 100010558"		"{'highway': 'unclassified', 'name': \"camí de s'Estorell\"}"
"camí de sa Clota"	"camí de sa Clota"							"way"	" 164809523"		"{'highway': 'track', 'name': 'camí de sa Clota'}"
"camí de sa Clota"	"camí de sa Clota"							"way"	" 164809517"		"{'highway': 'track', 'name': 'camí de sa Clota'}"
"camí de sa Clota"	"camí de sa Clota"							"way"	" 164809514"		"{'highway': 'unclassified', 'name': 'camí de sa Clota'}"
"camí de sa Clota 1"	"camí de sa Clota 1"							"way"	"  85990724"		"{'highway': 'unclassified', 'name': 'camí de sa Clota 1', 'source': 'survey'}"
"camí de sa Clota 2"	"camí de sa Clota 2"							"way"	"  85990755"		"{'highway': 'unclassified', 'name': 'camí de sa Clota 2', 'source': 'survey'}"
"camí de sa Font Seca"	"camí de sa Font Seca"							"way"	"  86665009"		"{'highway': 'unclassified', 'name': 'camí de sa Font Seca'}"
"camí de sa Vinya des Comte 3"	"camí de sa Vinya des Comte 3"							"way"	" 958612662"		"{'highway': 'unclassified', 'name': 'camí de sa Vinya des Comte 3', 'source': 'survey'}"
"camí de sa Vinya des Comte I"	"camí de sa Vinya des Comte I"							"way"	" 164809515"		"{'highway': 'unclassified', 'name': 'camí de sa Vinya des Comte I'}"
"camí de sa Vinya des Comte II"	"camí de sa Vinya des Comte II"							"way"	"  86057013"		"{'highway': 'unclassified', 'name': 'camí de sa Vinya des Comte II', 'source': 'survey'}"
"camí de ses Comes"	"camí de ses Comes"							"way"	" 636158115"		"{'highway': 'track', 'name': 'camí de ses Comes'}"
"camí de ses Comes"	"camí de ses Comes"							"way"	" 372077046"		"{'access': 'no', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'track', 'horse': 'yes', 'motor_vehicle': 'no', 'name': 'camí de ses Comes'}"
"camí de Son Batle"	"camí de Son Batle"							"way"	" 378924054"		"{'highway': 'service', 'name': 'camí de Son Batle'}"
"camí de Son Batle"	"camí de Son Batle"							"way"	" 923352710"		"{'highway': 'residential', 'name': 'camí de Son Batle'}"
"camí de Son Batle 1"	"camí de Son Batle 1"							"way"	" 435140494"		"{'highway': 'service', 'name': 'camí de Son Batle 1'}"
"camí de Son Batle 2"	"camí de Son Batle 2"							"way"	" 313302816"		"{'highway': 'unclassified', 'name': 'camí de Son Batle 2'}"
"camí de Son Bonifai"	"camí de Son Bonifai"							"way"	" 554240927"		"{'highway': 'track', 'name': 'camí de Son Bonifai'}"
"camí de Son Coll"	"camí de Son Coll"							"way"	"  31904443"		"{'created_by': 'JOSM', 'highway': 'unclassified', 'name': 'camí de Son Coll'}"
"camí de Son Marimon"	"camí de Son Marimon"							"way"	" 164810670"		"{'highway': 'unclassified', 'name': 'camí de Son Marimon'}"
"camí de Son Marimon"	"camí de Son Marimon"							"way"	" 164810673"		"{'highway': 'track', 'name': 'camí de Son Marimon'}"
"camí de Son Ramon"	"camí de Son Ramon"							"way"	"  88280960"		"{'highway': 'unclassified', 'name': 'camí de Son Ramon', 'surface': 'asphalt'}"
"Camí de Son Tugores"	"Camí de Son Tugores"							"way"	" 808691422"		"{'highway': 'tertiary', 'name': 'Camí de Son Tugores', 'ref': 'Ma-2111A', 'surface': 'asphalt'}"
"Camí de Son Tugores"	"Camí de Son Tugores"							"way"	"  85294412"		"{'highway': 'tertiary', 'name': 'Camí de Son Tugores', 'ref': 'Ma-2111A'}"
"Camí de Son Tugores"	"Camí de Son Tugores"							"way"	"1051232728"		"{'highway': 'tertiary_link', 'lanes': '1', 'name': 'Camí de Son Tugores', 'oneway': 'yes', 'ref': 'Ma-2111A', 'surface': 'asphalt'}"
"camí de Son Tugores 1"	"camí de Son Tugores 1"							"way"	" 958612659"		"{'highway': 'unclassified', 'name': 'camí de Son Tugores 1', 'source': 'survey'}"
"camí de Son Tugores 2"	"camí de Son Tugores 2"							"way"	" 357944296"		"{'highway': 'unclassified', 'name': 'camí de Son Tugores 2', 'source': 'survey'}"
