"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Bauçà"	"Can Bauçà"							"way"	"433450534"		"{'building': 'yes', 'name': 'Can Bauçà', 'shop': 'hardware'}"
"Can Ben Fet nou"	"Can Ben Fet nou"							"relation"	"9622350"		"{'building': 'yes', 'name': 'Can Ben Fet nou', 'type': 'multipolygon'}"
"Can Ben Fet vell"	"Can Ben Fet vell"							"way"	"861026059"		"{'building': 'house', 'name': 'Can Ben Fet vell'}"
"Can Benet"	"Can Benet"							"way"	"903007269"		"{'building': 'house', 'name': 'Can Benet'}"
"Can Bernat"	"Can Bernat"							"node"	"5028218144"		"{'amenity': 'cafe', 'name': 'Can Bernat'}"
"Can Bessó"	"Can Bessó"							"way"	"903007270"		"{'building': 'house', 'name': 'Can Bessó'}"
"Can Biel"	"Can Biel"							"way"	"901616377"		"{'building': 'house', 'name': 'Can Biel'}"
"Can Boet"	"Can Boet"							"node"	"4415632133"		"{'name': 'Can Boet', 'place': 'locality'}"
"Can Bon Jesús"	"Can Bon Jesús"							"node"	"1242630114"		"{'name': 'Can Bon Jesús', 'place': 'locality'}"
"Can Cabrianes"	"Can Cabrianes"							"node"	"4881806181"		"{'name': 'Can Cabrianes', 'place': 'locality'}"
"Can Capó"	"Can Capó"							"node"	"1242626062"		"{'name': 'Can Capó', 'place': 'locality'}"
"Can Carreter"	"Can Carreter"							"node"	"1242622602"		"{'name': 'Can Carreter', 'place': 'locality'}"
"Can Carro"	"Can Carro"							"node"	"1242630637"		"{'name': 'Can Carro', 'place': 'locality'}"
"Can Cifre"	"Can Cifre"							"node"	"4434946164"		"{'name': 'Can Cifre', 'place': 'locality'}"
"Can Company"	"Can Company"							"node"	"1242636595"		"{'name': 'Can Company', 'place': 'locality'}"
"Can Conill"	"Can Conill"							"node"	"1242631502"		"{'name': 'Can Conill', 'place': 'locality'}"
"Can Crespí"	"Can Crespí"							"way"	"692402924"		"{'building': 'yes', 'name': 'Can Crespí'}"
"Can Cura"	"Can Cura"							"node"	"4415664812"		"{'name': 'Can Cura', 'place': 'locality'}"
"Can Damià"	"Can Damià"							"node"	"6709013578"		"{'name': 'Can Damià', 'shop': 'pastry'}"
"Can Damià"	"Can Damià"							"node"	"4725546541"		"{'name': 'Can Damià', 'shop': 'bakery'}"
"Can Durí"	"Can Durí"							"node"	"1242621848"		"{'name': 'Can Durí', 'place': 'locality'}"
"Can Ferrer"	"Can Ferrer"							"node"	"8372736049"		"{'name': 'Can Ferrer', 'place': 'locality'}"
"Can Gamundí"	"Can Gamundí"							"node"	"4415622131"		"{'name': 'Can Gamundí', 'place': 'locality'}"
"Can Garra Seca"	"Can Garra Seca"							"node"	"3953529104"		"{'name': 'Can Garra Seca', 'place': 'locality'}"
"Can Gori"	"Can Gori"							"node"	"1242614835"		"{'name': 'Can Gori', 'place': 'locality'}"
"Can Jaume"	"Can Jaume"							"node"	"4297010328"		"{'amenity': 'cafe', 'name': 'Can Jaume'}"
"Can Joan"	"Can Joan"							"node"	"3666131924"		"{'addr:city': 'Llucmajor', 'addr:country': 'ES', 'addr:housenumber': '63', 'addr:postcode': '07620', 'addr:street': 'Carrer de Gràcia', 'amenity': 'restaurant', 'contact:phone': '+34 971 120228', 'contact:website': 'http://www.canjoanpizzeria.com/', 'cuisine': 'pizza', 'name': 'Can Joan', 'opening_hours': 'Mo, We-Su 19:00-24:00; Tu off', 'outdoor_seating': 'yes', 'takeaway': 'yes'}"
"Can Llompart"	"Can Llompart"							"node"	"3899384083"		"{'name': 'Can Llompart', 'shop': 'butcher'}"
"Can Mateu"	"Can Mateu"							"node"	"6718777880"		"{'name': 'Can Mateu', 'shop': 'bakery'}"
"Can Munar"	"Can Munar"							"node"	"1242616971"		"{'name': 'Can Munar', 'place': 'locality'}"
"Can Munar II"	"Can Munar II"							"node"	"5228283565"		"{'name': 'Can Munar II', 'shop': 'greengrocer'}"
"Can Nadal"	"Can Nadal"							"node"	"5508988134"		"{'amenity': 'cafe', 'name': 'Can Nadal'}"
"Can Niu"	"Can Niu"							"node"	"1242629532"		"{'name': 'Can Niu', 'place': 'locality'}"
"Can Niuet"	"Can Niuet"							"node"	"1242611510"		"{'name': 'Can Niuet', 'place': 'locality'}"
"Can Paco"	"Can Paco"							"node"	"7035290465"		"{'addr:housenumber': '71', 'addr:street': 'Carrer del Bisbe Taixequet', 'name': 'Can Paco', 'shop': 'tobacco'}"
"Can Pancuit"	"Can Pancuit"							"node"	"4044291209"		"{'name': 'Can Pancuit', 'tourism': 'picnic_site'}"
"Can Peixet"	"Can Peixet"							"node"	"1242613699"		"{'name': 'Can Peixet', 'place': 'locality'}"
"Can Portell"	"Can Portell"							"node"	"1242630983"		"{'name': 'Can Portell', 'place': 'locality'}"
"Can Ramis"	"Can Ramis"							"way"	"405809152"		"{'landuse': 'quarry', 'name': 'Can Ramis'}"
"Can Reus"	"Can Reus"							"node"	"1242621080"		"{'name': 'Can Reus', 'place': 'locality'}"
"Can Reviu"	"Can Reviu"							"node"	"1242630270"		"{'name': 'Can Reviu', 'place': 'locality'}"
"Can Salvà"	"Can Salvà"							"node"	"6611426587"		"{'name': 'Can Salvà', 'shop': 'pet'}"
"Can Tem"	"Can Tem"							"way"	"442328899"		"{'building': 'house', 'name': 'Can Tem'}"
"Can Vicenç"	"Can Vicenç"							"node"	"6767643027"		"{'name': 'Can Vicenç', 'shop': 'bakery'}"
"Can Xisco"	"Can Xisco"							"node"	"7021339403"		"{'name': 'Can Xisco', 'shop': 'agrarian'}"
"Font de Son Reus"	"Font de Son Reus"							"node"	"5838969957"		"{'name': 'Font de Son Reus', 'natural': 'spring'}"
"Puig de Can Coll"	"Puig de Can Coll"							"node"	"1242633415"		"{'name': 'Puig de Can Coll', 'place': 'locality'}"
"Puig de Ros"	"Puig de Ros"							"node"	"3585284258"		"{'name': 'Puig de Ros', 'place': 'village'}"
"Puig de sa Glòria"	"Puig de sa Glòria"							"node"	"1249786759"		"{'name': 'Puig de sa Glòria', 'natural': 'peak'}"
"Puig de sa Maimona"	"Puig de sa Maimona"							"node"	"5841904319"		"{'ele': '345', 'name': 'Puig de sa Maimona', 'natural': 'peak'}"
"Puig de ses Roques"	"Puig de ses Roques"							"node"	"1242617159"		"{'name': 'Puig de ses Roques', 'place': 'locality'}"
"Torrent de Cala Mosques"	"Torrent de Cala Mosques"							"way"	"352409225"		"{'intermittent': 'yes', 'name': 'Torrent de Cala Mosques', 'waterway': 'stream'}"
"Torrent de Cala Pi"	"Torrent de Cala Pi"			"Torrent de Cala Pi, torrent de Cala Pi"	"Torrent de Cala Pi"	"creek"	"Q11952385"	"way"	"119452193"		"{'intermittent': 'yes', 'name': 'Torrent de Cala Pi', 'waterway': 'stream', 'wikidata': 'Q11952385'}"
"Torrent de Garonda"	"Torrent de Garonda"							"way"	"752317316"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Garonda', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Torrent de Garonda"	"Torrent de Garonda"							"way"	"365354429"		"{'intermittent': 'yes', 'name': 'Torrent de Garonda', 'waterway': 'stream'}"
"Torrent de Garonda"	"Torrent de Garonda"			"Torrent de Garonda, torrent de Garonda"	"Torrent de Garonda"	"watercourse"	"Q11952416"	"way"	"752317315"		"{'intermittent': 'yes', 'name': 'Torrent de Garonda', 'waterway': 'stream', 'wikidata': 'Q11952416'}"
"Torrent de na Clot"	"Torrent de na Clot"							"way"	"345790547"		"{'intermittent': 'yes', 'name': 'Torrent de na Clot', 'waterway': 'stream'}"
"Torrent de na Clot"	"Torrent de na Clot"							"way"	"345790549"		"{'intermittent': 'yes', 'name': 'Torrent de na Clot', 'waterway': 'stream'}"
"Torrent de na Clot"	"Torrent de na Clot"							"way"	"345790548"		"{'intermittent': 'yes', 'name': 'Torrent de na Clot', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Son Verí"	"Torrent de Son Verí"			"Torrent de Son Verí, torrent de Son Verí"	"Torrent de Son Verí"	"creek"	"Q11952447"	"way"	"345760387"		"{'intermittent': 'yes', 'name': 'Torrent de Son Verí', 'waterway': 'stream', 'wikidata': 'Q11952447'}"
"Torrent Fondo"	"Torrent Fondo"							"way"	"365354406"		"{'intermittent': 'yes', 'name': 'Torrent Fondo', 'waterway': 'stream'}"
"torrent Gros"	"torrent Gros"							"way"	"1054005150"		"{'intermittent': 'yes', 'name': 'torrent Gros', 'waterway': 'stream'}"
"Torrent Gros"	"Torrent Gros"							"way"	"361375582"		"{'intermittent': 'yes', 'name': 'Torrent Gros', 'waterway': 'stream'}"
"Turó de sa Figuera Grossa"	"Turó de sa Figuera Grossa"							"node"	"1242633294"		"{'name': 'Turó de sa Figuera Grossa', 'place': 'locality'}"
"Turó de ses Figueretes"	"Turó de ses Figueretes"							"node"	"1242611229"		"{'name': 'Turó de ses Figueretes', 'place': 'locality'}"
