"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"coll d'en Vela"	"coll d'en Vela"							"node"	"3992527691"		"{'ele': '98', 'name': \"coll d'en Vela\", 'natural': 'saddle'}"
"coll de la Bretxa"	"coll de la Bretxa"							"node"	"4196864167"		"{'name': 'coll de la Bretxa', 'natural': 'saddle'}"
"coma d'en Xeixa"	"coma d'en Xeixa"							"node"	"4449852501"		"{'name': \"coma d'en Xeixa\", 'place': 'locality'}"
"font del Sementer"	"font del Sementer"							"node"	"319111343"		"{'name': 'font del Sementer', 'natural': 'spring'}"
"puig de l'Àguila"	"puig de l'Àguila"							"node"	"1242616595"		"{'name': \"puig de l'Àguila\", 'natural': 'peak'}"
"puig de Son Vila"	"puig de Son Vila"							"node"	"4558289617"		"{'name': 'puig de Son Vila', 'natural': 'peak'}"
"puig del Vilar"	"puig del Vilar"							"node"	"7213983756"		"{'name': 'puig del Vilar', 'natural': 'peak'}"
"Puig dels Cellers"	"Puig dels Cellers"							"node"	"1242630023"		"{'name': 'Puig dels Cellers', 'natural': 'peak'}"
"serra d'Albercutx"	"serra d'Albercutx"							"way"	"396446974"		"{'name': \"serra d'Albercutx\", 'natural': 'cliff'}"
"serra de la Punta"	"serra de la Punta"							"node"	"4583457518"		"{'name': 'serra de la Punta', 'place': 'locality'}"
"torrent d'Enmig"	"torrent d'Enmig"							"way"	"1115783598"		"{'intermittent': 'yes', 'name': \"torrent d'Enmig\", 'waterway': 'stream'}"
"torrent de la Vall d'en Marc"	"torrent de la Vall d'en Marc"							"way"	"56742144"		"{'intermittent': 'yes', 'name': \"torrent de la Vall d'en Marc\", 'waterway': 'stream'}"
"torrent de la Vall d'en Marc"	"torrent de la Vall d'en Marc"							"way"	"797890002"		"{'intermittent': 'yes', 'name': \"torrent de la Vall d'en Marc\", 'source': 'survey;Bing WMS layer;cadastre', 'waterway': 'stream'}"
"torrent de les Agulles"	"torrent de les Agulles"							"way"	"129808809"		"{'highway': 'path', 'incline': 'steep', 'name': 'torrent de les Agulles', 'sac_scale': 'demanding_mountain_hiking', 'source': 'Bing WMS;survey', 'trail_visibility': 'intermediate'}"
"torrent de les Agulles"	"torrent de les Agulles"							"way"	"967857895"		"{'intermittent': 'yes', 'name': 'torrent de les Agulles', 'seasonal': 'yes', 'waterway': 'stream'}"
"torrent de les Pedreres"	"torrent de les Pedreres"							"way"	"702218412"		"{'intermittent': 'yes', 'name': 'torrent de les Pedreres', 'waterway': 'stream'}"
"torrent de les Pedreres"	"torrent de les Pedreres"							"way"	"1037503232"		"{'intermittent': 'yes', 'name': 'torrent de les Pedreres', 'waterway': 'stream'}"
"torrent de les Pedreres"	"torrent de les Pedreres"							"way"	"1037503233"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'torrent de les Pedreres', 'tunnel': 'culvert', 'waterway': 'stream'}"
"torrent de les Rotes de Can Sales"	"torrent de les Rotes de Can Sales"							"way"	"797911884"		"{'intermittent': 'yes', 'name': 'torrent de les Rotes de Can Sales', 'waterway': 'stream'}"
"torrent de Maçana"	"torrent de Maçana"							"way"	"397546164"		"{'intermittent': 'yes', 'name': 'torrent de Maçana', 'waterway': 'stream'}"
"torrent de Muntanya"	"torrent de Muntanya"							"way"	"119426265"		"{'intermittent': 'yes', 'name': 'torrent de Muntanya', 'source': 'survey;Bing WMS layer;cadastre', 'waterway': 'stream'}"
"torrent del Gorg dels Voltors"	"torrent del Gorg dels Voltors"							"way"	"780926068"		"{'intermittent': 'yes', 'name': 'torrent del Gorg dels Voltors', 'waterway': 'stream'}"
"torrent del Molinet"	"torrent del Molinet"							"way"	"469435337"		"{'intermittent': 'yes', 'name': 'torrent del Molinet', 'waterway': 'stream'}"
