"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passeig Colón"	"Passeig Colón"							"way"	"  23256024"		"{'destination:forward': 'Can Picaford;', 'highway': 'tertiary', 'name': 'Passeig Colón', 'noref': 'yes', 'surface': 'asphalt'}"
"Passeig Colón"	"Passeig Colón"							"way"	"  61190705"		"{'highway': 'tertiary', 'name': 'Passeig Colón', 'noref': 'yes', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig Colón"	"Passeig Colón"							"way"	"  61190699"		"{'highway': 'tertiary', 'name': 'Passeig Colón', 'noref': 'yes', 'oneway': 'yes'}"
"Passeig Colón"	"Passeig Colón"							"way"	" 492365050"		"{'cycleway:right': 'no', 'highway': 'tertiary', 'lane_markings': 'no', 'name': 'Passeig Colón', 'noref': 'yes', 'oneway': 'yes', 'smoothness': 'good', 'surface': 'asphalt'}"
"Passeig Colón"	"Passeig Colón"							"way"	" 758806827"		"{'highway': 'tertiary', 'name': 'Passeig Colón', 'noref': 'yes', 'oneway': 'no'}"
"Passeig de l'Enginyer Antoni Garau"	"Passeig de l'Enginyer Antoni Garau"							"way"	"  23256019"		"{'highway': 'pedestrian', 'lit': 'yes', 'name': \"Passeig de l'Enginyer Antoni Garau\", 'smoothness': 'good', 'surface': 'paving_stones'}"
"passeig de Son Mas"	"passeig de Son Mas"							"way"	"  30904528"		"{'highway': 'tertiary', 'name': 'passeig de Son Mas'}"
"passeig des Pouàs"	"passeig des Pouàs"							"way"	"  32689265"		"{'highway': 'residential', 'name': 'passeig des Pouàs'}"
"Passeig Mallorca"	"Passeig Mallorca"							"way"	"  26375006"		"{'highway': 'residential', 'name': 'Passeig Mallorca', 'oneway': 'yes'}"
"Passeig Mallorca"	"Passeig Mallorca"							"way"	" 239287069"		"{'highway': 'tertiary', 'name': 'Passeig Mallorca', 'noref': 'yes'}"
"Passeig Mallorca"	"Passeig Mallorca"							"way"	"1013452998"		"{'highway': 'tertiary', 'name': 'Passeig Mallorca', 'noref': 'yes', 'oneway': 'yes'}"
"Passeig Mallorca"	"Passeig Mallorca"							"way"	"1093600141"		"{'cycleway:right': 'no', 'highway': 'tertiary', 'lanes': '1', 'name': 'Passeig Mallorca', 'noref': 'yes', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passeig Mallorca"	"Passeig Mallorca"							"way"	"  26374962"		"{'cycleway:both': 'no', 'highway': 'tertiary', 'lane_markings': 'no', 'name': 'Passeig Mallorca', 'noref': 'yes', 'surface': 'asphalt'}"
"Passeig Mallorca"	"Passeig Mallorca"							"way"	" 365883244"		"{'cycleway:right': 'no', 'highway': 'tertiary', 'lanes': '1', 'name': 'Passeig Mallorca', 'noref': 'yes', 'oneway': 'yes', 'surface': 'paving_stones'}"
"Passeig Marítim"	"Passeig Marítim"							"way"	" 282721198"		"{'highway': 'residential', 'name': 'Passeig Marítim', 'surface': 'asphalt'}"
