"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"carreró de l'Amargura"	"carreró de l'Amargura"							"way"	" 733265680"		"{'highway': 'service', 'name': \"carreró de l'Amargura\", 'service': 'alley', 'surface': 'concrete'}"
"jardí de sa torre des Moro"	"jardí de sa torre des Moro"							"node"	"2917258476"		"{'name': 'jardí de sa torre des Moro', 'tourism': 'viewpoint'}"
"passatge de la Beata"	"passatge de la Beata"							"way"	" 904670750"		"{'highway': 'service', 'name': 'passatge de la Beata', 'service': 'alley'}"
"Passatge de sa Plaça"	"Passatge de sa Plaça"							"way"	" 107342756"		"{'highway': 'living_street', 'name': 'Passatge de sa Plaça'}"
"Passatge de sa Plaça"	"Passatge de sa Plaça"							"way"	"1092910302"		"{'highway': 'living_street', 'lit': 'yes', 'name': 'Passatge de sa Plaça', 'surface': 'paving_stones'}"
"Passatge de sa Plaça"	"Passatge de sa Plaça"							"way"	" 734011184"		"{'highway': 'pedestrian', 'lit': 'yes', 'name': 'Passatge de sa Plaça', 'surface': 'paving_stones'}"
"Passatge de sa Plaça"	"Passatge de sa Plaça"							"way"	"1092910297"		"{'highway': 'living_street', 'lit': 'yes', 'name': 'Passatge de sa Plaça', 'surface': 'paving_stones'}"
"Urbanització de s'Arxiduc"	"Urbanització de s'Arxiduc"							"node"	"2441307612"		"{'name': \"Urbanització de s'Arxiduc\", 'place': 'neighbourhood', 'source': 'survey'}"
"Urbanització de Son Maixella"	"Urbanització de Son Maixella"							"way"	" 135099511"		"{'landuse': 'residential', 'name': 'Urbanització de Son Maixella', 'source': 'cadastre'}"
"Urbanització Nova Valldemossa"	"Urbanització Nova Valldemossa"							"way"	"  79986817"		"{'landuse': 'residential', 'name': 'Urbanització Nova Valldemossa', 'note': 'The area is approximate', 'source': 'cadastre'}"
"Urbanització Shangril·la"	"Urbanització Shangril·la"							"way"	"  79986809"		"{'landuse': 'residential', 'name': 'Urbanització Shangril·la', 'note': 'The area is approximate', 'source': 'cadastre'}"
