"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda del Portal"	"Avinguda del Portal"							"way"	"344060752"		"{'highway': 'tertiary', 'lanes': '2', 'name': 'Avinguda del Portal', 'oneway': 'no', 'ref': 'LV-3004'}"
"Avinguda del Portal"	"Avinguda del Portal"							"way"	"344060758"		"{'highway': 'residential', 'name': 'Avinguda del Portal'}"
"Avinguda del Portal"	"Avinguda del Portal"							"way"	"871575665"		"{'highway': 'residential', 'name': 'Avinguda del Portal', 'tunnel': 'building_passage'}"
"Avinguda del Portal"	"Avinguda del Portal"							"way"	"871575666"		"{'highway': 'residential', 'name': 'Avinguda del Portal'}"
"Avinguda del Portal"	"Avinguda del Portal"							"way"	"344060762"		"{'highway': 'residential', 'name': 'Avinguda del Portal'}"
"Camí de Castellanes"	"Camí de Castellanes"							"way"	"288212835"		"{'highway': 'track', 'name': 'Camí de Castellanes'}"
"Carrer de la Barceloneta"	"Carrer de la Barceloneta"							"way"	"226919661"		"{'highway': 'residential', 'name': 'Carrer de la Barceloneta'}"
"Carrer de la Torre"	"Carrer de la Torre"							"way"	"226919665"		"{'highway': 'residential', 'name': 'Carrer de la Torre'}"
"Carrer de les Eres"	"Carrer de les Eres"							"way"	"344080958"		"{'highway': 'residential', 'name': 'Carrer de les Eres'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"226919667"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"344082676"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"344082675"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer Major"	"Carrer Major"							"way"	"344080965"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"344082666"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"344082667"		"{'highway': 'residential', 'name': 'Carrer Major', 'tunnel': 'building_passage'}"
"Carrer Major"	"Carrer Major"							"way"	"344082668"		"{'highway': 'residential', 'name': 'Carrer Major', 'tunnel': 'building_passage'}"
"Carrer Major"	"Carrer Major"							"way"	"344080966"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"344082670"		"{'highway': 'residential', 'name': 'Carrer Major', 'tunnel': 'building_passage'}"
"Carrer Major"	"Carrer Major"							"way"	"344082671"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"344082672"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"344082669"		"{'highway': 'residential', 'name': 'Carrer Major', 'tunnel': 'building_passage'}"
"Plaça del Colom"	"Plaça del Colom"							"way"	"344080960"		"{'highway': 'residential', 'name': 'Plaça del Colom'}"
"Plaça Major"	"Plaça Major"							"way"	"344080959"		"{'highway': 'residential', 'name': 'Plaça Major'}"
"Plaça Major"	"Plaça Major"							"way"	"226919663"		"{'highway': 'residential', 'name': 'Plaça Major'}"
"Plaça Major"	"Plaça Major"							"way"	"871575667"		"{'highway': 'residential', 'name': 'Plaça Major'}"
