"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de la Vall d'Albaida"	"Avinguda de la Vall d'Albaida"							"way"	" 701061464"		"{'highway': 'residential', 'name': \"Avinguda de la Vall d'Albaida\"}"
"Avinguda de València"	"Avinguda de València"							"way"	" 110264235"		"{'highway': 'secondary', 'name': 'Avinguda de València', 'oneway': 'no', 'ref': 'CV-610'}"
"Avinguda del Poliesportiu"	"Avinguda del Poliesportiu"							"way"	" 156930222"		"{'highway': 'residential', 'name': 'Avinguda del Poliesportiu'}"
"Avinguda Mont Sant"	"Avinguda Mont Sant"							"way"	" 105001764"		"{'highway': 'tertiary', 'name': 'Avinguda Mont Sant', 'ref': 'CV-608', 'source': 'GPS; local_knowledge'}"
"Avinguda Vicent Andres Estelles"	"Avinguda Vicent Andres Estelles"							"way"	" 288659115"		"{'highway': 'residential', 'name': 'Avinguda Vicent Andres Estelles'}"
"Avinguda Vicent Andres Estelles"	"Avinguda Vicent Andres Estelles"							"way"	" 263483596"		"{'highway': 'residential', 'name': 'Avinguda Vicent Andres Estelles'}"
"Camí de Benifarbia"	"Camí de Benifarbia"							"way"	" 288809094"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí de Benifarbia', 'surface': 'asphalt'}"
"Camí de l'Ambelló"	"Camí de l'Ambelló"							"way"	" 288810137"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': \"Camí de l'Ambelló\", 'surface': 'asphalt'}"
"Camí de l'Angoletja"	"Camí de l'Angoletja"							"way"	" 461565311"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': \"Camí de l'Angoletja\", 'surface': 'asphalt'}"
"Camí de la Coma"	"Camí de la Coma"							"way"	" 903437579"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí de la Coma', 'surface': 'asphalt'}"
"Camí del Cementeri"	"Camí del Cementeri"							"way"	" 181317119"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí del Cementeri', 'surface': 'asphalt'}"
"Camí del Regadiu"	"Camí del Regadiu"							"way"	" 288810138"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí del Regadiu', 'surface': 'asphalt'}"
"Camí dels Colls"	"Camí dels Colls"							"way"	" 461571094"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí dels Colls', 'surface': 'asphalt'}"
"Camí Santa Ana"	"Camí Santa Ana"							"way"	" 182033529"		"{'highway': 'service', 'lanes': '1', 'maxspeed': '40', 'name': 'Camí Santa Ana', 'surface': 'asphalt'}"
