"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Catalunya"	"Avinguda Catalunya"							"way"	" 699240774"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '20', 'name': 'Avinguda Catalunya', 'oneway': 'yes'}"
"Avinguda Catalunya"	"Avinguda Catalunya"							"way"	" 638202700"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'no', 'highway': 'residential', 'horse': 'no', 'lanes': '1', 'maxspeed': '30', 'name': 'Avinguda Catalunya', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda Catalunya"	"Avinguda Catalunya"							"way"	" 676574231"		"{'highway': 'tertiary', 'lanes': '2', 'maxspeed': '20', 'name': 'Avinguda Catalunya', 'oneway': 'no', 'ref': 'N-152z'}"
"Avinguda Catalunya"	"Avinguda Catalunya"							"way"	" 287733769"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '20', 'name': 'Avinguda Catalunya', 'oneway': 'yes'}"
"Avinguda Catalunya"	"Avinguda Catalunya"							"way"	" 576957405"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '20', 'name': 'Avinguda Catalunya', 'oneway': 'yes'}"
"Avinguda Catalunya"	"Avinguda Catalunya"							"way"	" 174538058"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'no', 'highway': 'residential', 'horse': 'no', 'lanes': '1', 'maxspeed': '30', 'name': 'Avinguda Catalunya', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda Catalunya"	"Avinguda Catalunya"							"way"	"  56326534"		"{'highway': 'tertiary', 'lanes': '2', 'maxspeed': '20', 'name': 'Avinguda Catalunya', 'oneway': 'no', 'ref': 'N-152z'}"
"Avinguda Catalunya - Sol"	"Avinguda Catalunya - Sol"							"node"	"2936578106"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avinguda Catalunya - Sol', 'operator': 'Sagales', 'public_transport': 'stop_position'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	"  82466076"		"{'bicycle': 'yes', 'highway': 'pedestrian', 'motor_vehicle': 'no', 'name': \"Avinguda d'Europa\", 'segregated': 'no', 'surface': 'asphalt', 'wheelchair': 'yes'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 174664012"		"{'highway': 'residential', 'lanes': '2', 'name': \"Avinguda d'Europa\", 'oneway': 'no', 'width': '10'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 888613759"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'residential', 'horse': 'permissive', 'lanes': '1', 'maxspeed': '50', 'name': \"Avinguda d'Europa\", 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 888497618"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'residential', 'horse': 'permissive', 'lanes': '1', 'maxspeed': '30', 'name': \"Avinguda d'Europa\", 'oneway': 'no', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 893015881"		"{'highway': 'residential', 'lanes': '2', 'name': \"Avinguda d'Europa\", 'oneway': 'no', 'width': '10'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 946178985"		"{'highway': 'cycleway', 'lanes': '2', 'name': \"Avinguda d'Europa\", 'oneway': 'no', 'segregated': 'yes', 'surface': 'asphalt'}"
"Avinguda de la Ferreria"	"Avinguda de la Ferreria"							"way"	"  44807415"		"{'highway': 'unclassified', 'lanes': '1', 'maxspeed': '50', 'name': 'Avinguda de la Ferreria', 'oneway': 'yes'}"
"Avinguda de la Ferreria"	"Avinguda de la Ferreria"							"way"	" 899921803"		"{'access': 'yes', 'highway': 'unclassified', 'lanes': '2', 'maxspeed': '50', 'name': 'Avinguda de la Ferreria', 'oneway': 'no'}"
"Avinguda de la Ferreria"	"Avinguda de la Ferreria"							"way"	"  33584733"		"{'destination': 'Poligono Industrial La Ferreria', 'highway': 'unclassified', 'lanes': '2', 'maxspeed': '50', 'name': 'Avinguda de la Ferreria', 'oneway': 'yes'}"
