"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	" 147176628"		"{'highway': 'tertiary', 'name': 'Avinguda de la Generalitat', 'oneway': 'no', 'ref': 'LV-3025B'}"
"Avinguda del Doctor Vives"	"Avinguda del Doctor Vives"							"way"	" 198487243"		"{'highway': 'residential', 'name': 'Avinguda del Doctor Vives'}"
"Camí de Castellserà"	"Camí de Castellserà"							"node"	"1241678940"		"{'name': 'Camí de Castellserà', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Camí de Finques"	"Camí de Finques"							"way"	" 303181652"		"{'highway': 'residential', 'name': 'Camí de Finques', 'surface': 'asphalt'}"
"Camí de Foradada"	"Camí de Foradada"							"way"	" 198616101"		"{'highway': 'unclassified', 'name': 'Camí de Foradada'}"
"Camí de Foradada"	"Camí de Foradada"							"way"	" 198616119"		"{'highway': 'unclassified', 'name': 'Camí de Foradada'}"
"Camí de la Vella"	"Camí de la Vella"							"way"	" 198623765"		"{'highway': 'unclassified', 'name': 'Camí de la Vella'}"
"Camí de Montclar"	"Camí de Montclar"							"way"	" 198616111"		"{'highway': 'unclassified', 'name': 'Camí de Montclar'}"
"Camí de Montgai a Flix"	"Camí de Montgai a Flix"							"way"	" 146499604"		"{'highway': 'unclassified', 'name': 'Camí de Montgai a Flix', 'surface': 'paved'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	" 219193097"		"{'highway': 'unclassified', 'name': 'Camí del Cementiri'}"
"Camí del Sió"	"Camí del Sió"							"way"	" 303174533"		"{'highway': 'unclassified', 'lanes': '2', 'name': 'Camí del Sió', 'surface': 'asphalt'}"
"Camí del Sió"	"Camí del Sió"							"way"	" 145299365"		"{'highway': 'residential', 'name': 'Camí del Sió'}"
"Camí del Sió"	"Camí del Sió"							"way"	" 303174524"		"{'bridge': 'yes', 'highway': 'unclassified', 'lanes': '2', 'name': 'Camí del Sió', 'surface': 'asphalt'}"
"Camí del Sió"	"Camí del Sió"							"way"	"1077661833"		"{'highway': 'residential', 'name': 'Camí del Sió', 'oneway': 'yes'}"
"Camí del Sió"	"Camí del Sió"							"way"	" 303174525"		"{'highway': 'unclassified', 'lanes': '2', 'name': 'Camí del Sió', 'surface': 'asphalt'}"
"Camí vell de Castellserà"	"Camí vell de Castellserà"							"way"	"1079261077"		"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'Camí vell de Castellserà', 'surface': 'paved'}"
"Camí vell de Castellserà"	"Camí vell de Castellserà"							"way"	" 303168381"		"{'highway': 'unclassified', 'name': 'Camí vell de Castellserà', 'surface': 'paved'}"
"Camí vell de Montgai a Butsènit d'Urgell"	"Camí vell de Montgai a Butsènit d'Urgell"							"way"	" 198616105"		"{'highway': 'unclassified', 'name': \"Camí vell de Montgai a Butsènit d'Urgell\"}"
"Carrer d'Àngel Guimerà"	"Carrer d'Àngel Guimerà"							"way"	" 198487245"	"name:etymology:wikidata=Q175485"	"{'highway': 'residential', 'name': \"Carrer d'Àngel Guimerà\", 'name:etymology:wikidata': 'Q175485'}"
"Carrer d'Antoni Gaudí"	"Carrer d'Antoni Gaudí"							"way"	" 303174505"		"{'highway': 'residential', 'name': \"Carrer d'Antoni Gaudí\", 'surface': 'paved'}"
"Carrer d'Isidre Aldavó"	"Carrer d'Isidre Aldavó"							"way"	" 303181666"		"{'highway': 'residential', 'name': \"Carrer d'Isidre Aldavó\"}"
"Carrer de Buenos Aires"	"Carrer de Buenos Aires"							"way"	" 198487246"		"{'highway': 'residential', 'name': 'Carrer de Buenos Aires'}"
"Carrer de Buenos Aires"	"Carrer de Buenos Aires"							"way"	" 198487262"		"{'highway': 'residential', 'name': 'Carrer de Buenos Aires'}"
"Carrer de Domènec Cardenal"	"Carrer de Domènec Cardenal"							"way"	" 303174518"		"{'highway': 'residential', 'name': 'Carrer de Domènec Cardenal', 'oneway': 'no'}"
"Carrer de Francesc Macià"	"Carrer de Francesc Macià"							"way"	" 303181676"		"{'highway': 'residential', 'name': 'Carrer de Francesc Macià', 'surface': 'asphalt'}"
"Carrer de Jaume de Borbó"	"Carrer de Jaume de Borbó"							"way"	" 303174506"		"{'highway': 'residential', 'name': 'Carrer de Jaume de Borbó'}"
"Carrer de Josep Irla"	"Carrer de Josep Irla"							"way"	" 303168380"		"{'highway': 'residential', 'name': 'Carrer de Josep Irla', 'surface': 'paved'}"
"Carrer de l'Església"	"Carrer de l'Església"							"way"	" 303174510"		"{'highway': 'residential', 'name': \"Carrer de l'Església\"}"
"Carrer de l'Església"	"Carrer de l'Església"							"way"	" 303174508"		"{'highway': 'residential', 'name': \"Carrer de l'Església\", 'tunnel': 'building_passage'}"
"Carrer de l'Església"	"Carrer de l'Església"							"way"	" 303174509"		"{'highway': 'residential', 'name': \"Carrer de l'Església\"}"
"Carrer de l'Urgell"	"Carrer de l'Urgell"							"way"	" 219193098"		"{'highway': 'unclassified', 'name': \"Carrer de l'Urgell\"}"
"Carrer de l'Urgell"	"Carrer de l'Urgell"							"way"	" 219193087"		"{'highway': 'residential', 'name': \"Carrer de l'Urgell\"}"
"Carrer de la Carretera"	"Carrer de la Carretera"							"way"	" 198616088"		"{'highway': 'tertiary', 'name': 'Carrer de la Carretera', 'ref': 'LV-3025C'}"
"Carrer de la Font"	"Carrer de la Font"							"way"	" 198616089"		"{'highway': 'residential', 'name': 'Carrer de la Font'}"
"Carrer de la Portalada"	"Carrer de la Portalada"							"way"	" 147177148"		"{'highway': 'residential', 'name': 'Carrer de la Portalada', 'oneway': 'no'}"
"Carrer de la Roqueta"	"Carrer de la Roqueta"							"way"	" 145301378"		"{'highway': 'residential', 'name': 'Carrer de la Roqueta', 'oneway': 'no'}"
"Carrer de les Escoles"	"Carrer de les Escoles"							"way"	" 198616090"		"{'highway': 'residential', 'name': 'Carrer de les Escoles'}"
"Carrer de les Escoles"	"Carrer de les Escoles"							"way"	" 198616094"		"{'highway': 'residential', 'name': 'Carrer de les Escoles'}"
"Carrer de les Escoles"	"Carrer de les Escoles"							"way"	" 198616100"		"{'highway': 'residential', 'name': 'Carrer de les Escoles'}"
"Carrer de Miret"	"Carrer de Miret"							"way"	" 198487248"		"{'highway': 'residential', 'name': 'Carrer de Miret'}"
"Carrer de Pau Casals"	"Carrer de Pau Casals"							"way"	" 303174507"	"name:etymology:wikidata=Q208537"	"{'highway': 'residential', 'name': 'Carrer de Pau Casals', 'name:etymology:wikidata': 'Q208537'}"
"Carrer de Santiago Rusiñol"	"Carrer de Santiago Rusiñol"							"way"	" 198487251"		"{'highway': 'residential', 'name': 'Carrer de Santiago Rusiñol'}"
"Carrer del Calvari"	"Carrer del Calvari"							"way"	" 303168378"		"{'highway': 'residential', 'name': 'Carrer del Calvari'}"
"Carrer del Mestre Millet"	"Carrer del Mestre Millet"							"way"	" 198487253"		"{'highway': 'residential', 'name': 'Carrer del Mestre Millet'}"
"Carrer del Mig"	"Carrer del Mig"							"way"	" 303174511"		"{'highway': 'residential', 'name': 'Carrer del Mig'}"
"Carrer del Raval"	"Carrer del Raval"							"way"	" 198487256"		"{'highway': 'residential', 'name': 'Carrer del Raval'}"
"Carrer del Reverend Bernola"	"Carrer del Reverend Bernola"							"way"	" 198627748"		"{'bridge': 'yes', 'highway': 'residential', 'name': 'Carrer del Reverend Bernola'}"
"Carrer del Reverend Bernola"	"Carrer del Reverend Bernola"							"way"	" 198627752"		"{'highway': 'residential', 'name': 'Carrer del Reverend Bernola'}"
"Carrer del Reverend Bernola"	"Carrer del Reverend Bernola"							"way"	" 303181667"		"{'highway': 'residential', 'name': 'Carrer del Reverend Bernola'}"
"Carrer del Reverend Bernola"	"Carrer del Reverend Bernola"							"way"	" 303174531"		"{'highway': 'residential', 'name': 'Carrer del Reverend Bernola'}"
"Carrer del Reverend Bernola"	"Carrer del Reverend Bernola"							"way"	" 303174522"		"{'highway': 'residential', 'name': 'Carrer del Reverend Bernola'}"
"Carrer del Reverend Bernola"	"Carrer del Reverend Bernola"							"way"	" 303174534"		"{'highway': 'residential', 'name': 'Carrer del Reverend Bernola', 'surface': 'paved'}"
"Carrer del Reverend Bernola"	"Carrer del Reverend Bernola"							"way"	" 198623763"		"{'highway': 'residential', 'name': 'Carrer del Reverend Bernola', 'oneway': 'no'}"
"Carrer del Reverend Pare Mirats"	"Carrer del Reverend Pare Mirats"							"way"	"  34077282"		"{'highway': 'tertiary', 'name': 'Carrer del Reverend Pare Mirats', 'oneway': 'no', 'ref': 'LV-3025B'}"
"Carrer del Reverend Pare Mirats"	"Carrer del Reverend Pare Mirats"							"way"	"1080250983"		"{'highway': 'tertiary', 'lanes': '1', 'name': 'Carrer del Reverend Pare Mirats', 'oneway': 'yes', 'ref': 'LV-3025B', 'surface': 'asphalt'}"
"Carrer del Reverend Pare Mirats"	"Carrer del Reverend Pare Mirats"							"way"	" 303181654"		"{'highway': 'tertiary', 'lanes': '1', 'name': 'Carrer del Reverend Pare Mirats', 'oneway': 'yes', 'ref': 'LV-3025B', 'surface': 'asphalt'}"
"Carrer del Reverend Pare Mirats"	"Carrer del Reverend Pare Mirats"							"way"	" 303181655"		"{'highway': 'tertiary', 'name': 'Carrer del Reverend Pare Mirats', 'oneway': 'yes', 'ref': 'LV-3025B', 'surface': 'asphalt'}"
"Carrer del Sió"	"Carrer del Sió"							"way"	" 198487257"		"{'highway': 'residential', 'name': 'Carrer del Sió'}"
"Carrer dels Barrellaires"	"Carrer dels Barrellaires"							"way"	" 219193095"		"{'highway': 'residential', 'name': 'Carrer dels Barrellaires'}"
"Carrer dels Morcaires"	"Carrer dels Morcaires"							"way"	" 303181663"		"{'highway': 'residential', 'name': 'Carrer dels Morcaires', 'oneway': 'no'}"
