"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí del Mosseto"	"Camí del Mosseto"							"way"	" 82296155"		"{'highway': 'unclassified', 'name': 'Camí del Mosseto', 'ref:FR:FANTOIR': '661196360F', 'source': 'Cnes/Spot Image'}"
"Carrer d'Estarde"	"Carrer d'Estarde"							"way"	"205670474"		"{'highway': 'residential', 'name': \"Carrer d'Estarde\", 'ref:FR:FANTOIR': '661192910F'}"
"Carrer de la Solane"	"Carrer de la Solane"							"way"	"361058153"		"{'highway': 'residential', 'name': 'Carrer de la Solane', 'ref:FR:FANTOIR': '661198310A', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015'}"
"Carrer de las Eras"	"Carrer de las Eras"							"way"	" 90650782"		"{'highway': 'residential', 'name': 'Carrer de las Eras', 'ref:FR:FANTOIR': '661192861C'}"
"Carrer de las Eras"	"Carrer de las Eras"							"way"	"220841078"		"{'highway': 'residential', 'name': 'Carrer de las Eras', 'ref:FR:FANTOIR': '661192861C'}"
"Carrer de las Sabateras"	"Carrer de las Sabateras"							"way"	"361059585"		"{'highway': 'pedestrian', 'name': 'Carrer de las Sabateras', 'ref:FR:FANTOIR': '661198011A', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015'}"
"Carrer del Portal de Francia"	"Carrer del Portal de Francia"							"way"	"361058154"		"{'highway': 'residential', 'name': 'Carrer del Portal de Francia', 'ref:FR:FANTOIR': '661197250Y', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015'}"
"Carrer del Pou"	"Carrer del Pou"							"way"	"361109544"		"{'highway': 'residential', 'name': 'Carrer del Pou', 'ref:FR:FANTOIR': '661197265P', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015'}"
"Carrer del Trot"	"Carrer del Trot"							"way"	"220841084"		"{'highway': 'residential', 'name': 'Carrer del Trot', 'ref:FR:FANTOIR': '661198900S'}"
"Carrer dels Pallers"	"Carrer dels Pallers"							"way"	"361106647"		"{'highway': 'service', 'name': 'Carrer dels Pallers', 'ref:FR:FANTOIR': '661197020Y', 'service': 'alley', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015'}"
"Carrer Font de les Senyoras"	"Carrer Font de les Senyoras"							"way"	" 41685498"		"{'highway': 'service', 'name': 'Carrer Font de les Senyoras', 'ref:FR:FANTOIR': '661193310R', 'service': 'driveway', 'source': 'Bing, extrapolation'}"
"Plaça de l'Era"	"Plaça de l'Era"							"way"	"361106650"		"{'area': 'yes', 'highway': 'pedestrian', 'name': \"Plaça de l'Era\", 'ref:FR:FANTOIR': '661192860B', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015'}"
"Plaça de la Capelleta"	"Plaça de la Capelleta"							"way"	"361109546"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça de la Capelleta', 'ref:FR:FANTOIR': '661191550C', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015'}"
"Plaça San Julia"	"Plaça San Julia"							"way"	"361109545"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça San Julia', 'ref:FR:FANTOIR': '661198040G', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015'}"
