"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Sant Llorenç"	"Avinguda de Sant Llorenç"							"way"	"420722253"		"{'highway': 'residential', 'name': 'Avinguda de Sant Llorenç'}"
"Avinguda de Sant Llorenç"	"Avinguda de Sant Llorenç"							"way"	"232683751"		"{'highway': 'residential', 'name': 'Avinguda de Sant Llorenç'}"
"Camí de Sant Salvador"	"Camí de Sant Salvador"							"way"	"210718844"		"{'highway': 'unclassified', 'name': 'Camí de Sant Salvador'}"
"Camí de Sant Salvador"	"Camí de Sant Salvador"							"way"	"210718810"		"{'bridge': 'yes', 'highway': 'unclassified', 'name': 'Camí de Sant Salvador'}"
"Camí de Sant Salvador"	"Camí de Sant Salvador"							"way"	"527482070"		"{'highway': 'unclassified', 'name': 'Camí de Sant Salvador'}"
"Camí de Valldeperes"	"Camí de Valldeperes"							"way"	"336650167"		"{'highway': 'unclassified', 'name': 'Camí de Valldeperes'}"
"Camí del Cap de la Serra"	"Camí del Cap de la Serra"							"way"	"210718768"		"{'highway': 'track', 'name': 'Camí del Cap de la Serra'}"
"Camí del Racó"	"Camí del Racó"							"way"	"191319008"		"{'highway': 'track', 'name': 'Camí del Racó', 'tracktype': 'grade1'}"
"Camí del Soler"	"Camí del Soler"							"way"	"197665080"		"{'highway': 'track', 'name': 'Camí del Soler', 'tracktype': 'grade1'}"
"Camí Ral de Manresa a Cardona"	"Camí Ral de Manresa a Cardona"							"way"	"153167857"		"{'highway': 'track', 'name': 'Camí Ral de Manresa a Cardona', 'tracktype': 'grade1'}"
"carrer Balmes"	"carrer Balmes"							"way"	" 42086379"		"{'highway': 'residential', 'name': 'carrer Balmes'}"
"Carrer d'Ali Bei"	"Carrer d'Ali Bei"							"way"	"191036378"		"{'highway': 'residential', 'name': \"Carrer d'Ali Bei\"}"
"Carrer d'Amadeo Maristany Casajuana"	"Carrer d'Amadeo Maristany Casajuana"							"way"	" 42086363"		"{'highway': 'residential', 'name': \"Carrer d'Amadeo Maristany Casajuana\"}"
"carrer d'Àngel Guimerà"	"carrer d'Àngel Guimerà"							"way"	" 42086360"	"name:etymology:wikidata=Q175485"	"{'highway': 'residential', 'name': \"carrer d'Àngel Guimerà\", 'name:etymology:wikidata': 'Q175485'}"
"Carrer d'Anselm Clavé"	"Carrer d'Anselm Clavé"							"way"	" 42086404"		"{'highway': 'residential', 'name': \"Carrer d'Anselm Clavé\"}"
"Carrer de Baix"	"Carrer de Baix"							"way"	"421055447"		"{'highway': 'tertiary', 'name': 'Carrer de Baix'}"
"Carrer de Baix"	"Carrer de Baix"							"way"	"191047885"		"{'highway': 'residential', 'name': 'Carrer de Baix'}"
"Carrer de Bonavista"	"Carrer de Bonavista"							"way"	" 42086384"		"{'highway': 'residential', 'name': 'Carrer de Bonavista'}"
"Carrer de Castelladral"	"Carrer de Castelladral"							"way"	" 42086353"		"{'highway': 'residential', 'name': 'Carrer de Castelladral'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	"191047863"		"{'highway': 'residential', 'name': 'Carrer de Dalt'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	"191047866"		"{'highway': 'residential', 'name': 'Carrer de Dalt'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	"191047869"		"{'highway': 'residential', 'name': 'Carrer de Dalt'}"
"Carrer de Delfina Bonet"	"Carrer de Delfina Bonet"							"way"	"191036396"		"{'highway': 'residential', 'name': 'Carrer de Delfina Bonet'}"
"Carrer de Delfina Bonet"	"Carrer de Delfina Bonet"							"way"	"191036406"		"{'highway': 'residential', 'name': 'Carrer de Delfina Bonet'}"
"Carrer de Gregal"	"Carrer de Gregal"							"way"	" 42086389"		"{'highway': 'residential', 'name': 'Carrer de Gregal'}"
"Carrer de Jacint Verdaguer"	"Carrer de Jacint Verdaguer"							"way"	" 42086361"	"name:etymology:wikidata=Q379290"	"{'highway': 'residential', 'name': 'Carrer de Jacint Verdaguer', 'name:etymology:wikidata': 'Q379290'}"
"Carrer de Joan Pascual"	"Carrer de Joan Pascual"							"way"	" 42086397"		"{'highway': 'residential', 'name': 'Carrer de Joan Pascual'}"
