"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 168430051"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 746210775"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 746214979"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 475406551"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 475406552"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 475406553"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 475406554"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	" 475406555"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución', 'oneway': 'yes'}"
"Avinguda de la Constitució"	"Avinguda de la Constitució"							"way"	"1040965484"	"name:es=Avenida de la Constitución"	"{'highway': 'residential', 'name': 'Avinguda de la Constitució', 'name:es': 'Avenida de la Constitución'}"
"Carrer dels Sindicats"	"Carrer dels Sindicats"							"way"	" 168429993"	"name:es=Calle de los Sindicatos"	"{'highway': 'residential', 'name': 'Carrer dels Sindicats', 'name:es': 'Calle de los Sindicatos'}"
"Carrer dels Sindicats"	"Carrer dels Sindicats"							"way"	" 688755424"	"name:es=Calle de los Sindicatos"	"{'highway': 'residential', 'name': 'Carrer dels Sindicats', 'name:es': 'Calle de los Sindicatos'}"
"carrer Doctor Salcedo"	"carrer Doctor Salcedo"							"way"	" 168429966"		"{'highway': 'residential', 'name': 'carrer Doctor Salcedo'}"
"Carrer Gregal"	"Carrer Gregal"							"way"	" 201566253"	"name:es=Calle Gregal"	"{'highway': 'residential', 'name': 'Carrer Gregal', 'name:es': 'Calle Gregal'}"
"Carrer Gregal"	"Carrer Gregal"							"way"	" 201566264"	"name:es=Calle Gregal"	"{'highway': 'residential', 'name': 'Carrer Gregal', 'name:es': 'Calle Gregal', 'oneway': 'yes'}"
"Carrer Gregal"	"Carrer Gregal"							"way"	" 212303699"	"name:es=Calle Gregal"	"{'highway': 'residential', 'name': 'Carrer Gregal', 'name:es': 'Calle Gregal', 'oneway': 'yes'}"
"Carrer Gregal"	"Carrer Gregal"							"way"	" 212303700"	"name:es=Calle Gregal"	"{'highway': 'residential', 'name': 'Carrer Gregal', 'name:es': 'Calle Gregal', 'oneway': 'yes'}"
"Carrer Gregal"	"Carrer Gregal"							"way"	" 201566261"	"name:es=Calle Gregal"	"{'highway': 'residential', 'name': 'Carrer Gregal', 'name:es': 'Calle Gregal', 'oneway': 'yes'}"
"Carrer Gregal"	"Carrer Gregal"							"way"	" 212303716"	"name:es=Calle Gregal"	"{'highway': 'residential', 'name': 'Carrer Gregal', 'name:es': 'Calle Gregal', 'oneway': 'yes'}"
"Carrer Gregal"	"Carrer Gregal"							"way"	" 688755426"	"name:es=Calle Gregal"	"{'highway': 'residential', 'name': 'Carrer Gregal', 'name:es': 'Calle Gregal', 'oneway': 'yes'}"
"Carrer Gregal"	"Carrer Gregal"							"way"	" 212303714"	"name:es=Calle Gregal"	"{'highway': 'residential', 'name': 'Carrer Gregal', 'name:es': 'Calle Gregal', 'oneway': 'yes'}"
"Carrer Llebeig"	"Carrer Llebeig"							"way"	" 168429999"	"name:es=Calle Lebeche"	"{'highway': 'residential', 'name': 'Carrer Llebeig', 'name:es': 'Calle Lebeche', 'oneway': 'no'}"
"Carrer Llevant"	"Carrer Llevant"							"way"	" 746067604"	"name:es=Calle Levante"	"{'highway': 'residential', 'name': 'Carrer Llevant', 'name:es': 'Calle Levante'}"
"Carrer Migjorn"	"Carrer Migjorn"							"way"	" 201568971"	"name:es=Calle Mediodía"	"{'highway': 'residential', 'name': 'Carrer Migjorn', 'name:es': 'Calle Mediodía', 'oneway': 'yes'}"
"Carrer Migjorn"	"Carrer Migjorn"							"way"	" 201568973"	"name:es=Calle Mediodía"	"{'highway': 'residential', 'name': 'Carrer Migjorn', 'name:es': 'Calle Mediodía', 'oneway': 'yes'}"
"Carrer Monca"	"Carrer Monca"							"way"	" 598685313"		"{'highway': 'steps', 'name': 'Carrer Monca'}"
"Carrer Ponent"	"Carrer Ponent"							"way"	" 168430053"	"name:es=Calle Poniente"	"{'highway': 'residential', 'name': 'Carrer Ponent', 'name:es': 'Calle Poniente', 'oneway': 'yes'}"
"Carrer Ponent"	"Carrer Ponent"							"way"	" 201566263"	"name:es=Calle Poniente"	"{'highway': 'residential', 'name': 'Carrer Ponent', 'name:es': 'Calle Poniente', 'oneway': 'yes'}"
"Carrer Ponent"	"Carrer Ponent"							"way"	" 201566268"	"name:es=Calle Poniente"	"{'highway': 'residential', 'name': 'Carrer Ponent', 'name:es': 'Calle Poniente', 'oneway': 'yes'}"
"Carrer Ponent"	"Carrer Ponent"							"way"	" 201568972"	"name:es=Calle Poniente"	"{'highway': 'residential', 'name': 'Carrer Ponent', 'name:es': 'Calle Poniente', 'oneway': 'yes'}"
"Carrer Ponent"	"Carrer Ponent"							"way"	" 201566252"	"name:es=Calle Poniente"	"{'highway': 'residential', 'junction': 'roundabout', 'name': 'Carrer Ponent', 'name:es': 'Calle Poniente'}"
"Carrer Ponent"	"Carrer Ponent"							"way"	" 201566256"	"name:es=Calle Poniente"	"{'highway': 'residential', 'junction': 'roundabout', 'name': 'Carrer Ponent', 'name:es': 'Calle Poniente'}"
"Carrer Tramuntana"	"Carrer Tramuntana"							"way"	" 168430030"	"name:es=Calle Tramuntana"	"{'highway': 'residential', 'name': 'Carrer Tramuntana', 'name:es': 'Calle Tramuntana'}"
