"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc de Carraixet"	"Barranc de Carraixet"	"Barranc del Carraixet"	"Barranc del Carraixet"					"way"	"713630692"	"name:es=Barranco de Carraixet"	"{'alt_name': 'Barranc del Carraixet', 'alt_name:es': 'Barranco del Carraixet', 'intermittent': 'yes', 'name': 'Barranc de Carraixet', 'name:es': 'Barranco de Carraixet', 'waterway': 'river'}"
"Cal Campaner"	"Cal Campaner"							"way"	"888752146"		"{'building': 'yes', 'name': 'Cal Campaner'}"
"Cal Campaner"	"Cal Campaner"							"way"	"888753516"		"{'building': 'yes', 'name': 'Cal Campaner'}"
"Cal Guarda"	"Cal Guarda"							"way"	"993317535"		"{'building': 'yes', 'name': 'Cal Guarda'}"
"Cal Porro"	"Cal Porro"							"way"	"989129059"		"{'building': 'yes', 'name': 'Cal Porro'}"
"Cal Roig de Potro"	"Cal Roig de Potro"							"way"	"888928778"		"{'building': 'yes', 'name': 'Cal Roig de Potro'}"
"Cal Serrano"	"Cal Serrano"							"way"	"888752185"		"{'building': 'yes', 'name': 'Cal Serrano'}"
"Cal Tisora"	"Cal Tisora"							"way"	"888915908"		"{'building': 'yes', 'name': 'Cal Tisora'}"
"Cal Tosco"	"Cal Tosco"							"way"	"888915897"		"{'building': 'yes', 'name': 'Cal Tosco'}"
"Cal Tou"	"Cal Tou"							"way"	"888752201"		"{'building': 'yes', 'name': 'Cal Tou'}"
"Cal Tou"	"Cal Tou"							"way"	"888752196"		"{'building': 'yes', 'name': 'Cal Tou'}"
