"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament d'Alcoi"	"Ajuntament d'Alcoi"							"way"	"1066434464"		"{'addr:city': 'Alcoi', 'addr:housenumber': '1', 'addr:postcode': '03801', 'addr:street': \"Plaça d'Espanya\", 'amenity': 'townhall', 'contact:phone': '+34 965 537 100', 'image': 'https://commons.wikimedia.org/wiki/File:Alcoy_-_Ayuntamiento_02.jpg', 'name': \"Ajuntament d'Alcoi\", 'townhall:type': 'town', 'website': 'https://www.alcoi.org/', 'wheelchair': 'yes', 'wikimedia_commons': 'https://commoFile:Alcoy_-_Ayuntamiento_02.jpg'}"
"Castell de Barxell"	"Castell de Barxell"			"Castell de Barxell, castell de Barxell"	"Castell de Barxell"	"monument"	"Q938638"	"way"	" 300265878"		"{'historic': 'castle', 'name': 'Castell de Barxell', 'wikidata': 'Q938638', 'wikipedia': 'ca:Castell de Barxell'}"
"Mas d'Altamira"	"Mas d'Altamira"							"node"	"9175193895"		"{'name': \"Mas d'Altamira\", 'place': 'isolated_dwelling'}"
"Mas de Blai Giner"	"Mas de Blai Giner"							"way"	" 194717202"		"{'building': 'yes', 'name': 'Mas de Blai Giner'}"
"Mas de Don Jordi"	"Mas de Don Jordi"							"way"	" 293840791"		"{'building': 'house', 'name': 'Mas de Don Jordi'}"
"Mas de Gormaget"	"Mas de Gormaget"							"way"	" 300519749"		"{'building': 'construction', 'name': 'Mas de Gormaget'}"
"Mas de l'Arbre"	"Mas de l'Arbre"							"way"	" 302745186"		"{'building': 'yes', 'name': \"Mas de l'Arbre\"}"
"Mas de l'Ermita"	"Mas de l'Ermita"							"way"	" 300265877"		"{'building': 'detached', 'name': \"Mas de l'Ermita\"}"
"Mas de l'Ombria del Manco"	"Mas de l'Ombria del Manco"							"way"	" 301778043"		"{'building': 'yes', 'name': \"Mas de l'Ombria del Manco\"}"
"Mas de la Mola"	"Mas de la Mola"							"way"	" 395065476"		"{'building': 'house', 'name': 'Mas de la Mola'}"
"Mas de la Serreta"	"Mas de la Serreta"							"way"	" 301619029"		"{'building': 'yes', 'name': 'Mas de la Serreta'}"
"Mas de Nunyo"	"Mas de Nunyo"							"way"	" 300054674"		"{'building': 'detached', 'name': 'Mas de Nunyo'}"
"Mas de Roc"	"Mas de Roc"							"node"	"2956255599"		"{'building': 'retail', 'name': 'Mas de Roc'}"
"Mas de Romuald"	"Mas de Romuald"							"node"	"9793856852"		"{'name': 'Mas de Romuald', 'place': 'isolated_dwelling'}"
