"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Carrer Abadia"	"Carrer Abadia"							"way"	"220276217"		"{'highway': 'residential', 'name': 'Carrer Abadia'}"
"Carrer Abadia"	"Carrer Abadia"							"way"	"262832570"		"{'highway': 'residential', 'name': 'Carrer Abadia'}"
"Carrer Jose Antonio"	"Carrer Jose Antonio"							"way"	"704144715"		"{'highway': 'residential', 'name': 'Carrer Jose Antonio'}"
"Carrer Moreres"	"Carrer Moreres"							"way"	"704144716"		"{'highway': 'residential', 'name': 'Carrer Moreres'}"
"Carrer Ravalet"	"Carrer Ravalet"							"way"	"220411921"		"{'highway': 'residential', 'name': 'Carrer Ravalet'}"
"Carrer Ravalet"	"Carrer Ravalet"							"way"	"704144717"		"{'highway': 'residential', 'name': 'Carrer Ravalet'}"
"Carrer Ravalet"	"Carrer Ravalet"							"way"	"220276211"		"{'highway': 'residential', 'name': 'Carrer Ravalet'}"
"Carrer Ravalet"	"Carrer Ravalet"							"way"	"220411926"		"{'highway': 'residential', 'name': 'Carrer Ravalet'}"
"Carrer Sant Bartolomé"	"Carrer Sant Bartolomé"							"way"	"220276216"		"{'highway': 'residential', 'name': 'Carrer Sant Bartolomé'}"
"Carrer Santissim Crist"	"Carrer Santissim Crist"							"way"	"704144714"		"{'highway': 'residential', 'name': 'Carrer Santissim Crist'}"
"Carrer Santissima Verge"	"Carrer Santissima Verge"							"way"	"262832745"		"{'highway': 'residential', 'name': 'Carrer Santissima Verge'}"
"Carrer Santissima Verge"	"Carrer Santissima Verge"							"way"	"220276212"		"{'highway': 'residential', 'name': 'Carrer Santissima Verge'}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"262832744"		"{'area': 'yes', 'highway': 'residential', 'name': \"Plaça de l'Església\"}"
"Plaça Tomàs i Bru"	"Plaça Tomàs i Bru"							"way"	"537681642"		"{'area:highway': 'yes', 'name': 'Plaça Tomàs i Bru'}"
