"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Carreró Astillero"	"Carreró Astillero"							"way"	"992908880"	"name:es=Callejón Astillero"	"{'foot': 'no', 'highway': 'tertiary', 'name': 'Carreró Astillero', 'name:es': 'Callejón Astillero', 'oneway': 'yes', 'ref': 'CV-765', 'surface': 'asphalt'}"
"Carreró de Barrina"	"Carreró de Barrina"							"way"	"313151858"		"{'highway': 'residential', 'name': 'Carreró de Barrina', 'oneway': 'no', 'source': 'bing'}"
"Carreró de l'Hostal"	"Carreró de l'Hostal"							"way"	"178412964"	"name:es=Callejón de l'Hostal"	"{'covered': 'no', 'highway': 'service', 'name': \"Carreró de l'Hostal\", 'name:es': \"Callejón de l'Hostal\", 'oneway': 'no'}"
"Carreró Forn de la Viuda"	"Carreró Forn de la Viuda"							"way"	"997161231"	"name:es=Callejón Forn de la Viuda"	"{'highway': 'footway', 'name': 'Carreró Forn de la Viuda', 'name:es': 'Callejón Forn de la Viuda', 'oneway': 'no', 'surface': 'paved'}"
"Carreró l'Escollera"	"Carreró l'Escollera"							"way"	"195587330"	"name:es=Callejón l'Escollera"	"{'covered': 'no', 'highway': 'service', 'name': \"Carreró l'Escollera\", 'name:es': \"Callejón l'Escollera\", 'oneway': 'no'}"
"Carreró La Barra"	"Carreró La Barra"							"way"	"178412962"	"name:es=Callejón La Barra"	"{'highway': 'service', 'name': 'Carreró La Barra', 'name:es': 'Callejón La Barra', 'oneway': 'no', 'surface': 'paving_stones'}"
"Carreró La Cova"	"Carreró La Cova"							"way"	"178414560"	"name:es=Callejón La Cueva"	"{'highway': 'residential', 'lanes': '1', 'name': 'Carreró La Cova', 'name:es': 'Callejón La Cueva', 'oneway': 'no', 'surface': 'asphalt'}"
"Passatge Llaurador"	"Passatge Llaurador"							"way"	" 22735050"	"name:es=Pasaje Llaurador"	"{'highway': 'pedestrian', 'name': 'Passatge Llaurador', 'name:es': 'Pasaje Llaurador'}"
"Passatge Llaurador"	"Passatge Llaurador"							"way"	" 22735051"	"name:es=Pasaje Llaurador"	"{'highway': 'path', 'name': 'Passatge Llaurador', 'name:es': 'Pasaje Llaurador'}"
"Passeig del Mediterrani"	"Passeig del Mediterrani"							"way"	"114707280"	"name:es=Paseo del Mediterráneo"	"{'highway': 'footway', 'name': 'Passeig del Mediterrani', 'name:es': 'Paseo del Mediterráneo'}"
"Urbanització Mascarat - Campomanes"	"Urbanització Mascarat - Campomanes"							"way"	"452245542"		"{'landuse': 'residential', 'name': 'Urbanització Mascarat - Campomanes'}"
