"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Albaida"	"Avinguda Albaida"							"way"	"117606289"		"{'highway': 'residential', 'name': 'Avinguda Albaida', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Avinguda Albaida"	"Avinguda Albaida"							"way"	"248061850"		"{'highway': 'tertiary', 'name': 'Avinguda Albaida', 'oneway': 'yes', 'ref': 'CV-615', 'service': 'driveway'}"
"Avinguda Albaida"	"Avinguda Albaida"							"way"	"314868758"		"{'highway': 'tertiary', 'name': 'Avinguda Albaida', 'oneway': 'yes', 'ref': 'CV-615', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Avinguda Albaida"	"Avinguda Albaida"							"way"	"314868760"		"{'highway': 'residential', 'name': 'Avinguda Albaida', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Avinguda Albaida"	"Avinguda Albaida"							"way"	"688025496"		"{'highway': 'tertiary', 'name': 'Avinguda Albaida', 'ref': 'CV-615', 'service': 'driveway'}"
"Avinguda Albaida"	"Avinguda Albaida"							"way"	"248061852"		"{'highway': 'tertiary', 'name': 'Avinguda Albaida', 'oneway': 'yes', 'ref': 'CV-615'}"
"Avinguda Albaida"	"Avinguda Albaida"							"way"	"248179619"		"{'highway': 'tertiary', 'name': 'Avinguda Albaida', 'ref': 'CV-615', 'service': 'driveway'}"
"Avinguda del Teular"	"Avinguda del Teular"							"way"	"117762287"		"{'highway': 'residential', 'name': 'Avinguda del Teular', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Avinguda del Teular"	"Avinguda del Teular"							"way"	"117762286"		"{'highway': 'residential', 'name': 'Avinguda del Teular', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Avinguda Palomar"	"Avinguda Palomar"							"way"	"263675918"		"{'highway': 'residential', 'name': 'Avinguda Palomar', 'oneway': 'no'}"
"Camí de la Font del Melero"	"Camí de la Font del Melero"							"way"	"204935575"		"{'highway': 'track', 'name': 'Camí de la Font del Melero'}"
"Camí del Corral de Diego"	"Camí del Corral de Diego"							"way"	"316234160"		"{'highway': 'track', 'mtb:scale': '1', 'mtb:scale:uphill': '1', 'name': 'Camí del Corral de Diego', 'smoothness': 'bad', 'surface': 'unpaved', 'tracktype': 'grade3'}"
"Carrer Alacant"	"Carrer Alacant"							"way"	"117606288"		"{'highway': 'residential', 'name': 'Carrer Alacant', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Alacant"	"Carrer Alacant"							"way"	"704780311"		"{'highway': 'residential', 'name': 'Carrer Alacant', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Alacant"	"Carrer Alacant"							"way"	"704780321"		"{'highway': 'tertiary', 'name': 'Carrer Alacant', 'ref': 'CV-615', 'service': 'driveway'}"
"Carrer Alacant"	"Carrer Alacant"							"way"	"704780319"		"{'highway': 'residential', 'name': 'Carrer Alacant', 'oneway': 'yes'}"
"Carrer Alacant"	"Carrer Alacant"							"way"	"704780320"		"{'highway': 'residential', 'name': 'Carrer Alacant', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Alacant"	"Carrer Alacant"							"way"	"704780318"		"{'highway': 'residential', 'name': 'Carrer Alacant', 'oneway': 'yes'}"
"Carrer Atzeneta del Maestrat"	"Carrer Atzeneta del Maestrat"							"way"	"117606299"		"{'highway': 'residential', 'name': 'Carrer Atzeneta del Maestrat', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Atzeneta del Maestrat"	"Carrer Atzeneta del Maestrat"							"way"	"117762282"		"{'highway': 'residential', 'name': 'Carrer Atzeneta del Maestrat', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Atzeneta del Maestrat"	"Carrer Atzeneta del Maestrat"							"way"	"688025498"		"{'highway': 'residential', 'name': 'Carrer Atzeneta del Maestrat', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Atzeneta del Maestrat"	"Carrer Atzeneta del Maestrat"							"way"	"117606310"		"{'highway': 'residential', 'name': 'Carrer Atzeneta del Maestrat', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer balcó de la Vall"	"Carrer balcó de la Vall"							"way"	"117762288"		"{'highway': 'residential', 'name': 'Carrer balcó de la Vall', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Bélgida"	"Carrer Bélgida"							"way"	"117606308"		"{'highway': 'residential', 'name': 'Carrer Bélgida'}"
"Carrer Covalta"	"Carrer Covalta"							"way"	"117606306"		"{'highway': 'residential', 'name': 'Carrer Covalta'}"
"Carrer de la Font Freda"	"Carrer de la Font Freda"							"way"	"248057533"		"{'highway': 'residential', 'name': 'Carrer de la Font Freda'}"
"Carrer de la Nevera"	"Carrer de la Nevera"							"way"	"263773288"		"{'highway': 'residential', 'name': 'Carrer de la Nevera'}"
"Carrer de la Santa Creu"	"Carrer de la Santa Creu"							"way"	"688025499"		"{'highway': 'residential', 'name': 'Carrer de la Santa Creu', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer de la Santa Creu"	"Carrer de la Santa Creu"							"way"	"688025497"		"{'highway': 'residential', 'name': 'Carrer de la Santa Creu', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer de les Animes"	"Carrer de les Animes"							"way"	"117606295"		"{'highway': 'residential', 'name': 'Carrer de les Animes', 'oneway': 'yes', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer de les Animes"	"Carrer de les Animes"							"way"	"704780316"		"{'highway': 'service', 'name': 'Carrer de les Animes', 'service': 'alley'}"
"Carrer Emilio Ballesta"	"Carrer Emilio Ballesta"							"way"	"117606291"		"{'highway': 'residential', 'name': 'Carrer Emilio Ballesta'}"
"Carrer Escorredor"	"Carrer Escorredor"							"way"	"117606307"		"{'highway': 'residential', 'name': 'Carrer Escorredor'}"
"Carrer Jesus"	"Carrer Jesus"							"way"	"704780315"		"{'highway': 'residential', 'name': 'Carrer Jesus', 'oneway': 'yes', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Juan XXIII"	"Carrer Juan XXIII"							"way"	"704780304"		"{'highway': 'residential', 'name': 'Carrer Juan XXIII', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Maria Ramos Evro"	"Carrer Maria Ramos Evro"							"way"	"117762284"		"{'highway': 'residential', 'name': 'Carrer Maria Ramos Evro', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Maria Ramos Evro"	"Carrer Maria Ramos Evro"							"way"	"704780303"		"{'highway': 'residential', 'name': 'Carrer Maria Ramos Evro', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Nº 5"	"Carrer Nº 5"							"way"	"704780322"		"{'highway': 'residential', 'name': 'Carrer Nº 5', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Pastors"	"Carrer Pastors"							"way"	"704780306"		"{'highway': 'residential', 'name': 'Carrer Pastors', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Pastors"	"Carrer Pastors"							"way"	"117762283"		"{'highway': 'residential', 'name': 'Carrer Pastors', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Pastors"	"Carrer Pastors"							"way"	"117762281"		"{'highway': 'residential', 'name': 'Carrer Pastors', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Pastors"	"Carrer Pastors"							"way"	"688025500"		"{'highway': 'residential', 'name': 'Carrer Pastors', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Pastors"	"Carrer Pastors"							"way"	"117606304"		"{'highway': 'residential', 'name': 'Carrer Pastors', 'source': 'PNOA;survey', 'source:date': '2004'}"
"Carrer Pastors"	"Carrer Pastors"							"way"	"117606312"		"{'highway': 'residential', 'name': 'Carrer Pastors', 'source': 'PNOA;survey', 'source:date': '2004'}"
