"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda d'Alacant"	"Avinguda d'Alacant"							"way"	" 524153880"		"{'highway': 'service', 'name': \"Avinguda d'Alacant\", 'oneway': 'yes'}"
"Avinguda d'Alacant"	"Avinguda d'Alacant"							"way"	"  23115428"	"name:es=Avenida de Alicante"	"{'highway': 'trunk', 'lanes': '2', 'maxspeed': '50', 'name': \"Avinguda d'Alacant\", 'name:es': 'Avenida de Alicante', 'oneway': 'no', 'ref': 'N-332', 'surface': 'asphalt'}"
"Avinguda d'Alacant"	"Avinguda d'Alacant"							"way"	" 516718517"	"name:es=Avenida de Alicante"	"{'highway': 'trunk', 'lanes': '2', 'maxspeed': '50', 'name': \"Avinguda d'Alacant\", 'name:es': 'Avenida de Alicante', 'oneway': 'no', 'ref': 'N-332', 'surface': 'asphalt'}"
"Avinguda d'Alacant"	"Avinguda d'Alacant"							"way"	"  23115423"	"name:es=Avenida de Alicante"	"{'highway': 'trunk', 'lanes': '2', 'maxspeed': '50', 'name': \"Avinguda d'Alacant\", 'name:es': 'Avenida de Alicante', 'oneway': 'no', 'ref': 'N-332', 'surface': 'asphalt'}"
"Avinguda d'Alacant"	"Avinguda d'Alacant"							"way"	" 123498332"		"{'highway': 'residential', 'name': \"Avinguda d'Alacant\", 'oneway': 'yes'}"
"Avinguda d'Alacant"	"Avinguda d'Alacant"							"way"	" 185847112"		"{'highway': 'residential', 'name': \"Avinguda d'Alacant\", 'source': 'Bing'}"
"Avinguda de Balears"	"Avinguda de Balears"							"way"	"  23171032"	"name:es=Avenida de Baleares"	"{'highway': 'tertiary', 'name': 'Avinguda de Balears', 'name:es': 'Avenida de Baleares', 'ref': 'CV-6731'}"
"Avinguda de Balears"	"Avinguda de Balears"							"way"	"1058338636"	"name:es=Avenida de Baleares"	"{'highway': 'residential', 'name': 'Avinguda de Balears', 'name:es': 'Avenida de Baleares', 'oneway': 'yes', 'ref': 'CV-673'}"
"Avinguda de Balears"	"Avinguda de Balears"							"way"	"  23115445"	"name:es=Avenida de Baleares"	"{'highway': 'residential', 'name': 'Avinguda de Balears', 'name:es': 'Avenida de Baleares', 'ref': 'CV-673'}"
"Avinguda de Balears"	"Avinguda de Balears"							"way"	"1058339722"	"name:es=Avenida de Baleares"	"{'highway': 'pedestrian', 'name': 'Avinguda de Balears', 'name:es': 'Avenida de Baleares'}"
"Avinguda de Balears"	"Avinguda de Balears"							"way"	" 226975533"	"name:es=Avenida de Baleares"	"{'highway': 'tertiary', 'junction': 'roundabout', 'name': 'Avinguda de Balears', 'name:es': 'Avenida de Baleares', 'ref': 'CV-6731'}"
"Avinguda de l'Illa de Tabarca"	"Avinguda de l'Illa de Tabarca"							"way"	" 245879315"	"name:es=Avenida de la Isla de Tabarca"	"{'highway': 'residential', 'name': \"Avinguda de l'Illa de Tabarca\", 'name:es': 'Avenida de la Isla de Tabarca', 'oneway': 'yes'}"
"Avinguda de l’Alquerieta"	"Avinguda de l’Alquerieta"							"way"	" 225399429"		"{'highway': 'residential', 'name': 'Avinguda de l’Alquerieta'}"
"Avinguda de la Mar"	"Avinguda de la Mar"							"way"	" 185847054"		"{'highway': 'secondary', 'name': 'Avinguda de la Mar', 'oneway': 'yes', 'ref': 'CV-673'}"
"Avinguda de la Mar"	"Avinguda de la Mar"							"way"	" 185847117"		"{'highway': 'secondary', 'name': 'Avinguda de la Mar', 'oneway': 'yes', 'ref': 'CV-673'}"
"Avinguda de la Mar"	"Avinguda de la Mar"							"way"	"1058179399"		"{'highway': 'secondary', 'name': 'Avinguda de la Mar', 'oneway': 'yes'}"
"Avinguda de la Mar"	"Avinguda de la Mar"							"way"	"  23115438"		"{'highway': 'secondary', 'name': 'Avinguda de la Mar', 'ref': 'CV-673'}"
"Avinguda de la Safor"	"Avinguda de la Safor"							"way"	" 123498324"		"{'highway': 'residential', 'name': 'Avinguda de la Safor', 'oneway': 'yes'}"
"Avinguda de la Safor"	"Avinguda de la Safor"							"way"	" 237301349"		"{'highway': 'residential', 'name': 'Avinguda de la Safor'}"
"Avinguda de la Safor"	"Avinguda de la Safor"							"way"	" 123498333"		"{'highway': 'residential', 'name': 'Avinguda de la Safor', 'oneway': 'yes'}"
"Avinguda de les Moreres"	"Avinguda de les Moreres"							"way"	" 224637469"		"{'highway': 'tertiary', 'name': 'Avinguda de les Moreres', 'source': 'bing'}"
"Avinguda dels Esports"	"Avinguda dels Esports"							"way"	"1058161114"		"{'highway': 'residential', 'name': 'Avinguda dels Esports', 'source': 'Bing'}"
"Avinguda dels Músics"	"Avinguda dels Músics"							"way"	" 185847100"		"{'highway': 'pedestrian', 'name': 'Avinguda dels Músics', 'source': 'Bing'}"
"Avinguda dels Músics"	"Avinguda dels Músics"							"way"	" 185847089"		"{'highway': 'pedestrian', 'name': 'Avinguda dels Músics', 'source': 'Bing'}"
"Camí de L’Est"	"Camí de L’Est"							"way"	" 237301356"		"{'highway': 'unclassified', 'name': 'Camí de L’Est'}"
"Camí de Mena"	"Camí de Mena"							"way"	" 450996353"		"{'highway': 'unclassified', 'name': 'Camí de Mena'}"
"Camí Pont de Gorxa"	"Camí Pont de Gorxa"							"way"	" 237301355"		"{'highway': 'unclassified', 'name': 'Camí Pont de Gorxa'}"
"Camí Sotaia"	"Camí Sotaia"							"way"	" 124264856"	"name:etymology:wikidata=Q11950287"	"{'highway': 'unclassified', 'name': 'Camí Sotaia', 'name:etymology:wikidata': 'Q11950287'}"
"Camí Vela"	"Camí Vela"							"way"	" 123500171"		"{'highway': 'unclassified', 'name': 'Camí Vela'}"
"Camí Vell de Gandia"	"Camí Vell de Gandia"							"way"	" 123494661"		"{'highway': 'tertiary', 'name': 'Camí Vell de Gandia'}"
"Carrer 25 d’Abril"	"Carrer 25 d’Abril"							"way"	" 123490960"		"{'highway': 'residential', 'name': 'Carrer 25 d’Abril', 'oneway': 'yes'}"
"Carrer 8 de Març"	"Carrer 8 de Març"							"way"	"1057963641"		"{'highway': 'living_street', 'name': 'Carrer 8 de Març'}"
"Carrer Abadia"	"Carrer Abadia"							"way"	" 123490967"		"{'highway': 'residential', 'name': 'Carrer Abadia', 'oneway': 'yes'}"
"Carrer Almoines"	"Carrer Almoines"							"way"	"1058187974"		"{'highway': 'tertiary', 'name': 'Carrer Almoines', 'ref': 'CV-681'}"
"Carrer Ausias March"	"Carrer Ausias March"							"way"	" 123498691"		"{'highway': 'residential', 'name': 'Carrer Ausias March'}"
"Carrer Ausiàs March"	"Carrer Ausiàs March"							"way"	" 123498326"		"{'highway': 'residential', 'name': 'Carrer Ausiàs March', 'oneway': 'yes'}"
"Carrer Azorín"	"Carrer Azorín"							"way"	" 437136819"		"{'highway': 'residential', 'name': 'Carrer Azorín', 'oneway': 'yes'}"
"Carrer Baladre"	"Carrer Baladre"							"way"	" 711796729"		"{'highway': 'residential', 'name': 'Carrer Baladre', 'oneway': 'yes'}"
"Carrer Baladre"	"Carrer Baladre"							"way"	" 303111358"		"{'highway': 'residential', 'name': 'Carrer Baladre', 'oneway': 'yes'}"
"Carrer Barranc"	"Carrer Barranc"							"way"	" 123501323"		"{'highway': 'residential', 'name': 'Carrer Barranc'}"
"Carrer Belló"	"Carrer Belló"							"way"	" 185847091"		"{'highway': 'residential', 'name': 'Carrer Belló', 'source': 'Bing'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	" 303053915"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez'}"
"Carrer Bolitx"	"Carrer Bolitx"							"way"	" 303111360"		"{'highway': 'residential', 'name': 'Carrer Bolitx', 'oneway': 'yes'}"
"Carrer Bovetar"	"Carrer Bovetar"							"way"	" 287719994"		"{'highway': 'residential', 'name': 'Carrer Bovetar', 'oneway': 'yes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 123399285"		"{'highway': 'residential', 'name': 'Carrer Cervantes'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	" 123399308"		"{'highway': 'residential', 'name': 'Carrer Cervantes'}"
"Carrer Clara Campoamor"	"Carrer Clara Campoamor"							"way"	" 185847090"		"{'highway': 'residential', 'name': 'Carrer Clara Campoamor', 'oneway': 'yes'}"
"Carrer Clot de l'Era"	"Carrer Clot de l'Era"							"way"	" 527340391"		"{'highway': 'pedestrian', 'name': \"Carrer Clot de l'Era\"}"
"Carrer Colom"	"Carrer Colom"							"way"	" 123399279"		"{'highway': 'residential', 'name': 'Carrer Colom'}"
"Carrer Colom"	"Carrer Colom"							"way"	" 123494662"		"{'highway': 'residential', 'name': 'Carrer Colom', 'oneway': 'yes'}"
"Carrer Colom"	"Carrer Colom"							"way"	" 123494663"		"{'highway': 'residential', 'name': 'Carrer Colom'}"
"Carrer Columbretes"	"Carrer Columbretes"							"way"	" 303111443"		"{'highway': 'residential', 'name': 'Carrer Columbretes', 'oneway': 'yes'}"
"Carrer Corbella"	"Carrer Corbella"							"way"	" 123399301"		"{'highway': 'residential', 'name': 'Carrer Corbella', 'oneway': 'yes'}"
"Carrer d'Isabel de Villena"	"Carrer d'Isabel de Villena"							"way"	"1057963643"		"{'highway': 'living_street', 'name': \"Carrer d'Isabel de Villena\"}"
"Carrer de Formentera"	"Carrer de Formentera"							"way"	" 245879309"		"{'highway': 'residential', 'name': 'Carrer de Formentera', 'oneway': 'yes'}"
"Carrer de l'Estatut"	"Carrer de l'Estatut"							"way"	" 123499891"		"{'highway': 'residential', 'name': \"Carrer de l'Estatut\"}"
"Carrer de la Comare"	"Carrer de la Comare"							"way"	" 225373921"		"{'highway': 'residential', 'name': 'Carrer de la Comare', 'oneway': 'yes'}"
"Carrer de la Comare"	"Carrer de la Comare"							"way"	" 437136949"		"{'highway': 'residential', 'name': 'Carrer de la Comare', 'oneway': 'yes'}"
"Carrer de la Vela"	"Carrer de la Vela"							"way"	" 123399291"		"{'highway': 'residential', 'name': 'Carrer de la Vela', 'oneway': 'yes'}"
"Carrer de les Germanies"	"Carrer de les Germanies"							"way"	" 185847110"		"{'highway': 'residential', 'name': 'Carrer de les Germanies', 'source': 'Bing'}"
"Carrer de Sant Jaume"	"Carrer de Sant Jaume"							"way"	" 437136223"		"{'highway': 'residential', 'name': 'Carrer de Sant Jaume', 'oneway': 'yes'}"
"Carrer de Sant Miquel"	"Carrer de Sant Miquel"							"way"	" 123493801"		"{'highway': 'living_street', 'name': 'Carrer de Sant Miquel', 'oneway': 'yes'}"
"Carrer de Sant Miquel"	"Carrer de Sant Miquel"							"way"	" 123493796"		"{'highway': 'living_street', 'name': 'Carrer de Sant Miquel', 'oneway': 'yes'}"
"Carrer del Parlament Europeu"	"Carrer del Parlament Europeu"							"way"	" 123498328"		"{'highway': 'residential', 'name': 'Carrer del Parlament Europeu'}"
"Carrer del Parlament Europeu"	"Carrer del Parlament Europeu"							"way"	"1057963642"		"{'highway': 'residential', 'name': 'Carrer del Parlament Europeu', 'oneway': 'yes'}"
"Carrer del Xalet"	"Carrer del Xalet"							"way"	" 185847076"		"{'highway': 'residential', 'name': 'Carrer del Xalet', 'source': 'Bing'}"
"Carrer dels Furs"	"Carrer dels Furs"							"way"	" 185847072"		"{'highway': 'residential', 'name': 'Carrer dels Furs', 'source': 'Bing'}"
"Carrer Doctor Joan Pesset"	"Carrer Doctor Joan Pesset"							"way"	" 185847116"		"{'highway': 'residential', 'name': 'Carrer Doctor Joan Pesset', 'source': 'Bing'}"
"Carrer Dos de Maig"	"Carrer Dos de Maig"							"way"	" 123399286"		"{'highway': 'residential', 'name': 'Carrer Dos de Maig'}"
"Carrer Dos de Maig"	"Carrer Dos de Maig"							"way"	" 123499963"		"{'highway': 'residential', 'name': 'Carrer Dos de Maig', 'oneway': 'yes'}"
"Carrer Ecce Homo"	"Carrer Ecce Homo"							"way"	" 123493818"		"{'highway': 'residential', 'name': 'Carrer Ecce Homo', 'oneway': 'yes'}"
"Carrer Eivissa"	"Carrer Eivissa"							"way"	" 303111357"		"{'highway': 'residential', 'name': 'Carrer Eivissa'}"
"Carrer Enríc Soler i Godes"	"Carrer Enríc Soler i Godes"							"way"	"1058169106"		"{'highway': 'residential', 'name': 'Carrer Enríc Soler i Godes', 'source': 'Bing'}"
"Carrer Església"	"Carrer Església"							"way"	"1058191302"		"{'highway': 'living_street', 'name': 'Carrer Església'}"
