"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Doctor Puigvert"	"Avinguda Doctor Puigvert"							"way"	"297205344"		"{'foot': 'yes', 'highway': 'pedestrian', 'name': 'Avinguda Doctor Puigvert', 'surface': 'concrete'}"
"Avinguda Doctor Puigvert"	"Avinguda Doctor Puigvert"							"way"	"298810022"		"{'highway': 'residential', 'name': 'Avinguda Doctor Puigvert'}"
"camí d'Ares a Benassal per les Calçaes"	"camí d'Ares a Benassal per les Calçaes"							"way"	"877612883"		"{'highway': 'path', 'name': \"camí d'Ares a Benassal per les Calçaes\"}"
"camí de Benassal a Castellfort"	"camí de Benassal a Castellfort"							"way"	"928245025"		"{'highway': 'path', 'name': 'camí de Benassal a Castellfort'}"
"camí de Benassal a Vistabella"	"camí de Benassal a Vistabella"							"way"	"879407244"		"{'highway': 'path', 'name': 'camí de Benassal a Vistabella'}"
"camí de Benassal a Vistabella"	"camí de Benassal a Vistabella"							"way"	"879407250"		"{'highway': 'path', 'name': 'camí de Benassal a Vistabella'}"
"camí de Culla a Vilafranca"	"camí de Culla a Vilafranca"							"way"	"879407251"		"{'highway': 'path', 'name': 'camí de Culla a Vilafranca'}"
"camí de Sant Roc"	"camí de Sant Roc"							"way"	"877612889"		"{'highway': 'track', 'name': 'camí de Sant Roc'}"
"camí del Manyà"	"camí del Manyà"							"way"	"607132201"		"{'highway': 'track', 'name': 'camí del Manyà', 'surface': 'ground', 'tracktype': 'grade2'}"
"camí del Manyà"	"camí del Manyà"							"way"	"877612872"		"{'highway': 'path', 'name': 'camí del Manyà'}"
"camí del Manyà"	"camí del Manyà"							"way"	"877612876"		"{'highway': 'path', 'name': 'camí del Manyà'}"
"camí del Manyà"	"camí del Manyà"							"way"	"877612878"		"{'highway': 'path', 'name': 'camí del Manyà'}"
"camí del mas de Sant Roc"	"camí del mas de Sant Roc"							"way"	"877612884"		"{'highway': 'path', 'name': 'camí del mas de Sant Roc'}"
"Carrer de Grau i Gras"	"Carrer de Grau i Gras"							"way"	"203808997"		"{'highway': 'residential', 'name': 'Carrer de Grau i Gras', 'oneway': 'no'}"
"Carrer de les Eres Tancades"	"Carrer de les Eres Tancades"							"way"	"203808996"		"{'highway': 'living_street', 'name': 'Carrer de les Eres Tancades', 'oneway': 'no'}"
"Carrer de les Eres Tancades"	"Carrer de les Eres Tancades"							"way"	"203809091"		"{'highway': 'pedestrian', 'name': 'Carrer de les Eres Tancades'}"
"Carrer de les Serrades"	"Carrer de les Serrades"							"way"	"150740201"		"{'highway': 'residential', 'name': 'Carrer de les Serrades', 'oneway': 'no'}"
"Carrer Mur"	"Carrer Mur"							"way"	"203808998"		"{'highway': 'living_street', 'name': 'Carrer Mur', 'oneway': 'no'}"
"Carrer Pla"	"Carrer Pla"							"way"	"203808923"		"{'highway': 'residential', 'name': 'Carrer Pla', 'oneway': 'no'}"
"Carrer Tollet"	"Carrer Tollet"							"way"	"203809002"		"{'highway': 'living_street', 'name': 'Carrer Tollet', 'oneway': 'no'}"
"Carrer Torrentill"	"Carrer Torrentill"							"way"	"203808974"		"{'highway': 'residential', 'name': 'Carrer Torrentill', 'oneway': 'no'}"
"Carrer Torrentill"	"Carrer Torrentill"							"way"	"203808920"		"{'highway': 'residential', 'name': 'Carrer Torrentill', 'oneway': 'no'}"
"Carrer Tres Forques"	"Carrer Tres Forques"							"way"	"583489831"		"{'highway': 'residential', 'name': 'Carrer Tres Forques'}"
"Plaça del Planet"	"Plaça del Planet"							"way"	"583489830"		"{'highway': 'residential', 'name': 'Plaça del Planet', 'oneway': 'no'}"
