"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Albir"	"Avinguda Albir"							"way"	" 832922632"		"{'highway': 'tertiary', 'lanes': '2', 'name': 'Avinguda Albir', 'oneway': 'no', 'tunnel': 'no'}"
"Avinguda d'Alcoi - Avenida de Alcoy"	"Avinguda d'Alcoi - Avenida de Alcoy"							"way"	"  83279607"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Avinguda d'Alcoi - Avenida de Alcoy\", 'oneway': 'yes'}"
"Avinguda d'Alcoi - Avenida de Alcoy"	"Avinguda d'Alcoi - Avenida de Alcoy"							"way"	" 535633594"		"{'highway': 'living_street', 'lit': 'yes', 'maxspeed': '20', 'name': \"Avinguda d'Alcoi - Avenida de Alcoy\", 'oneway': 'yes', 'surface': 'paving_stones'}"
"Avinguda d'Alcoi - Avenida de Alcoy"	"Avinguda d'Alcoi - Avenida de Alcoy"							"way"	" 535633593"		"{'access': 'no', 'highway': 'living_street', 'maxspeed': '30', 'name': \"Avinguda d'Alcoi - Avenida de Alcoy\", 'oneway': 'yes'}"
"Avinguda d'Alfonso Puchades"	"Avinguda d'Alfonso Puchades"							"way"	"  83193213"		"{'highway': 'secondary', 'lanes': '2', 'name': \"Avinguda d'Alfonso Puchades\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Alfonso Puchades"	"Avinguda d'Alfonso Puchades"							"way"	"  20268904"		"{'highway': 'secondary', 'lanes': '2', 'name': \"Avinguda d'Alfonso Puchades\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Alfonso Puchades"	"Avinguda d'Alfonso Puchades"							"way"	" 891538024"		"{'highway': 'secondary', 'lanes': '2', 'name': \"Avinguda d'Alfonso Puchades\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Alfonso Puchades"	"Avinguda d'Alfonso Puchades"							"way"	"  83353193"		"{'bridge': 'yes', 'highway': 'secondary', 'lanes': '2', 'layer': '1', 'maxspeed': '30', 'name': \"Avinguda d'Alfonso Puchades\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"	"Avenida de Europa;Avunguda d'Europa"						"way"	" 999863704"		"{'alt_name': \"Avenida de Europa;Avunguda d'Europa\", 'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"	"Avenida de Europa;Avunguda d'Europa"						"way"	" 485628022"		"{'alt_name': \"Avenida de Europa;Avunguda d'Europa\", 'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"	"Avenida de Europa;Avunguda d'Europa"						"way"	"  83193200"		"{'alt_name': \"Avenida de Europa;Avunguda d'Europa\", 'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 190403040"		"{'highway': 'secondary', 'maxspeed': '30', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Europa"	"Avinguda d'Europa"							"way"	" 385163094"		"{'highway': 'tertiary', 'name': \"Avinguda d'Europa\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda d'Hondures"	"Avinguda d'Hondures"							"way"	"  83365304"		"{'highway': 'residential', 'name': \"Avinguda d'Hondures\", 'oneway': 'yes'}"
"Avinguda d'Itàlia"	"Avinguda d'Itàlia"	"Avenida de Italia"						"way"	" 252602717"		"{'alt_name': 'Avenida de Italia', 'bicycle': 'designated', 'cycleway': 'shared_lane', 'highway': 'residential', 'maxspeed': '10', 'maxspeed:type': 'sign', 'name': \"Avinguda d'Itàlia\", 'surface': 'asphalt'}"
"Avinguda de Almería"	"Avinguda de Almería"							"way"	"  59076046"		"{'highway': 'residential', 'name': 'Avinguda de Almería', 'oneway': 'yes', 'source': 'Yahoo'}"
"Avinguda de Almería"	"Avinguda de Almería"							"way"	"  83395817"		"{'highway': 'residential', 'name': 'Avinguda de Almería', 'oneway': 'yes'}"
"Avinguda de Bèlgica"	"Avinguda de Bèlgica"							"way"	"  83201896"		"{'highway': 'residential', 'name': 'Avinguda de Bèlgica', 'oneway': 'no'}"
"Avinguda de Bèlgica"	"Avinguda de Bèlgica"							"way"	" 378445301"	"name:es=Avenida de Bélgica"	"{'highway': 'residential', 'name': 'Avinguda de Bèlgica', 'name:es': 'Avenida de Bélgica', 'oneway': 'yes'}"
"Avinguda de Bèlgica"	"Avinguda de Bèlgica"							"way"	" 378443364"		"{'highway': 'residential', 'name': 'Avinguda de Bèlgica', 'oneway': 'yes'}"
