"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de les Valls"	"Avinguda de les Valls"							"way"	"167179567"		"{'highway': 'residential', 'name': 'Avinguda de les Valls', 'oneway': 'yes'}"
"Camí de Sagunt a les Valls"	"Camí de Sagunt a les Valls"							"way"	" 48134227"		"{'cycleway:both': 'no', 'highway': 'unclassified', 'lanes': '2', 'name': 'Camí de Sagunt a les Valls', 'oneway': 'no', 'surface': 'asphalt'}"
"Camí de Sagunt a les Valls"	"Camí de Sagunt a les Valls"							"way"	"772922505"		"{'highway': 'unclassified', 'name': 'Camí de Sagunt a les Valls', 'oneway': 'no'}"
"Camí de Valencia"	"Camí de Valencia"							"way"	" 48134156"		"{'highway': 'tertiary', 'name': 'Camí de Valencia'}"
"Camí del Corretger"	"Camí del Corretger"							"way"	"112310963"		"{'highway': 'track', 'name': 'Camí del Corretger', 'tracktype': 'grade2'}"
"Carrer Alcalde Llueca"	"Carrer Alcalde Llueca"							"way"	"167179573"	"name:es=Calle Alcalde Llueca"	"{'highway': 'residential', 'name': 'Carrer Alcalde Llueca', 'name:es': 'Calle Alcalde Llueca', 'oneway': 'yes'}"
"Carrer d'Antonio Lázaro"	"Carrer d'Antonio Lázaro"							"way"	"167179568"	"name:es=Calle de Antonio Lázaro"	"{'highway': 'residential', 'name': \"Carrer d'Antonio Lázaro\", 'name:es': 'Calle de Antonio Lázaro', 'oneway': 'yes'}"
"Carrer de Germanies"	"Carrer de Germanies"							"way"	" 48133935"	"name:es=Calle de Germanías"	"{'highway': 'residential', 'lit': 'yes', 'name': 'Carrer de Germanies', 'name:es': 'Calle de Germanías', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"
"Carrer de Jesús Balanza"	"Carrer de Jesús Balanza"							"way"	"167179570"	"name:es=Calle de Jesús Balanza"	"{'highway': 'residential', 'name': 'Carrer de Jesús Balanza', 'name:es': 'Calle de Jesús Balanza', 'oneway': 'yes'}"
