"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Castell de Castells"	"Castell de Castells"							"node"	"4388795926"		"{'aeroway': 'aerodrome', 'name': 'Castell de Castells'}"
"riu Castells"	"riu Castells"	"riu Xalò (o Gorgos)"	"riu Xaló;riu Gorgos"					"way"	" 112610162"		"{'alt_name': 'riu Xalò (o Gorgos)', 'intermittent': 'yes', 'name': 'riu Castells', 'waterway': 'river'}"
"riu Castells"	"riu Castells"	"riu Xalò (o Gorgos)"	"riu Xaló;riu Gorgos"					"way"	" 258936830"		"{'alt_name': 'riu Xalò (o Gorgos)', 'intermittent': 'yes', 'name': 'riu Castells', 'waterway': 'river'}"
"riu Castells"	"riu Castells"	"riu Xalò (o Gorgos)"	"riu Xaló;riu Gorgos"					"way"	" 317131740"		"{'alt_name': 'riu Xalò (o Gorgos)', 'intermittent': 'yes', 'name': 'riu Castells', 'waterway': 'river'}"
"riu Castells"	"riu Castells"	"riu Xalò (o Gorgos)"	"riu Xaló;riu Gorgos"					"way"	" 244415223"		"{'alt_name': 'riu Xalò (o Gorgos)', 'intermittent': 'yes', 'layer': '-1', 'name': 'riu Castells', 'tunnel': 'culvert', 'waterway': 'river'}"
"riu Castells"	"riu Castells"	"riu Xalò (o Gorgos)"	"riu Xaló;riu Gorgos"					"way"	" 248629250"		"{'alt_name': 'riu Xalò (o Gorgos)', 'intermittent': 'yes', 'name': 'riu Castells', 'waterway': 'river'}"
"riu Castells"	"riu Castells"	"riu Xalò (o Gorgos)"	"riu Xaló;riu Gorgos"					"way"	"  22985274"		"{'alt_name': 'riu Xalò (o Gorgos)', 'intermittent': 'yes', 'name': 'riu Castells', 'waterway': 'river'}"
"riu Castells"	"riu Castells"	"riu Xalò (o Gorgos)"	"riu Xaló;riu Gorgos"					"relation"	"  13726357"		"{'alt_name': 'riu Xalò (o Gorgos)', 'name': 'riu Castells', 'type': 'waterway', 'waterway': 'river'}"
"riu Xaló"	"riu Xaló"	"riu Gorgos"	"riu Gorgos"					"way"	"  22985558"	"official_name=riu Xalò (o Gorgos)"	"{'alt_name': 'riu Gorgos', 'intermittent': 'yes', 'name': 'riu Xaló', 'official_name': 'riu Xalò (o Gorgos)', 'waterway': 'river'}"
