"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge Alzira"	"Passatge Alzira"	"Pasaje Alzira"						"way"	" 69103663"		"{'alt_name': 'Pasaje Alzira', 'highway': 'pedestrian', 'name': 'Passatge Alzira'}"
"Passatge de la Casota"	"Passatge de la Casota"							"way"	" 75056724"		"{'highway': 'steps', 'name': 'Passatge de la Casota'}"
"Passatge de la Casota"	"Passatge de la Casota"	"Pasaje de la Casota"						"way"	" 69971812"		"{'alt_name': 'Pasaje de la Casota', 'highway': 'residential', 'name': 'Passatge de la Casota', 'oneway': 'yes'}"
"Passeig de Bourget"	"Passeig de Bourget"							"way"	"151713307"		"{'highway': 'residential', 'name': 'Passeig de Bourget', 'oneway': 'yes'}"
"Passeig de Bourget"	"Passeig de Bourget"	"Paseo de Bourget"						"way"	"151713330"		"{'alt_name': 'Paseo de Bourget', 'highway': 'residential', 'name': 'Passeig de Bourget'}"
"Passeig del Doctor Alemany"	"Passeig del Doctor Alemany"							"way"	" 69103634"		"{'highway': 'residential', 'name': 'Passeig del Doctor Alemany'}"
"Passeig del Doctor Alemany"	"Passeig del Doctor Alemany"							"way"	" 69103612"		"{'highway': 'residential', 'name': 'Passeig del Doctor Alemany'}"
"Passeig del Doctor Alemany"	"Passeig del Doctor Alemany"							"way"	" 69103671"		"{'highway': 'residential', 'name': 'Passeig del Doctor Alemany'}"
"Passeig del Doctor Alemany"	"Passeig del Doctor Alemany"	"Paseo del Doctor Alemany"						"way"	" 69103623"		"{'alt_name': 'Paseo del Doctor Alemany', 'highway': 'residential', 'name': 'Passeig del Doctor Alemany', 'oneway': 'yes'}"
"Passeig del Doctor Alemany"	"Passeig del Doctor Alemany"	"Paseo del Doctor Alemany"						"way"	" 69103675"		"{'alt_name': 'Paseo del Doctor Alemany', 'highway': 'residential', 'name': 'Passeig del Doctor Alemany', 'oneway': 'yes'}"
