"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Caminal El Pegolí"	"Caminal El Pegolí"							"node"	"4717198413"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Caminal El Pegolí', 'public_transport': 'platform'}"
"Caminal El Pegolí"	"Caminal El Pegolí"							"node"	"9137031509"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Caminal El Pegolí', 'public_transport': 'stop_position'}"
"Caminal El Pegolí"	"Caminal El Pegolí"							"node"	"9143078569"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Caminal El Pegolí', 'public_transport': 'platform'}"
"Caminal El Pegolí"	"Caminal El Pegolí"							"node"	"9201284206"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Caminal El Pegolí', 'public_transport': 'stop_position'}"
"Carreró de la Moreria"	"Carreró de la Moreria"							"way"	"  97576001"		"{'highway': 'pedestrian', 'lit': 'yes', 'name': 'Carreró de la Moreria', 'surface': 'unhewn_cobblestone'}"
"Carreró del 'Ti Belo'"	"Carreró del 'Ti Belo'"							"way"	" 911619606"		"{'highway': 'pedestrian', 'name': \"Carreró del 'Ti Belo'\", 'surface': 'paving_stones'}"
"Carreró del Cinema"	"Carreró del Cinema"							"way"	" 182191413"		"{'highway': 'service', 'name': 'Carreró del Cinema'}"
"Carreró del Cinema"	"Carreró del Cinema"							"way"	" 182191517"		"{'highway': 'service', 'name': 'Carreró del Cinema', 'service': 'driveway'}"
"Carreró del Malcriat"	"Carreró del Malcriat"							"way"	" 983713597"		"{'highway': 'pedestrian', 'name': 'Carreró del Malcriat'}"
"Carreró dels Xorrins"	"Carreró dels Xorrins"							"way"	" 154057309"		"{'access': 'private', 'highway': 'service', 'name': 'Carreró dels Xorrins', 'service': 'alley'}"
"Carreró Tio de la Bota"	"Carreró Tio de la Bota"							"way"	" 131636868"		"{'highway': 'pedestrian', 'lit': 'yes', 'name': 'Carreró Tio de la Bota', 'service': 'alley', 'surface': 'paving_stones'}"
"Passatge de Sant Antoni"	"Passatge de Sant Antoni"							"way"	" 983919293"		"{'highway': 'pedestrian', 'name': 'Passatge de Sant Antoni'}"
"Passatge de Sant Antoni"	"Passatge de Sant Antoni"							"way"	" 983919294"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Passatge de Sant Antoni', 'smoothness': 'good', 'surface': 'paving_stones'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 102021530"		"{'area': 'yes', 'highway': 'pedestrian', 'lit': 'yes', 'name': 'Passeig del Saladar', 'surface': 'paving_stones'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 102025429"		"{'cycleway:both': 'no', 'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'ES:urban', 'name': 'Passeig del Saladar', 'oneway': 'yes', 'sidewalk': 'left', 'smoothness': 'excellent', 'surface': 'asphalt'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 170908849"		"{'area': 'yes', 'highway': 'pedestrian', 'lit': 'yes', 'name': 'Passeig del Saladar', 'smoothness': 'good', 'surface': 'paving_stones'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 170909719"		"{'area': 'yes', 'highway': 'pedestrian', 'lit': 'yes', 'name': 'Passeig del Saladar', 'surface': 'paving_stones'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 172243199"		"{'cycleway:both': 'no', 'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'ES:urban', 'name': 'Passeig del Saladar', 'oneway': 'yes', 'sidewalk': 'right', 'sidewalk:right:surface': 'paving_stones', 'smoothness': 'good', 'surface': 'asphalt'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 112623783"		"{'area': 'yes', 'highway': 'pedestrian', 'lit': 'yes', 'name': 'Passeig del Saladar', 'surface': 'paving_stones'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 112623800"		"{'area': 'yes', 'highway': 'pedestrian', 'lit': 'yes', 'name': 'Passeig del Saladar', 'smoothness': 'good', 'surface': 'paving_stones'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 170907602"		"{'area': 'yes', 'highway': 'pedestrian', 'lit': 'yes', 'name': 'Passeig del Saladar', 'smoothness': 'good', 'surface': 'paving_stones'}"
"Passeig del Saladar"	"Passeig del Saladar"							"way"	" 174869638"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Passeig del Saladar', 'surface': 'paving_stones'}"
