"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565577"		"{'name': 'Barranc del Soldat', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"760851198"		"{'name': 'Barranc del Soldat', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565574"		"{'name': 'Barranc del Soldat', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565575"		"{'layer': '-1', 'name': 'Barranc del Soldat', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565576"		"{'layer': '-1', 'name': 'Barranc del Soldat', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565580"		"{'name': 'Barranc del Soldat', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565578"		"{'layer': '-1', 'name': 'Barranc del Soldat', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565579"		"{'name': 'Barranc del Soldat', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565581"		"{'layer': '-1', 'name': 'Barranc del Soldat', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"692565583"		"{'layer': '-1', 'name': 'Barranc del Soldat', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"406282451"		"{'name': 'Barranc del Soldat', 'waterway': 'stream'}"
"Barranc del Soldat"	"Barranc del Soldat"							"way"	"760851199"		"{'layer': '-1', 'name': 'Barranc del Soldat', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Camp de Tir"	"Camp de Tir"							"way"	"405395417"		"{'landuse': 'military', 'military': 'range', 'name': 'Camp de Tir'}"
