"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de la Font"	"Camí de la Font"							"way"	"714077322"	"name:es=Camino de la Fuente"	"{'highway': 'residential', 'name': 'Camí de la Font', 'name:es': 'Camino de la Fuente'}"
"Camí de la Gota"	"Camí de la Gota"							"way"	"108038534"		"{'highway': 'track', 'name': 'Camí de la Gota'}"
"Camí del Campillo"	"Camí del Campillo"							"way"	" 23459272"		"{'highway': 'track', 'name': 'Camí del Campillo', 'oneway': 'no', 'surface': 'dirt'}"
"Carrer Abetos"	"Carrer Abetos"							"way"	"181474483"	"name:es=Calle Abetos"	"{'highway': 'residential', 'name': 'Carrer Abetos', 'name:es': 'Calle Abetos'}"
"Carrer Alamos"	"Carrer Alamos"							"way"	"181474482"	"name:es=Calle Álamos"	"{'highway': 'residential', 'name': 'Carrer Alamos', 'name:es': 'Calle Álamos'}"
"Carrer Ali Maymo"	"Carrer Ali Maymo"							"way"	"257595516"		"{'highway': 'residential', 'name': 'Carrer Ali Maymo'}"
"Carrer Almas"	"Carrer Almas"							"way"	"872331038"	"name:es=Calle Almas"	"{'highway': 'residential', 'name': 'Carrer Almas', 'name:es': 'Calle Almas'}"
"Carrer Aragó"	"Carrer Aragó"							"way"	"714077298"		"{'highway': 'residential', 'name': 'Carrer Aragó'}"
"Carrer Ausias March"	"Carrer Ausias March"							"way"	"714077307"	"name:es=Calle Ausias March"	"{'highway': 'residential', 'name': 'Carrer Ausias March', 'name:es': 'Calle Ausias March'}"
"Carrer Austas"	"Carrer Austas"							"way"	"871909731"		"{'highway': 'residential', 'name': 'Carrer Austas'}"
"Carrer Ave Maria"	"Carrer Ave Maria"							"way"	"714077314"	"name:es=Calle Ave María"	"{'highway': 'residential', 'name': 'Carrer Ave Maria', 'name:es': 'Calle Ave María'}"
"Carrer Benlliure Lloma"	"Carrer Benlliure Lloma"							"way"	"257594330"		"{'highway': 'residential', 'name': 'Carrer Benlliure Lloma'}"
