"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí Capamantos"	"Camí Capamantos"							"way"	"  47333968"		"{'highway': 'unclassified', 'name': 'Camí Capamantos', 'oneway': 'no'}"
"camí d'Onda a Artana"	"camí d'Onda a Artana"							"way"	" 217797353"		"{'highway': 'track', 'name': \"camí d'Onda a Artana\", 'source': 'Bing;Catastro', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"camí d'Onda a Artana"	"camí d'Onda a Artana"							"way"	"  47378581"		"{'highway': 'unclassified', 'name': \"camí d'Onda a Artana\", 'surface': 'asphalt', 'tracktype': 'grade1'}"
"camí d'Onda a Artana"	"camí d'Onda a Artana"							"way"	"  47333749"		"{'highway': 'unclassified', 'name': \"camí d'Onda a Artana\", 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí de la Cantera"	"Camí de la Cantera"							"way"	"1013873239"		"{'highway': 'unclassified', 'name': 'Camí de la Cantera', 'oneway': 'no'}"
"camí de la Llidona"	"camí de la Llidona"							"way"	" 806695512"		"{'highway': 'path', 'name': 'camí de la Llidona'}"
"camí de la Parà del Rano"	"camí de la Parà del Rano"							"way"	" 617971997"		"{'highway': 'track', 'name': 'camí de la Parà del Rano', 'tracktype': 'grade1'}"
"Camí de la Pedrissa"	"Camí de la Pedrissa"							"way"	" 461008742"		"{'highway': 'track', 'name': 'Camí de la Pedrissa'}"
"Camí de la Pedrissa"	"Camí de la Pedrissa"							"way"	" 406036451"		"{'highway': 'unclassified', 'name': 'Camí de la Pedrissa', 'oneway': 'no'}"
"Camí de la Pedrissa"	"Camí de la Pedrissa"							"way"	" 461008694"		"{'highway': 'track', 'name': 'Camí de la Pedrissa'}"
"camí de la Serra"	"camí de la Serra"							"way"	" 794911516"		"{'highway': 'track', 'name': 'camí de la Serra', 'tracktype': 'grade2'}"
"Camí de les Delícies"	"Camí de les Delícies"							"way"	"1013873240"		"{'highway': 'unclassified', 'name': 'Camí de les Delícies', 'oneway': 'no'}"
"Camí de Sala"	"Camí de Sala"							"way"	"  47333756"		"{'highway': 'track', 'name': 'Camí de Sala', 'tracktype': 'grade1'}"
"camí de Sant Gils"	"camí de Sant Gils"							"way"	" 207652479"		"{'highway': 'track', 'name': 'camí de Sant Gils', 'source': 'Bing;Catastro', 'tracktype': 'grade2'}"
"Camí del barranc de la Gerra"	"Camí del barranc de la Gerra"							"way"	" 598021038"		"{'highway': 'path', 'name': 'Camí del barranc de la Gerra'}"
"Camí del Bovalar"	"Camí del Bovalar"							"way"	" 219233014"		"{'highway': 'track', 'name': 'Camí del Bovalar', 'tracktype': 'grade1'}"
"Camí del Bovalar"	"Camí del Bovalar"							"way"	" 219233010"		"{'highway': 'track', 'name': 'Camí del Bovalar', 'tracktype': 'grade1'}"
"Camí del Bovalar"	"Camí del Bovalar"							"way"	" 219233023"		"{'highway': 'track', 'name': 'Camí del Bovalar', 'tracktype': 'grade2'}"
"Camí del Calvari"	"Camí del Calvari"							"way"	" 117172074"		"{'access': 'permissive', 'handrail': 'no', 'highway': 'steps', 'name': 'Camí del Calvari', 'surface': 'paved', 'tactile_paving': 'no', 'tracktype': 'grade3', 'width': '4'}"
"camí dels Contaors"	"camí dels Contaors"							"way"	" 794911515"		"{'highway': 'track', 'name': 'camí dels Contaors', 'tracktype': 'grade4', 'width': '4'}"
"Camí El Colmenar"	"Camí El Colmenar"							"way"	"  31278164"		"{'access': 'yes', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí El Colmenar', 'surface': 'ground', 'tracktype': 'grade2', 'width': '4'}"
"Camí Fanzara"	"Camí Fanzara"							"way"	"  47333759"		"{'highway': 'track', 'name': 'Camí Fanzara', 'tracktype': 'grade1'}"
"camí la Ratlla"	"camí la Ratlla"							"way"	" 405901826"		"{'highway': 'track', 'name': 'camí la Ratlla', 'tracktype': 'grade1'}"
"camí la Ratlla"	"camí la Ratlla"							"way"	" 219233154"		"{'highway': 'unclassified', 'lane_markings': 'no', 'name': 'camí la Ratlla', 'oneway': 'no', 'surface': 'asphalt'}"
"Camí Racó de Lleó"	"Camí Racó de Lleó"							"way"	" 286919761"	"name:es=Camino \"Racó de Lleó\""	"{'highway': 'unclassified', 'name': 'Camí Racó de Lleó', 'name:es': 'Camino \"Racó de Lleó\"', 'oneway': 'no'}"
"Camí Vell d'Onda a l'Alcora"	"Camí Vell d'Onda a l'Alcora"							"way"	" 309738487"		"{'highway': 'track', 'name': \"Camí Vell d'Onda a l'Alcora\", 'tracktype': 'grade1'}"
"Camí Vell d'Onda a l'Alcora"	"Camí Vell d'Onda a l'Alcora"							"way"	" 309738381"		"{'highway': 'unclassified', 'lane_markings': 'no', 'name': \"Camí Vell d'Onda a l'Alcora\", 'oneway': 'no', 'surface': 'asphalt'}"
"Camí Vell d'Onda a l'Alcora"	"Camí Vell d'Onda a l'Alcora"							"way"	" 309738624"		"{'highway': 'unclassified', 'lane_markings': 'no', 'name': \"Camí Vell d'Onda a l'Alcora\", 'oneway': 'no', 'surface': 'asphalt'}"
"Camí vell de Vila-real a Onda"	"Camí vell de Vila-real a Onda"							"way"	" 219233057"		"{'highway': 'track', 'name': 'Camí vell de Vila-real a Onda', 'tracktype': 'grade1'}"
"Camí vell Onda-Vila-real"	"Camí vell Onda-Vila-real"							"way"	"  38102900"		"{'highway': 'unclassified', 'name': 'Camí vell Onda-Vila-real', 'oneway': 'no', 'surface': 'asphalt'}"
"Camí Vora Riu del Secà"	"Camí Vora Riu del Secà"							"way"	"  48055038"		"{'bridge': 'yes', 'highway': 'unclassified', 'lane_markings': 'no', 'layer': '3', 'name': 'Camí Vora Riu del Secà', 'oneway': 'no', 'surface': 'asphalt'}"
"Camí Vora Riu del Secà"	"Camí Vora Riu del Secà"							"way"	" 242697668"		"{'highway': 'unclassified', 'lanes': '2', 'name': 'Camí Vora Riu del Secà', 'oneway': 'no', 'surface': 'asphalt'}"
"Carrer Bèlgica"	"Carrer Bèlgica"							"way"	" 286919739"	"name:es=Calle Bélgica"	"{'highway': 'unclassified', 'name': 'Carrer Bèlgica', 'name:es': 'Calle Bélgica', 'oneway': 'no'}"
"Carrer Convent moges Clarisses"	"Carrer Convent moges Clarisses"							"way"	" 286919740"	"name:es=Calle Convento monjas Clarisas"	"{'highway': 'unclassified', 'name': 'Carrer Convent moges Clarisses', 'name:es': 'Calle Convento monjas Clarisas', 'oneway': 'no'}"
"Carrer de la Baronia"	"Carrer de la Baronia"							"way"	" 373768575"	"name:es=Calle de la Baronia"	"{'highway': 'living_street', 'name': 'Carrer de la Baronia', 'name:es': 'Calle de la Baronia', 'oneway': 'no'}"
"Carrer Finlàndia"	"Carrer Finlàndia"							"way"	" 286919745"	"name:es=Calle Finlandia"	"{'highway': 'unclassified', 'name': 'Carrer Finlàndia', 'name:es': 'Calle Finlandia', 'oneway': 'no'}"
"Carrer Francesc Ferrer Pastor"	"Carrer Francesc Ferrer Pastor"							"way"	"  47333925"		"{'highway': 'residential', 'name': 'Carrer Francesc Ferrer Pastor', 'oneway': 'yes'}"
"Carrer Nou"	"Carrer Nou"							"way"	"  47378606"		"{'highway': 'residential', 'name': 'Carrer Nou'}"
"Carrer Suècia"	"Carrer Suècia"							"way"	" 286919751"	"name:es=Calle Suecia"	"{'highway': 'unclassified', 'name': 'Carrer Suècia', 'name:es': 'Calle Suecia', 'oneway': 'no'}"
"Parc de la Panderola"	"Parc de la Panderola"							"way"	"  47378626"		"{'leisure': 'park', 'name': 'Parc de la Panderola'}"
