"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc de la Casa"	"Barranc de la Casa"							"way"	"1041169689"		"{'intermittent': 'yes', 'name': 'Barranc de la Casa', 'waterway': 'ditch'}"
"Barranc de la Casa"	"Barranc de la Casa"							"way"	"1041169691"		"{'intermittent': 'yes', 'name': 'Barranc de la Casa', 'waterway': 'ditch'}"
"Barranc de la Figuereta"	"Barranc de la Figuereta"							"way"	"724539011"		"{'intermittent': 'yes', 'name': 'Barranc de la Figuereta', 'waterway': 'stream'}"
"Barranc de la Vall Seca"	"Barranc de la Vall Seca"							"way"	"724539010"		"{'intermittent': 'yes', 'name': 'Barranc de la Vall Seca', 'waterway': 'stream'}"
"Barranc de les Coves"	"Barranc de les Coves"							"way"	"332686266"		"{'highway': 'path', 'intermittent': 'yes', 'name': 'Barranc de les Coves', 'waterway': 'ditch'}"
"Barranc de Moneda"	"Barranc de Moneda"							"way"	"392738699"		"{'intermittent': 'yes', 'name': 'Barranc de Moneda', 'waterway': 'stream'}"
"Barranc de Moneda"	"Barranc de Moneda"							"way"	"1046032645"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Barranc de Moneda', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc de Moneda"	"Barranc de Moneda"							"way"	"1046032644"		"{'intermittent': 'yes', 'name': 'Barranc de Moneda', 'waterway': 'stream'}"
"Barranc dels Tarongers: Sector Patiràs"	"Barranc dels Tarongers: Sector Patiràs"							"way"	"908232522"		"{'climbing:orientation': 'S', 'climbing:quality': 'solid', 'climbing:rock': 'slate', 'climbing:sport': 'yes', 'climbing:toprope': 'yes', 'name': 'Barranc dels Tarongers: Sector Patiràs', 'natural': 'cliff', 'sport': 'climbing'}"
"Barranc Gran"	"Barranc Gran"							"way"	"724539009"		"{'name': 'Barranc Gran', 'waterway': 'stream'}"
"Col·legi d'Educació Infantil i Primària Martínez Valls"	"Col·legi d'Educació Infantil i Primària Martínez Valls"							"node"	"9543979866"	"short_name=CEIP Martínez Valls"	"{'amenity': 'school', 'name': \"Col·legi d'Educació Infantil i Primària Martínez Valls\", 'short_name': 'CEIP Martínez Valls'}"
